"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Wbp4","Wbp4",355,402,322,466,528,408
"Sugt1","Sugt1",946,1257,1031,1317,1291,1328
"Olfm4","Olfm4",49,37,41,15,11,26
"Elp3","Elp3",2338,2895,2637,2619,2561,2237
"Pbk","Pbk",582,821,557,842,564,745
"Esco2","Esco2",101,140,99,115,124,112
"Ccdc25","Ccdc25",367,517,485,636,678,566
"Clu","Clu",12349,14591,13799,35482,34161,34355
"Trim35","Trim35",10810,11894,12222,10376,11031,10375
"Dpysl2","Dpysl2",633,767,727,834,633,596
"Bnip3l","Bnip3l",5822,6470,5655,7844,8133,8300
"Ppp2r2a","Ppp2r2a",2266,2691,2990,3761,3082,3241
"Pibf1","Pibf1",240,348,209,317,246,360
"Bora","Bora",164,300,261,368,313,358
"Tnfrsf10b","Tnfrsf10b",71,37,34,50,54,48
"Rhobtb2","Rhobtb2",432,576,510,478,341,510
"Bin3","Bin3",1536,2028,1621,1886,1903,1723
"Pdlim2","Pdlim2",576,675,732,652,514,594
"Ppp3cc","Ppp3cc",193,244,218,248,211,319
"Slc39a14","Slc39a14",1155,1069,1206,1650,1353,1642
"Fam160b2","Fam160b2",461,461,488,490,553,465
"Bmp1","Bmp1",0,0,0,0,0,5
"Dmtn","Dmtn",0,4,0,0,0,0
"Xpo7","Xpo7",1899,2281,2250,2295,2166,1881
"Dok2","Dok2",393,452,398,370,272,247
"Rb1","Rb1",271,343,324,385,319,460
"Rcbtb2","Rcbtb2",2696,3181,2921,2033,2107,2012
"Itm2b","Itm2b",25547,29512,27658,33643,34430,34521
"Med4","Med4",613,859,692,937,732,808
"Sucla2","Sucla2",1782,1813,1743,2359,2021,2214
"Uchl3","Uchl3",1077,1377,1334,1322,1491,1597
"Spry2","Spry2",36,25,37,12,19,23
"Rbm26","Rbm26",393,644,629,532,492,591
"Rnf219","Rnf219",294,375,309,297,183,291
"Scel","Scel",1244,1788,1484,2186,2296,2413
"Fbxl3","Fbxl3",792,1104,1133,986,1182,1099
"Cln5","Cln5",3104,3989,3751,4395,4070,4380
"Acod1","Acod1",479,709,517,1307,1172,1006
"Dct","Dct",0,3,0,0,3,3
"Tgds","Tgds",214,301,218,326,324,337
"Gpr180","Gpr180",472,570,421,485,452,452
"Dnajc3","Dnajc3",1030,1273,1191,1505,1486,1486
"Mbnl2","Mbnl2",1039,1300,1347,1457,1639,1579
"Nipbl","Nipbl",941,969,879,699,843,847
"Nup155","Nup155",1698,2069,2007,2302,1874,1868
"Gdnf","Gdnf",5,5,5,1,0,13
"Osmr","Osmr",2,0,3,0,0,0
"Fyb","Fyb",841,1149,942,2317,1678,1555
"C9","C9",0,4,0,0,0,0
"Dab2","Dab2",9438,11204,10784,26308,21681,20424
"Ttc33","Ttc33",620,755,845,1073,1142,1280
"Rab2b","Rab2b",85,66,61,58,58,69
"Mettl3","Mettl3",298,358,386,309,328,352
"Dad1","Dad1",3122,3503,2784,3848,3612,3339
"Lrp10","Lrp10",3991,4572,4466,5181,5857,5150
"Haus4","Haus4",672,898,643,960,709,805
"Ajuba","Ajuba",338,383,273,289,369,209
"X4931414P19Rik","4931414P19Rik",99,139,89,106,114,91
"Slc7a8","Slc7a8",2745,3198,3151,2859,3024,2464
"C6","C6",1,0,0,0,1,0
"Fbxo4","Fbxo4",411,376,454,551,568,565
"Acin1","Acin1",715,911,886,529,474,396
"Oxct1","Oxct1",13866,15541,15116,16071,13732,13333
"Gm5546","Gm5546",0,0,0,8,0,1
"Drosha","Drosha",2909,3280,3349,3854,3234,2658
"Psmb5","Psmb5",5044,6292,5363,6209,6188,7161
"Pabpn1","Pabpn1",24,45,33,35,34,9
"X6030458C11Rik","6030458C11Rik",1156,1570,1416,1692,1496,1686
"Pdzd2","Pdzd2",50,50,27,54,42,83
"Slc22a17","Slc22a17",0,0,0,0,0,0
