"","Geneid","control.cells_1","control.cells_2","control.cells_3","IL.10.cells_1","IL.10.cells_2","IL.10.cells_3"
"Slc25a16","Slc25a16",307,475,455,497,676,662
"Zfp213","Zfp213",107,82,94,68,100,93
"Zfp946","Zfp946",189,217,198,208,177,215
"Zfp942","Zfp942",126,264,169,164,212,182
"Zfp65","Zfp65",116,196,168,160,114,284
"Zfp58","Zfp58",28,28,38,41,24,55
"X2610044O15Rik8","2610044O15Rik8",123,188,181,226,227,172
"Armc2","Armc2",55,101,87,99,111,79
"Mfsd4b3","Mfsd4b3",18,10,2,11,33,17
"Tia1","Tia1",87,120,93,112,69,65
"Lsmem1","Lsmem1",0,0,0,0,0,0
"Setdb2","Setdb2",195,196,225,293,242,279
"Tbpl1","Tbpl1",825,862,956,724,899,647
"Map3k5","Map3k5",131,141,122,38,44,24
"Hpcal1","Hpcal1",1761,1951,2031,3185,3107,3088
"Rpl23","Rpl23",4951,5686,5128,5363,5361,5831
"Grid2","Grid2",0,0,0,0,1,1
"Psmg4","Psmg4",501,585,451,486,460,513
"Gm11397","Gm11397",0,0,0,0,0,0
"Dtnb","Dtnb",1660,2151,2012,1864,2036,1838
"X1110002L01Rik","1110002L01Rik",212,262,263,251,261,136
"Zfp777","Zfp777",307,466,395,432,537,439
"Nutf2.ps1","Nutf2-ps1",8,15,13,15,12,6
"Usmg5","Usmg5",4242,4959,4133,6189,6503,7135
"Pcnp","Pcnp",693,836,848,1085,1210,1337
"Klrg2","Klrg2",452,687,591,384,349,302
"Nt5dc2","Nt5dc2",1917,3043,1953,3557,3400,3329
"Cpa2","Cpa2",7,12,11,1,3,4
"Rnls","Rnls",58,67,75,54,56,48
"Fam189a2","Fam189a2",148,192,169,131,116,159
"X2510002D24Rik","2510002D24Rik",168,197,161,183,193,161
"Rimbp3","Rimbp3",5,12,11,9,31,7
"Cebpd","Cebpd",316,367,381,397,425,410
"Eef1g","Eef1g",19052,23923,20832,23092,20435,22359
"Tut1","Tut1",1953,2605,2157,2248,2280,2123
"Mta2","Mta2",7828,9153,8883,8764,8984,8816
"Eml3","Eml3",1455,1717,1794,1551,1485,1196
"Rom1","Rom1",28,70,48,23,58,68
"B3gat3","B3gat3",1067,1501,1291,1144,1450,1529
"Ganab","Ganab",7693,9145,8636,9185,8355,8374
"Ints5","Ints5",1896,2350,2297,2257,2258,2318
"Uqcc3","Uqcc3",792,756,615,719,702,730
"Ubxn1","Ubxn1",5413,6683,6175,6701,6544,6726
"Lrrn4cl","Lrrn4cl",1945,2300,2044,1402,1355,1339
"Bscl2","Bscl2",2357,2891,2619,3602,3504,3726
"Hnrnpul2","Hnrnpul2",668,669,786,720,631,627
"Ttc9c","Ttc9c",627,745,665,833,783,817
"Zbtb3","Zbtb3",85,65,83,109,95,110
"Polr2g","Polr2g",2211,2364,2157,2567,2400,2482
"Snx29","Snx29",227,181,223,291,193,140
"Gm960","Gm960",153,118,98,122,150,84
"Sms","Sms",501,650,582,801,769,925
"Mpst","Mpst",868,989,742,848,924,931
"Csf2rb","Csf2rb",16412,19894,18338,19168,19532,18915
"Csf2rb2","Csf2rb2",5942,6390,6313,6083,5856,5711
"Ncf4","Ncf4",3391,4631,3972,3799,3463,3578
"Smpd5","Smpd5",50,55,60,67,65,73
"C230004F18Rik","C230004F18Rik",1,0,0,0,0,0
"Zhx2","Zhx2",36,72,71,39,57,50
"X2610005L07Rik","2610005L07Rik",127,116,175,147,269,249
"X6820431F20Rik","6820431F20Rik",49,46,42,44,87,52
"Ccdc112","Ccdc112",35,54,62,54,73,34
"Mcc","Mcc",0,7,3,0,6,0
"Ppia","Ppia",24236,29807,24545,26228,22450,21823
"Ccnf","Ccnf",1853,2438,2112,2489,2255,2216
"A530040E14Rik","A530040E14Rik",64,65,84,107,86,133
"Ang","Ang",132,143,135,254,166,141
"Tuba1a","Tuba1a",2260,3024,2274,2977,2354,2550
"Trim6","Trim6",0,0,0,0,6,4
"Taf1a","Taf1a",145,107,152,156,192,133
"C2cd6","C2cd6",0,0,0,0,0,0
"Nanos1","Nanos1",17,21,18,8,19,36
"Phf20l1","Phf20l1",361,411,476,358,402,399
"Fam84b","Fam84b",216,247,282,244,185,213
"Slc39a2","Slc39a2",2637,2871,2730,3314,3806,3933
"Gm10369","Gm10369",44,29,23,56,23,11
"Ptrh2","Ptrh2",601,584,468,737,552,590
"Gm10382","Gm10382",23,19,31,35,29,14
"Gm10384","Gm10384",10,21,16,4,26,16
"Slfn2","Slfn2",2664,3402,2701,4915,4172,4051
"Slfn10.ps","Slfn10-ps",322,331,409,256,281,244
"Zfp9","Zfp9",12,23,19,32,3,19
"Lyrm9","Lyrm9",178,183,159,188,185,145
"Spef2","Spef2",0,0,0,0,3,0
"Rpl37rt","Rpl37rt",63,60,51,58,59,68
"X1500011B03Rik","1500011B03Rik",1169,1503,1357,1478,1652,1395
"Smim10l1","Smim10l1",320,271,313,237,342,256
"Myo18b","Myo18b",30,58,24,32,77,41
"Gm6712","Gm6712",41,10,22,25,9,18
"X4930522L14Rik","4930522L14Rik",44,128,78,74,95,94
"X5430403G16Rik","5430403G16Rik",19,38,22,35,17,40
"Gm10419","Gm10419",12,16,27,23,24,20
"Grcc10","Grcc10",122,163,104,121,122,130
"X9330160F10Rik","9330160F10Rik",13,8,3,9,8,8
"Ahnak2","Ahnak2",9999,9849,11509,9250,8890,8614
"Cep170b","Cep170b",3493,3993,3774,3061,2857,3554
"G530011O06Rik","G530011O06Rik",7,27,39,52,51,50
"Tmprss11a","Tmprss11a",0,0,0,0,0,0
"A530017D24Rik","A530017D24Rik",16,9,27,30,21,15
"Rybp","Rybp",161,204,144,210,116,175
"Nfxl1","Nfxl1",565,598,768,806,735,693
"X4933439C10Rik","4933439C10Rik",31,21,24,19,3,16
"Gm12258","Gm12258",34,24,12,38,26,65
"Gm10443","Gm10443",49,49,36,53,36,49
"Sod3","Sod3",0,0,0,1,0,5
"Ptgr2","Ptgr2",1077,1275,1134,1381,1282,1352
"Armcx5","Armcx5",53,103,89,84,61,68
"Oip5","Oip5",149,242,235,355,270,248
"Gm5127","Gm5127",12,19,23,23,24,25
"Uprt","Uprt",63,52,65,36,36,25
"Zxdb","Zxdb",49,27,30,25,35,67
"Srp54a","Srp54a",109,174,82,115,81,112
"Lrrc61","Lrrc61",439,461,446,500,521,571
"Gm1141","Gm1141",0,2,0,0,4,0
"Vma21","Vma21",1145,1346,1373,1969,1769,2010
"Tmem185a","Tmem185a",1363,1434,1465,1543,1417,1679
"X5031425E22Rik","5031425E22Rik",65,75,69,86,75,100
"X1810058I24Rik","1810058I24Rik",2396,2682,2416,2428,2132,2384
"Zfp449","Zfp449",17,46,40,13,38,60
"Bnip3l.ps","Bnip3l-ps",31,85,55,36,70,86
"X2500004C02Rik","2500004C02Rik",7,6,0,8,10,6
"Dnmt3aos","Dnmt3aos",8,5,11,2,0,11
"Gm10499","Gm10499",1,1,0,1,1,1
"H2.T.ps","H2-T-ps",11,11,9,13,20,11
"H2.D1","H2-D1",125640,149863,137800,219081,236312,235099
"Lst1","Lst1",582,657,575,423,427,431
"C4b","C4b",4015,4458,4268,28139,29886,25451
"Zfp414","Zfp414",493,614,497,570,558,551
"Gm4924","Gm4924",70,60,62,51,103,111
"Arhgdig","Arhgdig",186,245,214,159,117,140
"Wdr90","Wdr90",722,839,770,891,972,778
"Eme2","Eme2",130,140,147,106,131,144
"Gm10509","Gm10509",42,28,35,57,40,55
"Smok2b","Smok2b",0,1,0,0,0,0
"Pnldc1","Pnldc1",0,0,0,0,0,0
"Sft2d1","Sft2d1",1257,1692,1339,1680,1836,1810
"Rsph3a","Rsph3a",247,256,211,268,247,221
"D730003I15Rik","D730003I15Rik",53,68,50,72,46,89
"X44987","44987",1482,1822,1663,1882,1799,1733
"Ifi204","Ifi204",552,684,540,2127,1688,1832
"Ifi207","Ifi207",2521,2992,2928,3941,3682,3531
"F830208F22Rik","F830208F22Rik",4,9,15,21,10,34
"Gm5532","Gm5532",0,0,0,0,0,0
"E330020D12Rik","E330020D12Rik",423,592,539,873,979,917
"Cep76","Cep76",238,333,252,408,325,317
"Ppp1r12b","Ppp1r12b",1764,1651,1949,2869,2973,2162
"Csnk1g3","Csnk1g3",478,648,586,608,635,861
"X1700066B19Rik","1700066B19Rik",4,2,14,7,19,12
"Prob1","Prob1",4,35,21,17,10,16
"Gal3st2c","Gal3st2c",0,1,0,0,1,0
"D2hgdh","D2hgdh",584,736,747,653,606,704
"Cops9","Cops9",2384,2599,2102,2859,3044,3052
"C130036L24Rik","C130036L24Rik",54,28,42,42,44,34
"Fbxo36","Fbxo36",385,417,465,501,587,471
"Rab18","Rab18",1467,2049,1861,2751,2919,3090
"Wdfy1","Wdfy1",2088,2359,2303,3117,2866,2726
"Gm10557","Gm10557",46,44,69,46,82,65
"Catip","Catip",25,9,16,35,17,22
"Nbeal1","Nbeal1",200,220,418,293,502,281
"Hspe1","Hspe1",2477,2898,2614,3013,2861,2998
"Pgap1","Pgap1",362,636,519,889,753,911
"Faap20","Faap20",959,995,929,1009,1147,1026
"Klhl21","Klhl21",1911,2607,2297,1488,1293,1485
"Rpl31","Rpl31",4351,4936,4365,4993,5356,5836
"Cenps","Cenps",83,29,51,15,34,29
"Lmbrd1","Lmbrd1",2896,3142,3352,3526,3633,3688
"Tmem51os1","Tmem51os1",1,10,2,7,19,6
"Rsg1","Rsg1",16,42,25,9,22,22
"Gm16287","Gm16287",5,0,5,7,6,0
"X5730409E04Rik","5730409E04Rik",33,26,28,39,20,52
"Btbd19","Btbd19",116,166,103,105,62,44
"Kti12","Kti12",716,791,773,662,599,691
"Efcab7","Efcab7",170,155,127,175,165,134
"Alg6","Alg6",379,439,403,485,431,425
"Tufm","Tufm",3165,4060,3531,3761,3692,3441
"Iqck","Iqck",50,41,44,59,60,96
"Mob3b","Mob3b",45,47,46,42,52,74
"Trim68","Trim68",183,198,226,200,194,174
"Olfr554","Olfr554",0,0,0,0,0,0
"Gm9574","Gm9574",1,2,3,5,0,3
"Rhog","Rhog",3547,4173,3970,4573,4659,4317
"Ggh","Ggh",306,321,282,404,447,424
"X4632427E13Rik","4632427E13Rik",43,43,22,58,28,19
"Exoc8","Exoc8",1439,1520,1560,1536,1162,1345
"Mc1r","Mc1r",24,22,31,48,46,40
"X4930520O04Rik","4930520O04Rik",23,21,8,29,33,13
"Osgin1","Osgin1",614,752,773,387,469,394
"Mlycd","Mlycd",1515,1707,1543,1351,1209,1562
"Snrnp40","Snrnp40",1122,1465,1151,1379,1294,1413
"Svip","Svip",8,25,29,19,24,22
"Rbm15b","Rbm15b",643,661,634,452,359,613
"Rpl10.ps2","Rpl10-ps2",0,0,0,0,0,0
"Ntf5","Ntf5",50,38,42,60,22,45
"Rpl13a","Rpl13a",388,477,435,602,555,510
"X4930513N10Rik","4930513N10Rik",23,26,7,16,8,7
"Nlrc5","Nlrc5",1465,1600,1718,2713,3262,2927
"Zfp788","Zfp788",92,111,69,64,95,71
"AW146154","AW146154",25,45,64,65,54,49
"Plekhf1","Plekhf1",722,823,756,1057,1079,1064
"Znhit6","Znhit6",542,563,573,559,545,478
"Zfp791","Zfp791",92,78,68,153,52,77
"G430095P16Rik","G430095P16Rik",11,24,13,10,10,7
"Sdhaf1","Sdhaf1",81,106,70,62,67,84
"Dnajb14","Dnajb14",816,1094,985,1050,910,979
"Cox7a1","Cox7a1",63,73,76,68,117,83
"Zfp382","Zfp382",165,143,154,217,136,181
"Zfp568","Zfp568",303,253,269,480,301,326
"Ap1ar","Ap1ar",689,909,798,1371,1399,1488
"Dda1","Dda1",3064,3599,3108,3788,3478,3400
"Ceacam1","Ceacam1",393,442,330,309,387,316
"Gm6166","Gm6166",45,56,32,126,100,127
"Gm12522","Gm12522",14,31,10,46,33,28
"Zfp94","Zfp94",168,152,142,195,143,78
"Zfp109","Zfp109",33,27,68,55,52,78
"Peak1","Peak1",1680,1642,1886,3008,2252,1882
"Apoc4","Apoc4",40,40,25,49,53,39
"I830077J02Rik","I830077J02Rik",411,408,411,1189,1057,1043
"Tmigd3","Tmigd3",105,119,50,275,235,228
"Ccdc61","Ccdc61",404,516,465,477,394,372
"C5ar2","C5ar2",11,21,22,76,53,53
"Gm5544","Gm5544",15,0,1,5,13,1
"Gm15441","Gm15441",13,10,22,22,11,49
"Zfp865","Zfp865",159,152,144,173,142,130
"Zfp628","Zfp628",128,96,142,74,95,86
"X3110039I08Rik","3110039I08Rik",2,5,1,0,0,0
"Gm14548","Gm14548",10,23,12,10,8,11
"Gm15417","Gm15417",51,57,90,51,67,77
"Spc24","Spc24",182,242,150,258,216,232
"Mex3a","Mex3a",16,5,5,6,7,20
"A430078G23Rik","A430078G23Rik",13,5,6,1,5,1
"Zfp558","Zfp558",8,25,13,22,19,22
"Fat3","Fat3",76,43,72,117,69,46
"Gm10705","Gm10705",23,16,18,26,32,29
"Arfip1","Arfip1",74,143,98,199,175,139
"Gm10709","Gm10709",17,25,30,27,15,18
"Gcnt7","Gcnt7",15,32,10,56,25,24
"Cass4","Cass4",66,158,73,113,100,66
"Mocs3","Mocs3",384,480,555,393,377,450
"Zfas1","Zfas1",352,346,277,407,486,472
"Lekr1","Lekr1",52,20,25,35,35,46
"X4931440P22Rik","4931440P22Rik",17,64,12,12,19,33
"Arfgef2","Arfgef2",3831,4419,4456,5436,5108,4473
"Mgst2","Mgst2",684,808,722,672,675,670
"Tox2","Tox2",293,374,421,186,335,379
"Mafb","Mafb",7318,9629,8657,18696,16603,16164
"Mroh8","Mroh8",0,0,0,0,6,1
"X4930518I15Rik","4930518I15Rik",16,24,16,6,5,10
"Cpne1","Cpne1",0,0,2,0,0,0
"X6430550D23Rik","6430550D23Rik",14,11,16,3,4,2
"BC029722","BC029722",547,645,507,463,464,477
"Mcidas","Mcidas",0,0,0,2,16,1
"Myh7b","Myh7b",7,37,28,22,27,22
"Lrrc31","Lrrc31",0,0,0,0,0,3
"Eif2s2","Eif2s2",2125,2708,2515,3614,3392,3718
"Sirpb1c","Sirpb1c",144,229,156,667,641,696
"Defb25","Defb25",14,40,37,14,45,46
"Zcchc3","Zcchc3",167,236,204,209,158,151
"Csnk2a1","Csnk2a1",1020,1347,1151,1514,1449,1447
"Zfp950","Zfp950",82,100,95,99,108,121
"Fndc10","Fndc10",188,247,182,158,200,206
"Thbd","Thbd",326,382,341,426,322,271
"Pdzd8","Pdzd8",847,1050,949,978,979,896
"Atxn7l3b","Atxn7l3b",449,536,589,631,515,578
"Kiz","Kiz",304,402,298,291,237,291
"Smim26","Smim26",111,144,127,98,135,147
"Gm5535","Gm5535",0,3,2,0,6,1
"Ube2n","Ube2n",1461,1896,1656,2261,1776,1806
"AU019990","AU019990",8,5,4,2,1,1
"Plxnc1","Plxnc1",3799,4584,4197,3189,2284,3507
"Arrdc3","Arrdc3",97,142,113,221,108,149
"Slc4a11","Slc4a11",1,9,14,29,11,3
"Itpa","Itpa",571,878,532,879,795,688
"Gm4149","Gm4149",60,65,44,63,43,57
"Gas2l3","Gas2l3",1345,1571,1323,1554,1539,1245
"Gm10762","Gm10762",23,26,20,14,14,6
"Hps6","Hps6",1387,1599,1633,1576,1561,1572
"Gm14005","Gm14005",291,305,296,316,337,368
"Itpripl1","Itpripl1",266,397,264,166,206,146
"X2010315B03Rik","2010315B03Rik",127,178,144,246,257,185
"Platr25","Platr25",101,128,94,110,125,95
"Zfp934","Zfp934",42,49,81,86,59,88
"Zfp808","Zfp808",52,51,29,32,9,57
"Spata5l1","Spata5l1",336,370,252,350,393,303
"Serf2","Serf2",2084,2426,1954,2093,2215,2352
"Grk6","Grk6",1116,1495,1214,1398,1135,1600
"Lcmt2","Lcmt2",1825,2078,1888,1803,1794,1675
"Ifit3","Ifit3",56,61,60,92,92,45
"Sptbn5","Sptbn5",4,3,4,1,1,11
"Ranbp6","Ranbp6",134,141,111,245,213,196
"Chst14","Chst14",356,353,365,406,512,388
"Inafm2","Inafm2",327,316,398,301,328,441
"Fam122a","Fam122a",498,605,482,435,527,574
"Pak6","Pak6",0,1,1,0,0,0
"Ptar1","Ptar1",124,115,132,129,118,159
"Ano3","Ano3",0,1,0,0,0,0
"Gm11382","Gm11382",37,51,66,50,22,38
"Qser1","Qser1",295,477,341,367,319,367
"Nrbf2","Nrbf2",563,629,694,982,1085,963
"Fjx1","Fjx1",49,34,48,45,44,49
"Gm10800","Gm10800",22,21,29,18,51,57
"Gm10801","Gm10801",0,1,1,0,2,5
"Prdm11","Prdm11",4,3,3,1,7,4
"Nxpe3","Nxpe3",190,300,303,325,407,262
"Zfp408","Zfp408",622,708,767,693,775,671
"Duxf3","Duxf3",0,1,0,0,0,0
"Vdac3.ps1","Vdac3-ps1",38,41,41,62,33,62
"Yae1d1","Yae1d1",115,132,170,181,171,190
"Olfr1271","Olfr1271",0,0,1,0,0,1
"Cd80","Cd80",132,127,177,112,108,120
"Ccdc162","Ccdc162",10,21,10,5,1,2
"Znhit2","Znhit2",743,977,905,866,947,1003
"Ccdc58","Ccdc58",176,254,172,275,249,269
"Amd1","Amd1",1076,1263,1066,1369,1315,1285
"Fsip2","Fsip2",0,0,0,0,0,0
"Heg1","Heg1",0,0,0,0,3,0
"Cerkl","Cerkl",0,0,0,0,2,1
"Cenpw","Cenpw",341,445,374,471,461,563
"Gm10819","Gm10819",22,34,26,28,23,22
"Pde11a","Pde11a",532,618,539,518,410,411
"Ttc30a1","Ttc30a1",119,103,97,94,136,137
"Ttc30b","Ttc30b",89,95,88,92,86,101
"Mrpl23.ps1","Mrpl23-ps1",19,16,13,14,28,42
"Wipf1","Wipf1",1285,1611,1544,1682,1323,1276
"Carns1","Carns1",49,68,44,81,52,62
"Klhl41","Klhl41",7,0,0,0,1,0
"Scn9a","Scn9a",0,2,0,0,0,0
"Scn2a","Scn2a",1,0,0,0,0,0
"Fign","Fign",0,1,0,0,0,0
"Zbtb2","Zbtb2",320,279,354,251,244,216
"Rc3h2","Rc3h2",776,966,868,942,1039,898
"Fnbp1","Fnbp1",3948,4347,4465,5492,4434,4688
"Dolk","Dolk",1535,1892,1789,1605,1590,1668
"Dnlz","Dnlz",759,765,669,658,760,708
"Alg10b","Alg10b",136,172,167,178,236,280
"Commd6","Commd6",786,841,810,1122,1393,1184
"Malrd1","Malrd1",0,0,0,1,0,0
"Aarsd1","Aarsd1",1,0,5,11,0,1
"Gm10863","Gm10863",152,159,176,169,141,217
"X6330403L08Rik","6330403L08Rik",12,29,20,47,40,34
"Zfp652","Zfp652",406,493,489,418,416,360
"B130006D01Rik","B130006D01Rik",0,2,5,7,0,0
"Zc3h3","Zc3h3",697,966,888,934,930,783
"Ly6a","Ly6a",2,7,7,2444,2112,1695
"Gm7935","Gm7935",27,23,17,35,19,10
"Gm11545","Gm11545",215,197,252,214,193,196
"Selenot","Selenot",228,216,236,258,368,434
"Selenos","Selenos",1158,1372,1189,1262,1183,1307
"Selenom","Selenom",491,614,535,485,690,659
"Selenoi","Selenoi",290,462,456,634,389,430
"Txnrd2","Txnrd2",1561,2106,2106,1668,1573,1698
"Msrb1","Msrb1",1545,1542,1491,1950,2049,1829
"Gpx4","Gpx4",7934,9481,7822,11602,11819,12323
"Gm23935","Gm23935",42056,60517,48757,57140,73523,72571
"Gm24270","Gm24270",1840,2835,2014,2370,3090,3402
"Sox4","Sox4",85,125,82,180,104,102
"Ywhaq","Ywhaq",5320,6424,6075,7041,6578,6919
"Cep295nl","Cep295nl",19,10,16,46,22,22
"Acsf2","Acsf2",346,406,359,417,460,442
"Selenoh","Selenoh",288,398,284,328,416,395
"Ass1","Ass1",993,1215,1022,1078,942,1003
"Ighm","Ighm",1,11,1,0,0,0
"Rab11b","Rab11b",2927,3606,3389,3102,2956,2883
"Rpl23a.ps3","Rpl23a-ps3",21,34,23,16,23,34
"Actl10","Actl10",12,35,31,6,21,19
"Ankrd63","Ankrd63",21,36,25,20,14,22
"Psme2b","Psme2b",295,414,331,445,403,386
"Gm16503","Gm16503",0,0,0,0,0,6
"Chml","Chml",61,92,80,90,86,49
"Gm2000","Gm2000",293,335,270,402,388,367
"Tmem203","Tmem203",168,205,193,203,231,228
"Airn","Airn",36,58,32,72,61,95
"Hmga1b","Hmga1b",66,98,64,81,74,67
"F8a","F8a",171,200,126,107,148,80
"Sf3b5","Sf3b5",1724,2191,1641,2150,1959,2013
"AW011738","AW011738",4,15,10,6,36,8
"Gm4294","Gm4294",36,41,16,47,40,40
"Sarnp","Sarnp",968,1012,901,1106,940,1028
"Ctdsp2","Ctdsp2",1841,2653,2148,1975,1872,1788
"Dohh","Dohh",534,756,601,627,591,577
"Raet1d","Raet1d",15,6,3,16,3,8
"Abracl","Abracl",166,194,182,225,186,202
"Plekhn1","Plekhn1",1516,2118,1807,1820,1819,1843
"Perm1","Perm1",23,12,31,12,31,9
"Cfap74","Cfap74",21,33,28,19,36,4
"Zfp984","Zfp984",220,253,257,223,149,179
"Ddi2","Ddi2",1192,1550,1442,2021,1964,1819
"Emc1","Emc1",5242,5549,5666,5931,5507,5150
"Aunip","Aunip",83,128,90,82,76,77
"Nkain1","Nkain1",117,77,64,103,37,119
"Zfp995","Zfp995",40,80,75,64,74,95
"Bnip3","Bnip3",3271,4701,3897,4208,3667,4158
"X1110065P20Rik","1110065P20Rik",56,72,52,53,54,54
"Ndufaf8","Ndufaf8",427,473,373,484,570,522
"Ube2d3","Ube2d3",8521,10548,10015,13099,10901,13108
"E430018J23Rik","E430018J23Rik",177,126,139,104,77,82
"AU022252","AU022252",564,648,542,647,645,608
"Gm4609","Gm4609",17,36,3,22,18,27
"Gm4070","Gm4070",60,57,57,54,62,28
"X1810010H24Rik","1810010H24Rik",38,55,38,53,67,85
"Smarcd2","Smarcd2",3179,4065,3491,3344,3578,3393
"Ccdc47","Ccdc47",1770,2187,2058,1982,2228,2135
"Gm7336","Gm7336",20,32,12,19,28,36
"Aoc2","Aoc2",27,11,10,12,20,5
"Psme3","Psme3",4798,5433,5059,5170,4328,4486
"Cntd1","Cntd1",27,37,30,63,53,33
"Chd2","Chd2",1071,1176,1163,1087,952,926
"Casc3","Casc3",904,1204,1129,1158,1160,1099
"Tm2d3","Tm2d3",1017,1172,1041,1075,1154,1205
"X5830417I10Rik","5830417I10Rik",651,717,775,740,782,662
"Cisd3","Cisd3",494,690,520,599,559,651
"D030028A08Rik","D030028A08Rik",122,166,127,48,131,88
"Tomm5","Tomm5",971,1354,998,1059,1038,1222
"Tmem8b","Tmem8b",41,62,38,40,61,78
"Haus5","Haus5",75,114,72,106,114,97
"Zfp566","Zfp566",5,26,26,27,21,9
"Evi2a","Evi2a",742,914,726,766,783,736
"Rad54b","Rad54b",56,104,86,118,94,59
"X9530053A07Rik","9530053A07Rik",4,5,18,10,9,7
"Zfp59","Zfp59",126,168,243,194,275,175
"X1810022K09Rik","1810022K09Rik",198,401,372,387,456,586
"BC024978","BC024978",134,140,109,167,134,217
"Dph1","Dph1",688,893,761,699,705,624
"Zfp541","Zfp541",30,8,14,0,19,0
"Eif5a","Eif5a",22688,30045,25050,29191,26780,26717
"Leng1","Leng1",310,361,387,446,421,491
"Hist3h2a","Hist3h2a",66,65,79,54,43,69
"Igtp","Igtp",232,267,217,351,266,260
"Zfp931","Zfp931",21,21,14,15,8,34
"Gm14326","Gm14326",122,102,84,93,91,134
"Gm14322","Gm14322",5,10,6,15,7,8
"Gm14418","Gm14418",4,25,12,4,12,22
"Gm14410","Gm14410",63,80,58,67,57,67
"Gm14295","Gm14295",33,35,31,39,94,19
"Gm14305","Gm14305",73,98,74,94,107,100
"Gm4724","Gm4724",16,24,17,20,32,31
"Fam186b","Fam186b",26,19,45,12,28,29
"Mon1b","Mon1b",1020,1148,1182,1247,1190,1090
"Dpm1","Dpm1",31,31,29,48,23,33
"Ifi47","Ifi47",28,44,32,87,45,16
"Ube2v1","Ube2v1",9,8,9,20,14,17
"Ak6","Ak6",491,624,494,566,613,519
"Naip6","Naip6",394,644,497,629,607,501
"Naip2","Naip2",946,1280,1129,1418,1112,1088
"Lncenc1","Lncenc1",0,1,11,0,0,2
"Arhgap8","Arhgap8",780,789,823,787,678,581
"Gm14221","Gm14221",77,90,89,27,28,49
"X4932414J04Rik","4932414J04Rik",0,0,0,0,0,1
"Gm12033","Gm12033",4,19,8,20,17,7
"Wdr92","Wdr92",461,660,546,730,569,605
"Sec61g","Sec61g",899,1064,906,1518,1319,1480
"Zfp429","Zfp429",121,83,109,128,97,130
"Zfp456","Zfp456",23,29,33,9,57,41
"Samd1","Samd1",48,102,49,69,67,76
"Ifi27l2a","Ifi27l2a",800,1077,814,1171,1123,978
"Ly6c1","Ly6c1",0,0,0,187,174,187
"Slc45a4","Slc45a4",535,654,461,627,274,778
"Mef2b","Mef2b",384,335,384,358,400,357
"Alkbh1","Alkbh1",233,332,363,334,423,300
"Prnp","Prnp",1198,1367,1413,2060,1654,1859
"D130040H23Rik","D130040H23Rik",0,0,0,0,0,0
"Fastkd5","Fastkd5",289,367,422,407,400,346
"Serpinb1c","Serpinb1c",383,493,416,404,281,344
"Vinac1","Vinac1",0,5,0,0,0,0
"Kcnip3","Kcnip3",19,18,29,9,22,53
"Cyp4v3","Cyp4v3",2668,3277,3241,2703,2223,2100
"BC005561","BC005561",54,126,81,100,99,72
"Jrkl","Jrkl",20,21,7,14,30,52
"Ccdc82","Ccdc82",317,350,406,385,311,396
"Prps1l3","Prps1l3",731,885,832,964,766,872
"Srp54c","Srp54c",273,355,387,472,425,494
"Pms2","Pms2",373,435,431,378,388,316
"Capn3","Capn3",0,34,21,1,9,21
"Kdelr2","Kdelr2",1660,2093,1766,2611,2066,2425
"Gm4204","Gm4204",116,167,136,158,175,198
"A130010J15Rik","A130010J15Rik",100,92,87,105,164,130
"Zan","Zan",687,805,837,390,252,340
"Rab10os","Rab10os",658,942,844,858,805,709
"Mphosph8","Mphosph8",229,299,236,281,328,315
"AC133103.1","AC133103.1",137,161,128,224,226,214
"Psme2","Psme2",3183,3922,3370,4680,4299,4230
"Zfp664","Zfp664",605,563,675,809,868,748
"Gm9531","Gm9531",37,48,53,65,40,41
"Ccr5","Ccr5",7,11,9,186,224,223
"C730034F03Rik","C730034F03Rik",69,31,50,60,59,90
"Trim71","Trim71",0,0,0,0,0,0
"Tmppe","Tmppe",387,364,371,462,462,360
"X2310009B15Rik","2310009B15Rik",252,247,223,272,270,253
"Clec7a","Clec7a",2317,2049,2242,2330,2074,2310
"Gm2223","Gm2223",14,46,31,28,22,41
"Rab9","Rab9",587,857,705,1036,1021,1289
"Trappc2","Trappc2",151,202,218,287,355,298
"Naa80","Naa80",860,989,1004,879,804,767
"Ifit1bl1","Ifit1bl1",7,1,0,19,4,18
"Gm11110","Gm11110",245,330,240,403,252,359
"Atg4a","Atg4a",669,749,663,903,811,818
"Ms4a6c","Ms4a6c",19,27,19,42,44,37
"Arpc4","Arpc4",4222,5425,4907,5659,4852,4714
"Mthfsl","Mthfsl",451,464,419,472,432,402
"Mroh2a","Mroh2a",89,64,69,104,88,53
"Rpl36a","Rpl36a",2265,2558,2181,2423,2558,2844
"St6galnac4","St6galnac4",4000,4651,3942,5362,5443,5763
"B3gnt7","B3gnt7",25,30,49,36,20,8
"Col4a3","Col4a3",0,4,0,2,5,0
"Pigb","Pigb",230,418,312,301,281,297
"Utp14b","Utp14b",123,89,103,156,136,107
"Rab7","Rab7",7279,8989,8204,11022,9835,10332
"Pin4","Pin4",499,644,477,700,642,699
"Nhsl2","Nhsl2",0,1,0,7,0,1
"Med12","Med12",2413,2949,2764,2607,2626,2034
"H2.T10","H2-T10",15,18,41,29,85,40
"X6530402F18Rik","6530402F18Rik",4,6,0,2,0,10
"Gm11131","Gm11131",2,1,0,0,1,1
"H2.Q1","H2-Q1",17,17,30,22,27,30
