Geneid,control Evs_1,control Evs_2,control Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Yju2,346,0,0,0,156,75
Ranbp2,2075,139,183,6,49,131
Grk5,724,0,0,0,37,22
Dvl3,139,0,0,0,21,0
Abcf3,1567,0,587,334,631,284
Eif2b5,1631,99,113,262,396,523
Cyth2,1696,161,398,0,198,30
Sult2b1,0,12,0,0,0,0
Dlgap1,0,0,0,0,0,0
Hck,0,0,0,0,0,0
Mrpl4,1693,196,99,382,359,0
Keap1,371,527,60,2,415,411
Glg1,2495,706,8,1,1160,497
Atp8b3,0,0,0,0,0,0
Btbd2,254,0,0,0,71,3
Csnk1g2,155,113,158,856,532,1441
Abhd17a,2656,1398,807,1022,1812,1635
Mob3a,0,70,10,0,16,107
Cacnb3,0,0,1,38,189,158
Ccdc65,0,0,0,0,0,0
Fkbp11,1672,685,938,295,580,606
Ddx23,0,4,0,64,0,16
Pld3,6945,842,2422,499,1389,235
Grik5,0,1,0,0,0,0
Rabac1,1253,570,825,455,935,584
Etv3,27,807,345,614,1047,787
Prkcsh,1746,513,20,0,535,52
Elavl3,0,0,0,0,0,0
Rab3b,0,0,0,0,0,1
St8sia6,0,0,0,0,0,0
Fcgrt,1354,234,570,191,442,376
Nosip,524,76,132,6,130,90
Pih1d1,260,106,69,77,167,58
Rps11,3298,2122,2596,2497,3300,3279
Supt5,3341,703,713,51,399,195
Paf1,0,112,1,18,200,217
Timm50,2506,320,705,227,439,121
Med29,302,106,183,33,73,36
Bicd1,0,0,0,0,0,0
Ncstn,5750,330,0,327,763,147
Pex19,3164,308,402,153,690,164
Crhr2,132,0,3,7,10,0
Cyp4f18,124,152,137,0,6,43
Impdh1,1101,170,24,149,210,86
Dusp3,399,372,666,71,825,677
Ess2,1459,0,95,0,162,0
Slc25a1,1600,904,422,1146,624,1080
Dgcr6,845,242,409,107,364,111
Ddr1,0,0,0,0,0,0
Ier3,1874,411,400,92,537,181
Klc4,2904,841,822,2622,2673,2416
Ercc1,313,0,0,0,71,44
As3mt,0,0,0,0,0,0
Homer3,201,6,75,0,157,43
Crtc1,245,69,76,0,105,104
Rnf215,0,0,0,0,0,8
Sec14l2,201,18,219,0,50,95
Aven,239,101,121,49,203,227
Cp,0,0,0,0,0,0
Crot,1037,0,231,164,200,167
Rps6ka1,2787,761,815,24,760,147
Snrnp200,1387,316,812,87,441,180
Ciao1,1285,312,368,0,707,243
Taf6l,366,0,0,0,355,21
Insig2,2486,885,1850,272,1899,1055
Kpna6,1254,262,357,195,1208,1260
Man1a,1119,109,197,0,127,39
Itpkc,0,0,0,0,57,77
Coq8b,0,51,41,0,2,55
Brd8,451,256,78,54,358,280
Kif20a,1321,243,204,0,249,0
Farsa,2266,331,634,0,513,170
Gcdh,1433,0,145,0,432,0
Mast2,32,357,337,121,371,224
Dnase2a,3682,277,212,80,524,581
Rad23a,1213,149,324,202,783,262
Calr,23001,3165,6171,1443,3446,921
Syce2,469,106,417,60,397,313
Nfat5,3,0,1,8,30,36
Nob1,918,114,26,199,342,101
Nqo1,234,0,0,0,83,2
Ppfia3,0,0,0,0,59,0
Gys1,1977,1295,1148,487,1573,808
Ruvbl2,1317,316,398,184,410,79
Bax,2840,595,892,106,809,338
Il7r,0,0,0,0,0,0
Tfam,1154,9,358,251,367,424
Zfp81,0,195,1,0,26,53
Mmd,1034,185,100,117,74,19
Fam162a,616,286,168,366,322,187
Rpl8,7339,9301,10033,12757,16468,16505
Fancl,506,38,0,185,46,29
Gstm5,393,372,389,161,488,105
Gstm3,21,0,1,0,3,0
Stat3,5601,662,222,434,955,436
Stat5a,528,190,0,10,14,88
Map3k11,377,458,2,153,365,129
Akt2,977,907,842,216,1108,537
Dnaja3,1604,449,816,1152,1040,139
Hmox2,349,102,170,172,202,27
Cdip1,1474,969,1085,200,1586,462
Map3k20,1925,591,485,737,1271,810
Cwc15,1262,290,448,12,345,167
Col5a3,0,0,1,0,0,0
