Geneid,control Evs Tx_1,control Evs Tx_2,control Evs Tx_3,IL-10 Evs Tx_1,IL-10 Evs Tx_2,IL-10 Evs Tx_3
ENSMUSG00000103246,0,0,0,0,0,0
ENSMUSG00000098876,0,0,0,0,0,0
ENSMUSG00000100530,0,0,0,0,0,0
ENSMUSG00000104067,0,0,0,0,0,0
ENSMUSG00000100033,0,0,0,0,0,0
ENSMUSG00002075213,0,0,0,0,0,0
ENSMUSG00002076633,0,0,0,0,0,0
ENSMUSG00000101996,0,0,0,0,0,0
ENSMUSG00000096973,0,0,0,0,0,0
ENSMUSG00000064943,0,0,0,0,0,0
ENSMUSG00000100866,0,0,0,0,0,0
ENSMUSG00000101721,0,0,0,0,0,0
ENSMUSG00000099376,0,0,0,0,0,0
ENSMUSG00000097883,0,0,0,0,0,0
ENSMUSG00002076043,0,0,0,0,0,0
ENSMUSG00000099698,0,0,0,0,0,0
ENSMUSG00000056763,2625,2876,3191,3318,3131,3420
ENSMUSG00000099454,0,0,0,0,0,0
ENSMUSG00000051616,0,0,0,0,0,0
ENSMUSG00000099627,0,0,0,0,0,0
ENSMUSG00000099577,0,0,0,0,0,0
ENSMUSG00000099882,0,0,0,0,0,0
ENSMUSG00000101760,0,0,0,0,0,0
ENSMUSG00000102356,41,33,49,27,43,33
ENSMUSG00000099608,0,0,0,0,0,0
ENSMUSG00000099864,0,0,0,0,0,0
ENSMUSG00002075839,0,0,0,0,0,0
ENSMUSG00000100451,0,0,0,0,0,0
ENSMUSG00000099941,0,0,0,0,0,0
ENSMUSG00002075589,0,0,0,0,0,0
ENSMUSG00000100816,0,0,0,0,0,0
ENSMUSG00000042671,0,0,0,0,0,0
ENSMUSG00000100945,0,0,0,0,0,0
ENSMUSG00000102404,0,0,0,2,0,0
ENSMUSG00000100334,0,0,0,0,2,0
ENSMUSG00000026109,0,0,0,0,0,0
ENSMUSG00000026475,82,100,45,129,138,101
ENSMUSG00000099568,0,0,0,0,0,0
ENSMUSG00000100671,0,0,0,0,0,0
ENSMUSG00002075527,0,0,0,0,0,0
ENSMUSG00000101242,0,0,0,0,0,0
ENSMUSG00000099924,0,0,0,0,0,0
ENSMUSG00000099625,0,0,0,0,0,0
ENSMUSG00000101799,0,0,0,0,0,0
ENSMUSG00000045954,0,0,0,0,0,0
ENSMUSG00000099741,0,0,0,0,0,0
ENSMUSG00000101702,0,0,0,0,0,0
ENSMUSG00000066800,0,0,0,0,0,0
ENSMUSG00000100183,0,0,3,0,0,4
ENSMUSG00000067851,20,21,24,21,32,31
ENSMUSG00002076532,0,0,0,0,0,0
ENSMUSG00000102556,0,0,0,0,0,0
ENSMUSG00000038608,1020,1187,1206,1210,1707,1386
ENSMUSG00000042501,0,0,0,0,0,0
ENSMUSG00000103810,0,0,0,0,0,0
ENSMUSG00000083422,0,0,0,0,0,0
ENSMUSG00000119312,0,0,0,0,0,0
ENSMUSG00000042641,0,0,1,0,0,0
ENSMUSG00000081417,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0
ENSMUSG00000103192,0,6,4,2,2,2
ENSMUSG00000104488,2,0,0,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0
ENSMUSG00000102721,0,2,0,0,2,0
ENSMUSG00000100648,0,0,0,0,0,0
ENSMUSG00002076499,0,0,0,0,0,0
ENSMUSG00000099949,0,0,0,0,0,0
ENSMUSG00000099918,0,0,0,0,0,0
ENSMUSG00000045968,0,1,0,2,0,3
ENSMUSG00000043282,283,248,234,247,352,222
ENSMUSG00000102459,2,3,1,5,0,7
ENSMUSG00000047053,9,14,6,11,25,3
ENSMUSG00000099227,0,0,0,0,0,0
ENSMUSG00000026107,0,0,0,0,1,0
ENSMUSG00000099413,0,0,0,0,0,0
ENSMUSG00000103424,0,0,0,0,0,0
ENSMUSG00000054976,0,0,0,0,0,0
ENSMUSG00000104029,0,0,0,0,0,0
ENSMUSG00000101986,0,0,0,0,0,0
ENSMUSG00000087008,0,0,0,0,0,0
ENSMUSG00000100561,0,0,0,0,0,0
ENSMUSG00000103571,0,0,0,0,0,0
ENSMUSG00000098797,0,0,0,0,0,0
ENSMUSG00000026473,7,12,13,12,13,7
ENSMUSG00000100014,3,1,5,1,0,0
ENSMUSG00000101903,0,0,0,0,0,0
ENSMUSG00000055980,0,0,0,0,0,0
ENSMUSG00000100502,1222,1475,1308,1647,1952,1511
ENSMUSG00000022591,0,0,0,0,0,0
ENSMUSG00000088669,0,0,0,0,0,0
ENSMUSG00000066797,0,0,0,0,0,0
ENSMUSG00000048960,0,0,0,0,0,0
ENSMUSG00000099933,0,0,0,0,0,0
ENSMUSG00000100221,0,0,0,0,0,0
ENSMUSG00002076439,0,1,0,0,0,0
ENSMUSG00000100031,0,0,0,0,0,0
ENSMUSG00000077318,0,0,0,0,0,0
ENSMUSG00000101827,0,0,0,0,0,0
ENSMUSG00000103494,0,0,0,0,0,0
ENSMUSG00000026142,16,20,9,7,17,14
ENSMUSG00000104493,4,11,11,10,3,2
ENSMUSG00000100786,408,548,519,668,485,664
ENSMUSG00002075724,0,0,0,0,0,0
ENSMUSG00000067158,928,1202,1159,1400,1064,1376
ENSMUSG00000079465,0,0,1,0,0,0
ENSMUSG00002075966,0,0,0,0,0,0
ENSMUSG00000004110,0,0,0,0,0,0
ENSMUSG00000097564,1,0,0,1,0,1
ENSMUSG00000101880,0,0,0,0,0,0
ENSMUSG00000101433,0,0,0,0,0,0
ENSMUSG00000096950,0,0,0,0,0,0
ENSMUSG00000056708,3,0,0,3,0,0
ENSMUSG00000026471,379,455,484,470,400,501
ENSMUSG00000057715,0,0,0,0,0,0
ENSMUSG00000026470,409,441,393,543,440,513
ENSMUSG00000103825,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0
ENSMUSG00000101610,6,0,0,0,0,0
ENSMUSG00000104181,6,14,10,15,18,11
ENSMUSG00000118923,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0
ENSMUSG00000097628,0,0,0,0,0,0
ENSMUSG00000098163,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0
ENSMUSG00000033722,214,121,150,102,138,193
ENSMUSG00000103670,0,0,0,0,0,2
ENSMUSG00000026150,1711,1962,2175,2154,1938,2465
ENSMUSG00000101450,0,0,0,0,0,0
ENSMUSG00000026149,651,637,733,829,816,847
