"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Stat3","Stat3",5874,6695,6859,9455,6715,7515
"Stat5a","Stat5a",836,985,906,662,481,556
"Map3k11","Map3k11",2582,3536,2740,3877,2648,3018
"Akt2","Akt2",1809,2542,2150,1561,1124,1439
"Dnaja3","Dnaja3",3878,4519,4196,5956,3661,4278
"Hmox2","Hmox2",1478,1834,1540,2709,2132,2230
"Cdip1","Cdip1",3459,3917,3685,1721,1224,1428
"Map3k20","Map3k20",2756,3496,3149,4465,2409,2691
"Cwc15","Cwc15",1169,1319,1198,1996,1377,1625
"Col5a3","Col5a3",0,0,0,0,1,0
"Dnmt1","Dnmt1",8208,11106,9215,14374,9719,11471
"Ppan","Ppan",1887,2408,1877,3520,2441,2707
"Angptl2","Angptl2",9037,11003,10951,1767,1081,1278
"Cacna1e","Cacna1e",0,0,0,0,0,1
"Cacna1b","Cacna1b",20,12,55,23,30,43
"Trmt10a","Trmt10a",88,188,117,284,206,189
"Etv1","Etv1",602,668,698,1235,697,982
"Kifc2","Kifc2",19,25,4,48,29,18
"Psap","Psap",153593,172153,171630,352784,244281,281646
"Ikbkg","Ikbkg",2593,2783,2664,4854,2830,3495
"Wars2","Wars2",503,611,631,825,491,519
"Phb2","Phb2",4078,5191,4339,9161,6320,7605
"Ptpn6","Ptpn6",7805,9737,8762,18430,12860,14942
"Eno2","Eno2",1176,1317,1318,2341,1419,1947
"Emg1","Emg1",1496,2006,1814,3619,2517,2814
"Lpcat3","Lpcat3",2686,2963,2837,4323,2917,3320
"Atp6v1f","Atp6v1f",10390,11481,10527,14686,10939,11538
"Clcn5","Clcn5",1515,1390,1734,1971,1102,1160
"Clcn3","Clcn3",1742,1850,1907,2805,1542,1878
"Pde1c","Pde1c",0,0,3,0,6,0
"Utp20","Utp20",1320,1553,1586,3151,1971,2062
"Spic","Spic",0,0,0,441,257,280
"Cul3","Cul3",189,259,257,398,211,243
"Large1","Large1",1529,1552,1610,1384,878,1101
"Ddx56","Ddx56",3839,4581,4130,6197,4663,5059
"Tmed4","Tmed4",4277,5108,5051,4410,2982,3545
"Col26a1","Col26a1",1,2,0,0,0,0
"Bid","Bid",2036,2702,2431,3810,2913,2976
"Ralb","Ralb",2564,3263,2888,5355,3838,4080
"Ppp1cc","Ppp1cc",3637,4189,3841,5036,3220,3542
"Dnajb11","Dnajb11",2653,3060,2868,5869,3965,4603
"Tbccd1","Tbccd1",638,657,726,1137,691,830
"Clec11a","Clec11a",95,85,57,81,77,95
"Zfp324","Zfp324",166,282,238,319,242,242
"Gab2","Gab2",3470,3557,3855,3639,2440,2365
"Coro1c","Coro1c",11255,13618,12573,12511,9026,10303
"Tax1bp1","Tax1bp1",9213,10421,10428,11391,6313,7466
"Ctse","Ctse",34,42,38,38,7,22
"Mettl17","Mettl17",425,532,529,400,322,423
"Arhgef40","Arhgef40",0,3,0,13,5,8
"Pnpla6","Pnpla6",882,1240,1177,1353,1129,1168
"Mcoln1","Mcoln1",5038,5725,5756,6880,4718,5673
"Arhgef18","Arhgef18",1499,1917,1778,1875,1353,1566
"Pkn2","Pkn2",764,1025,1087,1557,816,1128
"Cd33","Cd33",4539,5196,5187,8103,4870,5528
"Etfb","Etfb",208,259,248,338,239,284
"Stxbp2","Stxbp2",13530,15546,14597,14698,10377,12042
"Sgce","Sgce",510,544,537,527,332,404
"Wwox","Wwox",776,921,837,676,459,589
"Slbp","Slbp",759,921,848,1795,1061,1206
"Arid3b","Arid3b",117,122,191,209,141,201
"Cnn2","Cnn2",2,7,6,27,38,18
"Polr2e","Polr2e",2686,3166,2523,4719,3203,3858
"Abca13","Abca13",0,2,0,0,4,0
"Myo9b","Myo9b",7906,9151,8849,8710,6012,6512
"Hdac9","Hdac9",1,1,0,0,0,0
"Ly9","Ly9",1206,1210,1178,2649,1866,2014
"Cd244a","Cd244a",107,97,188,246,153,116
"Adgre1","Adgre1",17323,20821,18829,106121,70457,79112
"Mtfp1","Mtfp1",374,442,460,425,320,281
"Rab23","Rab23",144,182,106,321,252,245
"Rab11a","Rab11a",2392,2824,2841,2887,1784,2086
"Eif2b2","Eif2b2",2110,2562,2372,3534,2586,3015
"Dlst","Dlst",4177,5333,4708,8519,6155,7028
"Pgf","Pgf",0,5,11,25,29,9
"Ulk2","Ulk2",371,557,532,318,118,185
"Ccl24","Ccl24",27,21,26,12,1,4
"Dgkq","Dgkq",381,377,416,699,405,377
"Grap","Grap",0,0,0,112,87,109
"Chmp2b","Chmp2b",1275,1571,1425,1950,991,1283
"Plod3","Plod3",3610,4160,3773,2937,2481,2840
"Ap1s1","Ap1s1",5903,7763,6360,13805,10544,12763
"Srpk1","Srpk1",5084,6039,5832,3627,2412,2588
"Pax3","Pax3",103,83,107,32,29,24
"Lbr","Lbr",311,456,389,1271,839,802
"Prcc","Prcc",636,852,609,979,717,712
"Rrnad1","Rrnad1",272,414,384,714,511,579
"Hdgf","Hdgf",6266,7206,6357,13326,6452,6525
"Thop1","Thop1",2093,2902,2434,5918,4387,5393
"Apba3","Apba3",1256,1555,1339,1411,994,1249
"Pias4","Pias4",1696,2070,1797,2100,1609,1786
"Map2k1","Map2k1",2638,2886,2678,4434,3197,3237
"Sgta","Sgta",3281,3967,3716,5519,3964,4960
"Tmem242","Tmem242",895,1003,915,1381,976,1159
"Dtx2","Dtx2",392,607,484,1481,1097,1210
"Rasa4","Rasa4",938,1264,1146,2111,1648,1878
"Hnrnpa2b1","Hnrnpa2b1",7288,9699,7886,18159,9741,12653
"Ccdc130","Ccdc130",968,1015,1043,965,734,694
"Mri1","Mri1",5888,7310,6488,4856,3451,4168
"Prkacb","Prkacb",2025,2598,2533,4301,2306,2763
"Sgsh","Sgsh",397,483,488,581,319,393
"Chd5","Chd5",5,1,6,15,18,32
"Cstb","Cstb",14190,15913,13768,27398,18408,21919
"Sh2b2","Sh2b2",2301,2985,2656,2252,1247,1656
"Pex5","Pex5",2047,2950,2536,3100,1894,2491
"Jkamp","Jkamp",546,594,586,1035,614,663
"Cd44","Cd44",5524,5556,6173,5939,4262,4524
"Slc1a2","Slc1a2",8,1,12,45,24,29
"Eif2ak4","Eif2ak4",3696,4413,4030,3478,2034,2481
"Wdr1","Wdr1",10230,11603,11214,14419,10612,11703
"Slc2a9","Slc2a9",385,371,396,789,445,472
"Ndrg1","Ndrg1",10625,14212,12444,1707,1242,1391
"X4930550C14Rik","4930550C14Rik",4,19,21,11,6,15
"Man2b1","Man2b1",16695,19484,18716,10007,7114,7989
"Wdr83","Wdr83",740,774,762,964,680,692
"Prdx2","Prdx2",6968,8573,6789,11836,8735,9774
"Polr2a","Polr2a",4829,5468,5733,4181,2751,3439
"Senp3","Senp3",2396,2617,2371,2693,1735,2214
"Plekha8","Plekha8",1242,1423,1335,1619,904,1046
"Spc25","Spc25",364,627,337,1816,1002,1380
"Dnah2","Dnah2",0,0,0,1,0,4
"Ufd1","Ufd1",618,858,848,1402,1073,1038
"Zfp287","Zfp287",153,200,173,314,187,203
"Prlr","Prlr",1,0,1,0,0,0
"Letm1","Letm1",2282,2752,2335,4150,3043,3383
"Ubqln1","Ubqln1",6689,8068,7708,11595,7127,8277
"Fgfr4","Fgfr4",0,0,0,2,0,0
"Txn2","Txn2",3366,4393,3729,7620,5381,6686
"Slc1a3","Slc1a3",0,1,0,0,0,1
"Crbn","Crbn",631,908,788,1186,692,884
"Msh6","Msh6",3729,4466,3775,6377,3781,4552
"Fbxo11","Fbxo11",115,184,174,216,84,96
"Mlxipl","Mlxipl",0,0,0,6,0,10
"Tbl2","Tbl2",826,932,844,1615,1139,1337
"Bud23","Bud23",1257,1555,1333,2704,2040,2156
"Mcm5","Mcm5",2762,3953,2832,8782,7102,8009
"Hmox1","Hmox1",19475,25008,21631,71429,52160,61327
"Mprip","Mprip",902,1055,920,1173,612,553
"Cic","Cic",996,1162,1115,974,604,759
"Il27ra","Il27ra",2,5,1,7,9,6
"Prkaca","Prkaca",3256,4059,3573,3660,2117,2345
"Asf1b","Asf1b",1252,1840,1529,4711,3351,3571
"Ddx39","Ddx39",4324,6069,4739,12563,10074,10345
"Dnajb1","Dnajb1",736,1155,977,1567,1077,1150
"Usp40","Usp40",972,872,1079,1769,940,1183
"Kbtbd4","Kbtbd4",475,553,533,749,644,676
"Celf1","Celf1",3264,3727,3933,7770,4388,4944
"Ndufs3","Ndufs3",3666,4563,4056,5606,3608,4441
"Por","Por",9901,12132,11503,19960,16015,19122
"Igf1r","Igf1r",1062,1011,1095,632,436,424
"Insr","Insr",568,545,548,946,492,515
"Trim28","Trim28",3520,4913,4006,5031,3479,3707
"Ube2m","Ube2m",2235,2601,2240,3818,2256,2315
"Adcy9","Adcy9",262,326,306,312,236,234
"Mef2c","Mef2c",921,1336,1073,701,321,389
"Ctr9","Ctr9",2301,2480,2435,3976,2385,2835
"Eif4g2","Eif4g2",20760,24495,23199,71576,42977,47602
"Pcyt1a","Pcyt1a",3766,4085,4395,4677,2916,3218
"Zfp592","Zfp592",733,879,1004,1034,677,689
"Psmd4","Psmd4",7905,9867,8934,13766,10245,11597
"Tmod4","Tmod4",1,2,11,2,9,4
"Snx6","Snx6",2371,2820,2321,4185,2567,2807
"Mthfd2","Mthfd2",2839,3120,3375,8278,5427,6182
"Kit","Kit",0,0,0,0,0,0
"Tomm40l","Tomm40l",416,479,421,431,306,456
"Apoa2","Apoa2",19,26,20,20,3,12
"Pan2","Pan2",789,938,921,800,571,618
"Cs","Cs",8646,10701,9546,21649,15075,17133
"Ampd3","Ampd3",2796,2759,2996,5817,3696,4427
"Bcas2","Bcas2",3532,4503,3952,6447,3586,4277
"Ctcf","Ctcf",604,780,657,1143,759,794
"Pard6a","Pard6a",340,501,365,432,291,363
"Tfap4","Tfap4",21,32,43,57,35,38
"Ranbp1","Ranbp1",766,942,815,2874,1639,2250
"Rfx5","Rfx5",271,297,348,471,289,332
"Psmb4","Psmb4",6815,7876,6897,12969,9741,10534
"Mmp8","Mmp8",2,22,7,3,27,7
"Slc30a4","Slc30a4",994,1008,1005,1273,737,831
"Sqor","Sqor",3352,3829,3721,8646,5098,6114
"Bloc1s6","Bloc1s6",1855,1902,1837,2578,1722,1979
"Metap1","Metap1",1275,1504,1462,3853,2495,2701
"Gpr108","Gpr108",3827,4741,4607,4572,3325,3840
"Tnfsf14","Tnfsf14",91,96,120,76,42,61
"Rsl1d1","Rsl1d1",2365,3187,2984,8284,4996,5594
"Apc","Apc",515,406,657,742,293,437
"Reep5","Reep5",2445,2790,2635,5764,4064,4642
"Ergic3","Ergic3",8777,11097,9777,11041,7914,9110
"Uqcc1","Uqcc1",2921,3341,2965,5916,4242,4733
"Ncoa2","Ncoa2",780,1159,961,1583,898,1030
"Nr2c2","Nr2c2",406,389,352,706,401,256
"Nr2c1","Nr2c1",348,579,443,608,405,403
"Smpd4","Smpd4",693,906,758,1658,1074,1163
"Pex1","Pex1",839,921,844,992,695,766
"Kctd20","Kctd20",2939,3705,3207,4534,3207,3581
"Ctns","Ctns",2230,2447,2626,1829,1216,1578
"Shpk","Shpk",231,249,305,243,153,192
"Ephb3","Ephb3",2349,2509,2553,846,677,733
"Tuft1","Tuft1",784,1001,930,864,534,697
"Rcn1","Rcn1",527,595,588,1547,815,1062
"Dnase1","Dnase1",26,26,16,48,29,41
"Trap1","Trap1",6273,8072,6920,8652,5851,6967
"Naa60","Naa60",721,858,845,1290,825,948
"X1700037C18Rik","1700037C18Rik",77,48,88,112,104,120
"Ankrd13d","Ankrd13d",292,449,425,970,544,567
"Tpr","Tpr",2157,2609,2378,3326,1744,2544
"Odr4","Odr4",705,887,814,1181,705,943
"Prg4","Prg4",0,23,5,2,1,0
"Dhx34","Dhx34",1375,1560,1682,1446,1129,1142
"Kptn","Kptn",466,600,529,517,291,368
"Napa","Napa",10934,13316,11490,14602,10706,12129
"Sra1","Sra1",2134,2101,2240,2924,2092,2381
"Atp5g1","Atp5g1",4108,5110,4139,9886,7946,8797
"Snf8","Snf8",1500,1648,1526,2298,1752,1874
"Tbcb","Tbcb",1638,2071,1735,2902,2169,2418
"Inpp5k","Inpp5k",1388,1569,1358,1058,685,833
"Crkl","Crkl",1210,1119,1375,1699,1104,1123
"Clint1","Clint1",3691,4598,4289,5511,3677,3721
"Prss16","Prss16",18,34,48,80,58,67
"Cdkal1","Cdkal1",392,518,372,493,395,447
"X5430419D17Rik","5430419D17Rik",0,0,0,0,0,0
"Htra1","Htra1",401,488,556,1358,1011,908
"Zbtb17","Zbtb17",1000,1360,1354,1633,1258,1382
"Fblim1","Fblim1",7777,8787,8860,7456,4915,5797
"Hspb7","Hspb7",427,533,632,7,2,2
"Ccdc159","Ccdc159",160,202,161,249,155,209
"Mob1b","Mob1b",98,156,114,431,166,209
"Atp6v1b2","Atp6v1b2",51162,57104,54227,44162,30830,34572
"Eps15l1","Eps15l1",1441,1743,1459,1727,1217,1564
"Tep1","Tep1",2396,2793,2642,2805,1892,2087
"Ttc5","Ttc5",1478,1696,1316,1874,1476,1641
"Osgep","Osgep",1207,1515,1409,1234,780,894
"Aamp","Aamp",7055,9147,7882,9611,6919,7699
"Tmbim1","Tmbim1",4562,5368,5037,7997,5613,6214
"Arpc2","Arpc2",14924,17674,16547,26642,17038,18745
"Kmt2b","Kmt2b",342,470,365,376,290,274
"Zbtb32","Zbtb32",93,99,101,306,303,320
"Tmem147","Tmem147",2287,2639,2456,3611,2774,3012
"Rps9","Rps9",12259,14603,12690,19043,13715,15746
"Tfpt","Tfpt",377,400,394,519,328,409
"Susd2","Susd2",1,0,3,586,264,437
"Ggt5","Ggt5",1,0,4,2,1,0
"Cbfa2t3","Cbfa2t3",0,0,0,0,5,0
"Fbln1","Fbln1",351,432,399,503,379,407
"Pgrmc1","Pgrmc1",1365,1707,1770,3227,1557,1916
"Gcat","Gcat",139,148,118,386,342,299
"Elovl1","Elovl1",4156,4955,4559,6901,5419,5875
"Med8","Med8",1076,1248,1092,2327,1639,1749
"Hyi","Hyi",482,540,483,326,194,236
"Cdc20","Cdc20",1616,2517,1859,5304,4060,4482
"Adamts4","Adamts4",30,34,23,261,178,187
"Nectin4","Nectin4",64,89,78,23,5,10
"Pfdn2","Pfdn2",1013,1222,920,1713,1150,1361
"Rnf114","Rnf114",4116,5067,4653,6481,4989,5404
"C330007P06Rik","C330007P06Rik",1421,1622,1537,2631,1356,1570
"Neurl1a","Neurl1a",101,100,50,88,72,77
"Srm","Srm",3521,4573,3765,9158,7398,8078
"Epha2","Epha2",5,0,15,9,0,3
"Rbm14","Rbm14",1170,1443,1271,2324,1740,1825
"Actn3","Actn3",5,16,17,15,0,8
"A530013C23Rik","A530013C23Rik",28,15,8,38,16,49
"Zdhhc24","Zdhhc24",821,963,936,1134,869,989
"Bbs1","Bbs1",514,667,540,470,216,297
"Ndor1","Ndor1",389,432,422,498,418,557
"Nsmf","Nsmf",111,177,133,471,281,346
"Pdk1","Pdk1",2902,4057,3274,3636,2160,2316
"Ptbp1","Ptbp1",4525,6363,5448,9343,7043,8366
"Mvd","Mvd",1374,1872,1335,7584,5701,6747
"Cyba","Cyba",45692,53821,51300,61438,43141,54478
"Tmem110","Tmem110",353,557,504,1027,699,940
"Sfmbt1","Sfmbt1",726,687,766,1128,559,722
"Rundc3a","Rundc3a",10,39,18,57,39,57
"Slc4a3","Slc4a3",36,26,3,40,6,2
"Cdt1","Cdt1",2080,2857,2367,3977,3169,3786
"Aprt","Aprt",8898,10576,9041,13518,10930,12172
"Gtf2h1","Gtf2h1",1653,2094,1948,4935,2798,3392
"Hfe","Hfe",1216,1507,1358,1143,736,809
"Slc5a6","Slc5a6",365,526,440,848,673,803
"Qrich1","Qrich1",3154,3457,3532,5196,3380,3742
"Usp19","Usp19",8283,10403,9810,8092,5825,6015
"Pola1","Pola1",453,565,513,1525,954,1224
"Cdc42","Cdc42",11030,13489,12555,20640,12031,14161
"Pknox1","Pknox1",1042,1066,1110,1596,1087,1165
"Gmnn","Gmnn",247,326,210,815,484,548
"Acot13","Acot13",787,976,812,1306,788,914
"Zfp184","Zfp184",48,23,17,53,42,26
"Cdk4","Cdk4",10149,12844,10802,16719,11906,13971
"B4galnt1","B4galnt1",4754,5806,5456,3516,2831,3153
"Mettl1","Mettl1",301,366,353,533,400,494
"Tspan31","Tspan31",3519,3970,3617,4276,3004,3355
"Kif5b","Kif5b",765,1197,1078,2163,939,1313
"Saal1","Saal1",601,661,622,816,488,527
"Tph2","Tph2",21,23,24,98,31,58
"Cnp","Cnp",965,1345,1127,1816,1414,1583
"Ttc25","Ttc25",41,46,25,27,31,32
"Sulf2","Sulf2",6820,8706,7593,9244,5869,6420
"Sod2","Sod2",1451,1805,1438,10642,7248,7523
"Tmco6","Tmco6",282,422,277,531,358,402
"Stambp","Stambp",932,1091,1091,1377,823,1120
"Ezh1","Ezh1",1900,2238,2265,2220,1620,1776
"Hap1","Hap1",166,331,242,408,269,435
"Ctnnb1","Ctnnb1",26633,31921,31843,34284,21003,22654
"Eif1b","Eif1b",747,951,835,1100,578,743
"Psmd2","Psmd2",21878,25588,23921,33278,24812,26821
"Syngr3","Syngr3",59,70,36,56,50,49
"Vars","Vars",13033,17429,15321,18476,13715,16966
"Hspa1l","Hspa1l",93,89,87,46,26,15
"Msh5","Msh5",52,22,37,38,34,21
"Abhd16a","Abhd16a",2434,3231,2671,2491,1667,2090
"Neu1","Neu1",13062,16166,14429,23960,17788,20859
"Clic1","Clic1",11846,14310,12778,15281,11028,12734
"Lsm2","Lsm2",640,1006,844,1899,1307,1597
"Pole","Pole",576,777,599,1409,1218,1238
"Stx1a","Stx1a",74,182,106,79,79,74
"Zfp775","Zfp775",310,267,287,384,218,224
"Mrpl49","Mrpl49",936,1076,858,1851,1244,1615
"Dennd2c","Dennd2c",594,694,700,1004,660,504
"Mark3","Mark3",1873,2242,1916,2955,1610,1471
"Gatad1","Gatad1",286,394,276,714,491,518
"M6pr","M6pr",9108,10828,9901,18091,12875,13752
"Lrrc8a","Lrrc8a",94,112,114,101,57,28
"Ppp2r1a","Ppp2r1a",14893,17086,15330,17821,12951,15306
"Fance","Fance",570,684,612,587,322,445
"Tinf2","Tinf2",622,750,742,1211,1014,1099
"Hapln4","Hapln4",889,954,961,1393,1403,1384
"Dus3l","Dus3l",1039,1297,998,1398,1275,1282
"Gtpbp3","Gtpbp3",543,721,596,1330,903,1048
"Tgfbr1","Tgfbr1",901,1110,1140,1117,507,707
"Homer1","Homer1",155,259,167,325,222,259
"Rad51c","Rad51c",50,92,88,190,77,142
"Arpp19","Arpp19",1140,1283,1386,2646,1664,1820
"Bcl2l1","Bcl2l1",3718,4066,4006,4911,3661,4299
"Khsrp","Khsrp",4205,5522,4935,6192,4072,4626
"Ccdc124","Ccdc124",1610,2067,1726,2716,2025,2254
"Cct4","Cct4",4764,5547,5218,10731,6715,7295
"X0610009B22Rik","0610009B22Rik",514,644,526,740,482,562
"Cpt1c","Cpt1c",24,34,19,72,39,62
"Zfp655","Zfp655",2784,3095,3214,3836,1989,2498
"Rhoa","Rhoa",5726,6485,5987,8732,5798,6220
"Zmiz1","Zmiz1",5428,6213,6795,5438,3310,3851
"Ankrd26","Ankrd26",186,190,171,315,123,237
"Aldh16a1","Aldh16a1",2321,2736,2296,2508,1902,2120
"Hnrnpa0","Hnrnpa0",87,118,123,196,74,71
"Prrg2","Prrg2",197,261,234,220,196,212
"Hnrnph1","Hnrnph1",1020,1202,1031,2699,1444,1625
"Ift43","Ift43",479,553,446,758,547,592
"Id3","Id3",44,60,44,469,358,439
"Arid1a","Arid1a",1391,1536,1449,1509,1112,1284
"Ctsd","Ctsd",146422,164738,161347,299530,227614,264170
"Rplp1","Rplp1",6185,6516,5750,8327,6167,7368
"Abhd8","Abhd8",967,1116,1173,1154,884,1157
"Ift22","Ift22",1488,1916,1712,2251,1726,1951
"Mid1ip1","Mid1ip1",1505,1764,1833,2042,1240,1603
"Ap2s1","Ap2s1",3038,3562,3212,3391,2587,2866
"Fgfrl1","Fgfrl1",44,70,43,24,7,1
"X4930432K21Rik","4930432K21Rik",339,357,336,322,199,265
"Emc10","Emc10",2057,2589,2345,3073,2101,2560
"Clstn3","Clstn3",20,29,41,49,26,34
"Fbxw9","Fbxw9",797,856,751,745,551,568
"Fnbp4","Fnbp4",694,925,856,1546,910,950
"Cers4","Cers4",2,1,1,13,12,0
"Scrn3","Scrn3",648,778,764,633,378,432
"Phax","Phax",826,1060,920,1564,1013,1217
"Tle1","Tle1",428,598,571,212,122,136
"Relt","Relt",346,389,353,743,514,648
"Snrpb2","Snrpb2",579,707,451,925,485,718
"Ubc","Ubc",10455,11805,11577,15868,12023,13719
"Prpf31","Prpf31",2484,3348,2728,5536,4151,4405
"Sertad1","Sertad1",384,471,394,292,203,189
"Carhsp1","Carhsp1",782,763,758,893,660,731
"Elk3","Elk3",406,471,414,841,428,618
"Herpud2","Herpud2",850,872,989,1169,734,907
"Rdh13","Rdh13",886,843,792,1289,856,996
"Nutf2","Nutf2",1144,1645,1478,2948,2055,2351
"Arpc5","Arpc5",8017,9837,9345,16793,10419,12068
"Elavl2","Elavl2",4,4,0,6,2,3
"Pou2f2","Pou2f2",41,36,47,922,582,635
"Mgst1","Mgst1",3378,4472,3650,5853,3360,4121
"Nfib","Nfib",0,0,1,0,3,0
"Ubqln4","Ubqln4",3189,3403,3095,5867,4042,4774
"Rps18","Rps18",24100,26692,24174,29285,20002,23405
"Rpl10","Rpl10",18905,22650,20061,23166,16774,18403
"Rps15a","Rps15a",4203,4441,4208,8140,5589,6437
"Ncaph2","Ncaph2",4736,6168,4982,6282,4462,5201
"Hipk1","Hipk1",2350,2725,2881,3180,1596,1956
"Gprc5b","Gprc5b",385,416,443,240,199,206
"Man1a2","Man1a2",1614,1928,1780,3552,1895,2173
"Acyp1","Acyp1",165,168,134,176,136,113
"Hdac5","Hdac5",4016,5135,4438,2760,2040,2322
"Rala","Rala",491,545,543,894,574,633
"Vdac3","Vdac3",4547,5206,4955,13445,8935,10080
"Vps72","Vps72",2540,2788,2705,3086,2316,2765
"Gabpa","Gabpa",572,740,725,1071,536,650
"Dynll1","Dynll1",3358,3773,3356,5262,3581,4517
"Pdcl","Pdcl",1054,1407,1272,2091,941,1295
"Tmem184b","Tmem184b",3856,4697,4321,6032,4276,5208
"Nf2","Nf2",2346,3113,2711,4509,3051,3502
"Zmat5","Zmat5",214,261,200,377,296,328
"Ewsr1","Ewsr1",7798,9687,8693,13067,8645,9962
"Ap1b1","Ap1b1",6462,8018,7329,6281,4824,5808
"Gnat2","Gnat2",54,47,74,28,40,51
"Bcl2l13","Bcl2l13",1243,1615,1466,2205,1441,1750
"Dqx1","Dqx1",3,1,1,0,0,8
"Ccl8","Ccl8",0,0,0,24,5,3
"Lnpk","Lnpk",216,394,330,545,331,365
"Pttg1ip","Pttg1ip",2284,2671,2332,2891,2150,2331
"Trpm2","Trpm2",39,77,48,325,223,212
"Ube2g2","Ube2g2",1318,1652,1397,3141,2271,2402
"Met","Met",1,1,0,0,0,0
"Syn2","Syn2",3,2,24,1,2,4
"Elk1","Elk1",630,901,754,1440,1058,1085
"Nav1","Nav1",1432,1616,1627,1724,984,1261
"Tnpo1","Tnpo1",3394,4467,4238,7800,4491,5105
"Rnmt","Rnmt",1349,1823,1588,3025,1797,2232
"Srp14","Srp14",4679,5149,4992,6538,4152,4722
"Cdk9","Cdk9",5942,6832,6934,7879,5843,6077
"Tor2a","Tor2a",1757,2061,1906,2897,1974,2411
"Fpgs","Fpgs",564,696,525,902,624,747
"Mrtfb","Mrtfb",720,936,882,1130,592,789
"Cbx5","Cbx5",975,1322,1171,4380,2428,2686
"Apobec3","Apobec3",817,922,781,3688,2290,2927
"Sardh","Sardh",512,636,556,446,239,272
"Vav2","Vav2",1090,1138,1063,2068,1155,1247
"Ppp2cb","Ppp2cb",137,118,95,389,191,205
"Dmap1","Dmap1",897,1073,983,1236,882,989
"Mcu","Mcu",790,906,1007,1262,747,960
"Oit3","Oit3",1360,1506,1315,2479,1592,1638
"Bcr","Bcr",130,142,122,215,124,123
"Fxyd5","Fxyd5",20549,24997,23514,12109,9137,11157
"Tfcp2","Tfcp2",548,480,592,781,475,597
"Ubp1","Ubp1",593,628,653,997,712,667
"Nuak2","Nuak2",989,1378,1136,1103,976,1100
"Ick","Ick",110,162,103,201,175,241
"Sdhb","Sdhb",7005,8229,6922,12430,9345,10937
"Snap47","Snap47",2964,3402,2941,4500,3047,3710
"Kdsr","Kdsr",842,835,865,727,403,390
"Vps4b","Vps4b",2707,3090,3182,4512,2686,2811
"Rps25","Rps25",7484,7870,7310,10871,7633,8342
"Taz","Taz",1422,1368,1370,1320,904,1119
"Kif19a","Kif19a",216,290,293,221,188,257
"Aldh3a2","Aldh3a2",1005,1207,1107,2005,1358,1332
"Tmem115","Tmem115",1446,1847,1759,1570,1195,1370
"Hyal2","Hyal2",2372,2867,2386,1662,1242,1335
"Ifrd2","Ifrd2",829,1017,886,1810,1383,1455
"Hyal1","Hyal1",3165,3393,3539,541,303,341
"Tusc2","Tusc2",1160,1457,1309,1415,1017,1200
"Nprl2","Nprl2",815,1111,882,997,587,761
"Rassf1","Rassf1",276,318,273,300,240,250
"Slc3a2","Slc3a2",10199,11405,11393,18247,13436,16019
"Nxf1","Nxf1",1639,2125,2057,3248,2395,2482
"Stx5a","Stx5a",2123,2438,2530,2419,1617,1806
"Tnfrsf13b","Tnfrsf13b",348,491,512,954,471,586
"Spire2","Spire2",420,430,402,562,294,344
"X2610507B11Rik","2610507B11Rik",7210,7923,7492,8620,5961,6845
"AI597479","AI597479",575,620,624,1140,667,797
"Tmem86a","Tmem86a",2107,2405,2460,2735,1694,2145
"Tex14","Tex14",67,97,77,57,5,21
"Ifi35","Ifi35",363,563,434,1404,1252,1406
"Rdm1","Rdm1",190,257,210,80,56,43
"Nedd8","Nedd8",2171,2465,2199,4613,3442,3873
"Gosr1","Gosr1",1563,1608,1672,2789,1533,2007
"Mrpl52","Mrpl52",1009,1230,1040,2772,2002,2644
"Kansl3","Kansl3",1021,1314,1252,2177,1583,1662
"Eya4","Eya4",712,784,739,296,131,171
"Faf1","Faf1",3279,3850,3505,5210,3530,3526
"Tsacc","Tsacc",10,18,27,73,35,34
"Mettl16","Mettl16",793,818,840,1732,1166,1219
"Pigyl","Pigyl",250,280,269,402,235,385
"Rbm25","Rbm25",499,783,586,1299,687,937
"Psen2","Psen2",2796,3139,2849,6137,4136,4814
"Plcd1","Plcd1",58,58,60,99,61,65
"Fads1","Fads1",10380,13309,12195,17112,11934,12689
"Lmbr1","Lmbr1",99,97,131,243,154,140
"Tnfrsf22","Tnfrsf22",1097,1292,1094,2266,1728,1780
"Cars","Cars",4443,5337,5593,6354,4872,5201
"Phlda2","Phlda2",13,18,13,31,14,15
"Kdelr3","Kdelr3",806,965,743,450,274,331
"Apip","Apip",638,743,736,1228,898,985
"Pdhx","Pdhx",2028,2382,2110,3925,2423,3062
"Vac14","Vac14",6171,7340,6749,11126,7835,8979
"Mcoln2","Mcoln2",582,780,786,4497,3024,3148
"Akt1s1","Akt1s1",702,856,918,971,649,1065
"Tbrg1","Tbrg1",2965,3477,2984,4465,3213,3375
"Adssl1","Adssl1",5531,7697,6599,2788,1744,2092
"Brf1","Brf1",1294,1605,1418,1746,1230,1185
"Odc1","Odc1",2160,2676,2341,8555,6185,6970
"Thg1l","Thg1l",79,83,79,195,148,107
"Pabpc4","Pabpc4",612,766,590,1336,781,1041
"Exoc3l2","Exoc3l2",13,14,20,22,1,22
"Zfp296","Zfp296",59,121,64,141,150,144
"Sugp1","Sugp1",1854,2092,2004,2614,1689,1980
"Dhdh","Dhdh",216,227,263,447,233,305
