"","Geneid","control.cells_1","control.cells_2","control.cells_3","LPS.cells_1","LPS.cells_2","LPS.cells_3"
"Foxf2","Foxf2",117,134,186,183,121,159
"Scaf1","Scaf1",1955,2348,2158,2251,1845,2035
"X1700018A04Rik","1700018A04Rik",0,0,0,0,0,0
"Higd1a","Higd1a",834,818,822,1549,1129,1184
"Foxq1","Foxq1",0,0,0,0,0,0
"Cdc16","Cdc16",2115,2578,2193,3146,1952,2293
"Fig4","Fig4",1470,1668,1682,2211,1393,1491
"Hdhd3","Hdhd3",103,128,124,163,91,129
"Poli","Poli",220,314,236,315,189,196
"Usp5","Usp5",6930,8348,7548,9542,6731,8142
"Mllt6","Mllt6",95,127,80,290,190,207
"Cdc40","Cdc40",577,769,727,1592,909,956
"Spsb2","Spsb2",1183,1386,1124,779,580,626
"Dennd2a","Dennd2a",650,717,714,913,619,697
"Abhd17c","Abhd17c",971,1036,984,2934,1405,1314
"Uqcrfs1","Uqcrfs1",5606,6713,5780,10802,7249,8236
"Chmp4b","Chmp4b",618,631,680,735,564,603
"Nos1ap","Nos1ap",0,0,0,0,1,0
"Cdk19","Cdk19",603,688,782,741,395,474
"Tfdp1","Tfdp1",1872,2570,2070,6059,4173,4389
"Socs7","Socs7",210,178,166,238,204,167
"Polr2l","Polr2l",404,487,409,803,656,693
"Otud7b","Otud7b",2318,2581,2376,3132,2028,2118
"Tmco3","Tmco3",1500,1632,1631,3232,2099,2390
"Prr3","Prr3",510,783,764,784,728,873
"Ptov1","Ptov1",2659,3718,3156,2300,1515,1515
"Mesd","Mesd",1720,1847,1834,1881,1450,1508
"Dcun1d2","Dcun1d2",582,641,620,1246,843,897
"Parp12","Parp12",1803,2438,2156,6005,4258,4668
"Gdf15","Gdf15",3361,3926,3616,16295,13203,15952
"Rpf2","Rpf2",614,841,745,1875,988,1168
"Grtp1","Grtp1",239,201,147,308,164,190
"Tbkbp1","Tbkbp1",1266,1506,1541,1944,1220,1381
"Jarid2","Jarid2",570,858,653,1720,1039,982
"Tbc1d17","Tbc1d17",2497,2581,2582,2406,1781,2267
"C1s1","C1s1",0,0,2,344,156,140
"X1700003F12Rik","1700003F12Rik",865,1023,942,705,403,594
"Fchsd1","Fchsd1",224,219,283,193,146,168
"Armc10","Armc10",428,393,433,552,298,452
"C1rl","C1rl",43,60,49,209,159,154
"Cbfa2t2","Cbfa2t2",1099,1107,1244,1634,1153,1207
"Osbpl7","Osbpl7",574,612,687,618,482,601
"Zfp280d","Zfp280d",171,241,235,168,138,160
"Ubn2","Ubn2",213,286,235,311,154,228
"Atf5","Atf5",168,208,211,198,147,122
"Pcid2","Pcid2",1837,2392,2246,3279,2419,2896
"BC028528","BC028528",350,557,455,679,396,551
"Inip","Inip",641,783,805,1268,947,1002
"Cul7","Cul7",3188,3779,3364,3174,1884,2399
"Ranbp9","Ranbp9",152,213,166,423,171,191
