"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"Syncrip",1212.2163149582,1100.36689352886,1224.99271868532,1908.55523761183,1855.19617449171,1855.91271126341
"Zfp949",165.793708091408,131.882948812699,161.811981457547,112.848794537285,107.198835554356,136.10026549265
"Crtap",1542.60232745919,1587.62908608875,1655.04335396847,1246.27387467114,1382.6462055174,1483.77841890239
"Cmtm6",1814.11955955092,1764.81533792872,1681.10702883411,1438.11682538452,1366.23822048357,1290.57314690932
"Dync1li1",4764.76700210526,4533.35052292813,4638.24813963211,6436.61311842038,5935.31511957076,6364.35297447098
"Cmtm7",1961.892212415,1928.91396889414,1593.14212616256,2625.14508292359,3138.30060413721,2968.50858791311
"Stt3b",7212.02630197626,7276.71720624572,7233.75576166927,6855.56426814005,6699.92722214723,6327.23472024571
"Tgfbr2",3026.33587450911,2844.04069004485,3118.95309225554,1605.97940725873,1615.63959299779,1399.07265926011
"Slc25a36",704.022557547574,695.657386485307,796.028069854913,519.10445487151,448.484924258019,512.993308395373
"Nmnat3",519.006390547017,474.174571685354,513.671592143757,576.939462071868,724.139072826362,620.541070637817
"Copb2",6783.12518756588,6328.36806287502,6986.15085044565,6518.42849445991,6405.67735720722,6224.44570854497
"Mrps22",599.500437229078,632.232762247138,683.085478770451,1021.98689552829,1031.51532579344,899.403852381498
"Pik3cb",5653.80572665339,5452.50420434793,6396.46020661042,4652.89685976542,4264.98224312687,4087.7667153212
"Faim",652.362199229237,742.974169647115,692.859356845068,739.864909185073,758.048908562944,758.544836347147
"Armc8",834.97555886615,716.798927898029,904.626715128435,965.562498259643,944.006072279684,780.435088838972
"Dbr1",295.545305728163,431.891488859908,374.66532619365,471.143717193164,497.708879359509,527.269560020476
"Mras",0,0,0,57.1297022345004,124.700686257108,68.5260078004951
"Nck1",667.98044709292,507.396993905347,558.197036705901,1032.56647001616,871.810938130832,892.741601623116
"Cdc25a",486.568491137829,513.437434308982,551.68111798949,919.012370513013,1044.64171382051,822.312093605941
"Nme6",796.530641047853,751.028090185295,780.82425951662,1596.10513773672,1882.54281621476,1728.37819674582
"Map4",2713.97091723544,3227.60865567568,3211.26194073803,3008.83098435036,3194.08775325223,3299.71762561551
"Dhx30",2836.51409278127,3037.33478296117,2667.18272791769,2679.45356529466,2812.32863479845,2920.9210824961
"Smarcc1",2896.58427687236,2845.04743011212,2867.00423522097,3389.69566591369,3086.88891769788,3175.03836142294
"Ngp",2.4028073636436,5.03370033636257,7.60190516914651,63.4774469272227,114.85589523681,78.0435088838972
"Scap",1134.12507563978,1216.1420012652,1244.54047483456,1142.59404469001,1450.46587699057,1348.62990351808
"Ptgs2",462.540417501393,796.331393212558,602.722481268045,809.690100805018,867.435475455144,950.798358231869
"Kif9",91.3066798184567,42.2830828254456,61.9012278059073,71.235801551661,33.9098357365819,37.1182542252682
