"","Norm_BV2_control_1_cell","Norm_BV2_TGFB_1_cell","Norm_BV2_IL10_1_cell","Norm_BV2_LPS_1_cell","Norm_BV2_control_2_cell","Norm_BV2_TGFB_2_cell","Norm_BV2_IL10_2_cell","Norm_BV2_LPS_2_cell","Norm_BV2_control_3_cell","Norm_BV2_TGFB_3_cell","Norm_BV2_IL10_3_cell","Norm_BV2_LPS_3_cell","Norm_BV2_control_4_cell","Norm_BV2_TGFB_4_cell","Norm_BV2_IL10_4_cell","Norm_BV2_LPS_4_cell"
"Atox1",14.33097649,18.66384125,19.32074356,18.93899155,13.6251111075,16.0888314275,20.3218283675,20.6327300075,18.3503622237241,17.0211786437241,18.9108080037241,17.1504034137241,16.3501931105376,18.8700581405376,20.5836773705376,15.8919115905376
"Psmb1",17.24186325,17.97440529,16.7980175,19.19168091,18.2889678475,16.9545390575,15.6231114875,20.3393485575,20.6945047461927,15.1358146761927,17.7208433261927,17.7161455261927,18.8021511542623,16.9388575142623,17.2446093142623,18.3331408042623
"Gsto1",15.43962193,19.95558929,18.94846153,20.92597008,18.7937405878667,21.1996119778667,17.2377570478667,18.4040492378667,20.8416482317241,16.5813371117241,20.0956117017241,17.9366361017241,18.4791869095652,16.2411021195652,19.6286381695652,20.4612759595652
"Rpl21",18.33995056,19.84886169,18.67893982,19.86203575,18.8060688216312,18.8943886016312,18.7678989616312,20.3387741316312,22.2727317775,18.8344860075,18.8019256575,17.3293275775,22.1380351720329,16.7020257620329,18.7546018220329,19.4057162920329
"Anp32a",17.04978561,18.60439491,16.50324821,18.83764458,17.6034980774254,16.6202312474254,16.5717178374254,20.1072631874254,21.2423683297952,15.1083837697952,19.4545379797952,15.1511121897952,17.576633994119,16.884791914119,18.283060614119,17.995040474119
"Exoc4",15.16155434,16.16704369,16.81391335,15.35325813,14.75619214625,14.12679761625,16.53145878625,17.72240346625,16.392914526257,16.019345036257,15.083276506257,16.004433386257,15.735906606,14.322888376,18.310035706,15.168065076
"Anxa3",15.46932411,17.12428093,16.79298592,18.8690052,15.1273567625,17.5176785025,16.9795439225,18.6310169725,19.4897754467125,14.6692388267125,16.5600717267125,17.6309745567125,17.4336972071971,15.4200157971971,18.0728363871971,16.9728970371971
"Hnrnph1",15.53914738,18.00683975,17.07763863,19.23100853,17.750399378871,15.692636278871,18.141943718871,17.937735338871,20.9555898456366,17.4513593456366,17.1255870656366,15.2463393956366,18.2969698416427,16.5945620016427,18.0170921816427,17.1453251316427
"Eif6",17.16706657,17.20693588,16.54038811,18.0911274,17.130806611436,15.611376451436,17.385800051436,18.726402931436,19.6047512596875,16.4768797496875,15.6731344796875,17.4079262296875,18.6207316612346,14.4989131212346,16.0627768712346,19.6787684612346
"Rpl35a",18.81533813,22.39784813,15.3537817,19.29421234,21.1249963719126,17.0408365119126,15.8069269119126,20.9278070319126,21.5194260275714,15.8023077675714,21.6163994475714,16.2320343675714,18.8398204041203,16.8049931741203,21.4744477441203,18.4874701641203
"Ncf2",16.73558235,17.76349449,14.6145792,18.7480278,17.3714108347885,16.1354632247885,17.9855523047885,16.4223627947885,19.8260738020714,16.1820451320714,15.1206838220714,16.9986611920714,19.0608528937879,14.3213003937879,15.3932875437879,19.2769497637879
"Eif3d",19.62293053,18.9933548,15.3040657,19.08612442,20.8196368210284,14.7926449810284,16.0340285310284,20.7609210010284,20.3503543381742,17.1140529181742,19.3662101281742,16.7765208781742,20.2330177919231,18.3250549919231,14.7767866719231,19.9388436019231
"Eef1b;Eef1b2",17.9691391,20.49602318,18.90094757,20.53544235,20.7998567488998,19.9755445388998,15.8313136988998,21.1275640388998,21.7831147533333,17.1287225133333,20.3792966233333,18.4096082033333,16.8167901851111,19.8872609951111,20.8367982751111,20.2044950351111
"Rps14;rps14",19.88867188,20.59216881,20.34900093,20.43099594,20.0192873960314,20.7158988060314,19.6622641560314,20.8423541060314,22.8631182611602,20.2443915311602,22.2555170911602,15.5681992411602,19.9730003401684,19.8896663701684,22.3545177501684,19.1705091501684
"Wdr1",15.54008579,17.61797905,17.96736336,18.47050476,17.0757640721284,15.8536733521284,17.2589611021284,19.0981353721284,19.3973943621974,17.3541585821974,16.1779262521974,17.3288862121974,20.012738518487,15.820364288487,16.902857118487,17.589712438487
"Tom1",17.49484634,18.54332924,19.00517082,18.30338097,13.4101530022831,21.2960687522831,16.5895992222831,21.9237676522831,20.8399538975,18.1230597475,16.5006022475,17.9048876775,21.8699687546395,19.2672465846395,16.2010749446395,16.6031182846395
"Idh1",13.96890545,17.62866974,16.21348763,19.19865417,15.9032796145209,16.3109286545209,15.2568743945209,19.5104134745209,19.3484919463804,14.8739560063804,17.2506583163804,15.8350441863804,16.8374315955508,16.7880484355508,16.4765154555508,17.0028654755508
"Gnpda1",13.10043049,19.58984375,18.03984833,18.89733124,14.219159800434,15.403099730434,18.521120740434,20.859484390434,20.6332287236752,13.4577011536752,20.6067623536752,15.1523422636752,20.1233928427465,16.5791509327465,16.6356189427465,17.0625913327465
