"","F-Value","FDR (BH)","LPS-Control","diff LPS-Control"
"Cox4i1",0.0151796922001155,0.989572428847272,0.905967551655691,0.156977415
"Hspa5",0.303424905093929,0.989572428847272,0.601635157960699,0.825121402500002
"P20065-2",0.457836423769389,0.989572428847272,0.523850410986981,0.852334492500006
"Vim",0.037410066819863,0.989572428847272,0.853014066478218,-0.289237499999999
"Fcer1g",1.15308512230115,0.989572428847272,0.324180242057062,1.2563385975
"Tpm3;Tpm3-rs7",0.178233924052752,0.989572428847272,0.687605005105259,0.348300217500004
"Mfge8",0.272553031226601,0.989572428847272,0.620329287539064,0.599218367500008
"Pnp;Pnp2",0.0915737148911158,0.989572428847272,0.772402571491423,0.472308157500002
"Cat",0.499458968170631,0.989572428847272,0.506242807226397,1.2268977175
"Ppib",4.2930712883087e-05,0.998718119953636,0.994984594271566,-0.00898504499999575
"Impdh2",0.00119086734577382,0.993497631597098,0.973590705996048,-0.0279114275000012
"M6pr",1.85251935186079,0.989572428847272,0.22238916105496,-1.321487185
"Rps2",2.12417896451254,0.989572428847272,0.195257135022362,-0.808436392499999
"Tln1",2.68064059645163,0.989572428847272,0.152689359830769,-1.45431137249999
"Msn",0.839850725871238,0.989572428847272,0.394780978743044,0.943004610000003
"Ptma",0.00453808039664994,0.989572428847272,0.948479657875614,0.0751078125000006
"Sars",0.00287029684746638,0.989572428847272,0.959012940971408,-0.0359797475000008
"Marcks",2.39754158105988,0.989572428847272,0.172495507811131,2.105585815
"Fkbp1a",0.0528160158929368,0.989572428847272,0.825868141699313,-0.285284757499994
"Rpl3",2.7261897674902,0.989572428847272,0.149804980199057,-1.45555066999999
"H2afx",2.88441979994127,0.989572428847272,0.140357456771469,-0.899810312499998
"Pdia3",0.00948536312668065,0.989572428847272,0.925586352135145,0.160525325000002
"Apex1",0.138821939775128,0.989572428847272,0.722261753027996,-0.353800532500003
"Adh5",1.40927299383962,0.989572428847272,0.28004178915482,-0.642866609999992
"Nap1l1",0.829177667224731,0.989572428847272,0.397615792057861,-0.854826449999997
"Marcksl1",0.176917365481379,0.989572428847272,0.688684725038322,-1.110115525
"Pabpc1",2.24839385899612,0.989572428847272,0.184415246005164,-1.86415577
"Ptpn6",0.724173459689101,0.989572428847272,0.427428624666552,-0.629226922499996
"Aimp1",0.756275506346881,0.989572428847272,0.417923433808594,-0.714873787499997
"Dbi",2.17562641657132,0.989572428847272,0.190659074186557,2.63806486
"Wars",1.20482239237562,0.989572428847272,0.314445440947658,-0.545027254999994
"Ranbp1",0.211103706869333,0.989572428847272,0.662080155776219,0.341007232500004
"Mif",1.87007392699701,0.989572428847272,0.220476306845449,-1.3090505625
"Rab6b;Rab6a;Rab39a",0.0724676890504121,0.989572428847272,0.796795027763054,-0.344771387500003
"Canx",0.481530093586374,0.989572428847272,0.513685248538936,1.726047755
"Prdx1",1.87558874962115,0.989572428847272,0.219880302653968,1.0067644125
"Rpl12",0.813007509157778,0.989572428847272,0.401975568727953,-0.440613269999993
"Rpl18",0.320768135599624,0.989572428847272,0.591684390045571,-0.758076664999997
"Hspa9",0.404697330141713,0.989572428847272,0.548156696863118,1.0427296175
"Cap1",0.237522961042144,0.989572428847272,0.643294632202984,0.5383038525
"Tkt",0.0167963024505391,0.989572428847272,0.901118022309183,-0.130961900000003
"Cd9",0.000166727419638397,0.995699764956928,0.990116401788945,-0.0144338624999918
"44806",0.59794559841295,0.989572428847272,0.468722627642182,0.716913702500001
"Cct8;Cctq",0.461138218909938,0.989572428847272,0.522410464947065,-0.669898509999996
"Hist1h1e",1.14795256927376,0.989572428847272,0.325171372416418,-0.76004124
"Hist1h1b",2.84398526060241,0.989572428847272,0.142690643690325,-1.743677615
"Hist1h1d",1.16188217548445,0.989572428847272,0.322492347382801,-0.594339845
"Akr1b1;Akr1b3",0.514434012460063,0.989572428847272,0.500182293796276,-0.612797260000001
"Vps4b;Vps4a;Fignl1",2.73654980435759,0.989572428847272,0.149159610421181,-1.56707739749999
"Psmc2",0.00793251931551104,0.989572428847272,0.93192901679485,-0.0609846125000004
"Aldh2",0.00911434004704437,0.989572428847272,0.927050976127258,0.179632419999997
"Capza2",3.53539495139253,0.989572428847272,0.10911498396273,1.992291215
"Capzb",0.0321497435154969,0.989572428847272,0.863601189205281,0.222894907500006
"Rpl6",0.234792198655463,0.989572428847272,0.645173518082538,-0.4017972925
"Rplp1",1.22074693639212,0.989572428847272,0.311539777120629,-1.58236337
"Rpl5",0.882581849235411,0.989572428847272,0.383758649383307,-1.0741465075
"Rpl13",2.506052807572,0.989572428847272,0.164498173451089,-1.661235095
"Anxa5",0.768939128440187,0.989572428847272,0.414272200358985,0.897281647500002
"Lmna",0.0659206018783886,0.989572428847272,0.805948972293012,0.515387060000002
"Cbr1",0.261880253707254,0.989572428847272,0.627114071829418,0.879718780000005
"Slc25a4",0.36692569301006,0.989572428847272,0.566877469990579,1.063687565
"Hnrnpa1",0.318211740720479,0.989572428847272,0.593127961883289,0.73417354
"Psma2",0.985459426206713,0.989572428847272,0.35918607122828,1.8137927025
"Atp6v1a",0.291934743358164,0.989572428847272,0.608439248461243,0.601852655000002
"Atp6v1e1",0.382215802513521,0.989572428847272,0.559141391903337,0.734374522499998
"Pa2g4",0.0130991289727193,0.989572428847272,0.912613864662873,-0.0660581599999972
"Rab7a",0.172673712810101,0.989572428847272,0.692198143194283,0.272652147500004
"Gla",0.0473135017352002,0.989572428847272,0.835014132303499,0.246628525000006
"Hdgf",0.176274559315409,0.989572428847272,0.68921364834856,0.989928724999999
"Atp6v0d1",0.0414970323205167,0.989572428847272,0.845314938232135,0.25104022
"Slc25a5",0.0748504579423324,0.989572428847272,0.793575201506944,0.552000522500002
"Pkm",0.00638550134061282,0.989572428847272,0.93890799823165,0.0386919975000026
"Idh2",0.241521651013136,0.989572428847272,0.640567886355658,0.884768962500004
"Stom",0.268585974339503,0.989572428847272,0.622830687867011,0.326697585000005
"Ctsk",2.81788590599156,0.989572428847272,0.14422551391718,2.4189713
"Atp5b",0.237555505803414,0.989572428847272,0.643272322595639,0.896080017500005
"Fus",0.0066284604637755,0.989572428847272,0.93775955233335,0.0984208575000025
"Atp6v1d",0.310578386207905,0.989572428847272,0.597485605923657,-0.717759612499997
"Erp29",0.524530953379049,0.989572428847272,0.496172784945055,0.909151315000003
"Eef2",0.158097756476159,0.989572428847272,0.704674059903205,-0.328275204999997
"Arpc4",3.54879434487855,0.989572428847272,0.108577793665206,-1.5885775075
"Ruvbl1",0.0380237854031325,0.989572428847272,0.851830819945634,-0.201569317499995
"Pcbp1",0.141207064187045,0.989572428847272,0.720011346046785,-0.579329254999998
"Actb;Actg1",0.0753114800988347,0.989572428847272,0.792958677224252,-0.139601707499995
"Cdc42",0.729783027509301,0.989572428847272,0.425741197422475,0.904374600000004
"Eif4a1",0.00387149531082912,0.989572428847272,0.952407530042104,0.0567588800000038
"Actr2",2.2444296008105,0.989572428847272,0.184747840373132,-1.25136351
"Arf3;Arf1;Arf2",0.0867013138203916,0.989572428847272,0.778335048665645,-0.175278189999993
"Rap2b",0.480412749261689,0.989572428847272,0.514156022196563,1.029777525
"Rpl27",0.0264200714238277,0.989572428847272,0.876214700648678,-0.106696602499994
