"","F-Value","Pr(>F)","IL10-Control","LPS-Control","TGFB-Control","LPS-IL10","TGFB-IL10","TGFB-LPS","diff IL10-Control","diff LPS-Control","diff TGFB-Control","diff LPS-IL10","diff TGFB-IL10","diff TGFB-LPS"
"Rps3",2.74247197061924,0.0893992821119929,0.595162495384093,0.949348609926853,0.0793785583769256,0.878660178769775,0.508934189869437,0.188173311012645,-1.123443605,-0.469930650000002,-2.37942362,0.653512954999997,-1.255980015,-1.90949297
"Rpl32",0.728598998623776,0.554398417890894,0.541876586512574,0.987494241827621,0.815707507314642,0.729784160463899,0.960442751334261,0.943844987287723,-1.1858325,-0.282484295,-0.762807369999999,0.903348204999999,0.423025129999999,-0.480323074999999
"Rpl8",1.01989733442055,0.418093684715369,0.472795048202983,0.446439869593585,0.756469815327735,0.999955184069506,0.958168309146114,0.945793342628307,-1.148451805,-1.186237575,-0.765088559999999,-0.0377857699999993,0.383363245000002,0.421149015000001
"Ybx1",3.76778686660686,0.0408058701187523,0.138116323673786,0.99920365962805,0.108236255393867,0.169179369767261,0.998727813990164,0.133360546478894,-1.60361909749998,-0.0870089499999764,-1.705429315,1.5166101475,-0.101810217500027,-1.61842036500003
"Pfn1",0.988993885318818,0.430787169287058,0.930975917668066,0.97416234985046,0.387948207224188,0.997872495385278,0.721338340380433,0.618454775691234,-0.4236268975,-0.297164912499998,-1.17255783,0.126461985000002,-0.748930932499999,-0.875392917500001
"Rps27a;Ubc;Ubb;Kxd1;Gm1821;Uba52;Gm8797",0.703891466638779,0.56776916630909,0.913853659213964,0.959949429377392,0.859148627507643,0.674010240787624,0.999018912063483,0.593954944900267,0.470055102500002,-0.354512695,0.569600105000003,-0.824567797500002,0.0995450025000011,0.924112800000003
"Rac1;Rac3",1.05276629342035,0.405018106186881,0.99821685396393,0.5336840154739,0.993971345351629,0.631022651265997,0.973700229641967,0.397306671919846,0.146703722499996,1.205571415,-0.221418142500003,1.0588676925,-0.368121864999999,-1.4269895575
"Hspa8",1.48086148319449,0.269373316800832,0.635748736239773,0.62659864431688,0.209511357978112,0.999998531131554,0.809981949306248,0.817786626327943,-0.387092115000005,-0.392131330000005,-0.673223495000006,-0.00503921500000004,-0.28613138,-0.281092165
"Tpt1",1.37597154778883,0.297304721430952,0.311950058572506,0.485172096941748,0.937841487811909,0.984400590165321,0.612735884959356,0.808827837288701,1.440567015,1.1622715,0.4551072125,-0.278295515,-0.985459802499999,-0.707164287499999
"Hspd1",1.09744048088919,0.387928046654905,0.363277788723491,0.68830415505302,0.958793616223152,0.933083116962787,0.632728759408047,0.923943409349356,2.3468263175,1.533849955,0.681066987499999,-0.812976362499999,-1.66575933,-0.852782967500001
"Gnas",1.34816720271066,0.305229742214673,0.595197065811751,0.510750271546225,0.999069489025204,0.998798644704187,0.517551419139503,0.437226149315398,1.3682217575,1.5262317675,-0.145034312500002,0.158010010000002,-1.51325607,-1.67126608
"Ywhaz",0.389739983008002,0.76254380127972,0.842103795141141,0.885924827631058,0.999993926256038,0.99961291727481,0.853652321419931,0.895834176013952,0.609078405000002,0.534657477500001,0.018603802500003,-0.0744209275000003,-0.590474602499999,-0.516053674999998
"Hmgb1",1.67203139763496,0.225614185341955,0.239694366623991,0.935076914831871,0.42614845427739,0.511145290640941,0.97276308827095,0.755817219137958,3.03623270750001,0.884399412500006,2.3896634575,-2.151833295,-0.646569250000002,1.505264045
"Gng2",2.35215112554035,0.123637313397746,0.999661071755993,0.771734192397333,0.386053168292946,0.718753836460599,0.434899022384036,0.0903906949267737,-0.134574412500005,1.347157955,-2.31522274,1.4817323675,-2.1806483275,-3.662380695
"Eif5a",0.393428156336935,0.760024206291807,0.809937700545626,0.997392897367409,0.849210395857183,0.895321690637009,0.999792161922537,0.924457863863435,-0.660726065000006,-0.141671655000007,-0.600034707500004,0.519054409999999,0.0606913575000014,-0.458363052499998
"Rps17",1.92423790848103,0.179531650546995,0.759321580677564,0.805147823466605,0.613420671999904,0.283586844796791,0.993829947223057,0.194857092712254,-1.1048486225,1.007201195,-1.3908829675,2.1120498175,-0.286034344999997,-2.3980841625
"Rps10",0.24083855309298,0.866192813570833,0.930522090313405,0.99915359517408,0.995859028296321,0.964713355255896,0.843089175628977,0.984043651465262,0.512911322499999,0.112082242499998,-0.191242695,-0.400829080000001,-0.704154017499999,-0.303324937499998
"Gnb2l1",0.774181694738879,0.530500802021738,0.551277995296805,0.998548142653066,0.848287751054488,0.642416343233543,0.947698892092095,0.912185603940971,-1.55391836,-0.180491922500003,-0.933207030000005,1.3734264375,0.620711329999999,-0.752715107500002
"Ywhaq",0.581670655852166,0.638248492055793,0.991060697630994,0.974494494293939,0.821643128165095,0.892383028734799,0.937160839056993,0.589461856415348,-0.241020202500003,0.346567154999995,-0.720342160000001,0.587587357499999,-0.479321957499998,-1.066909315
