"","F-Value","Pr(>F)","2-1","3-1","4-1","3-2","4-2","4-3","diff 2-1","diff 3-1","diff 4-1","diff 3-2","diff 4-2","diff 4-3"
"Tbl1xr1;Tbl1x",0.597328278190707,0.628818917372972,0.789309076776835,0.993137440804177,0.930088156598591,0.640831036931237,0.986900737801804,0.822496126544956,0.612083910000001,-0.174261809999999,0.394611835000001,-0.78634572,-0.217472075,0.568873645
"V57",1.16532917584148,0.363398604000479,0.381429153666593,0.62932265745184,0.43943497776659,0.968192152919516,0.9994326740913,0.986228052659245,-2.77005219750001,-2.02053595,-2.57984972250001,0.749516247500003,0.190202475000001,-0.559313772500001
"Psph",1.19342421636354,0.353734644347919,0.935686289417885,0.995935633061202,0.34821144356764,0.983266413137633,0.664647704882202,0.459226099490654,-0.344929217499999,-0.131517887499998,-1.0296418675,0.213411330000001,-0.684712649999998,-0.898123979999999
"Nfu1",0.366474653358103,0.778524890078778,0.88887091248282,0.991626795399927,0.989809221465443,0.752564819815211,0.975253637002642,0.934123252940844,-0.224669697500003,0.0889961674999977,-0.0951883825000035,0.313665865000001,0.129481315,-0.184184550000001
"Dera",0.37693425527294,0.771322219699885,0.89725082276751,0.999639552225925,0.893336570882428,0.856378245221127,0.999999602304549,0.851806310437353,0.364052772500001,-0.0515365574999986,0.36937022,-0.41558933,0.00531744749999952,0.420906777499999
"Lsm8",0.894140872891519,0.472270585746028,0.969468753786962,0.75425052728679,0.868920985277253,0.499698673839752,0.633359504285465,0.995342193552213,0.389225485000003,-0.872808457499998,-0.669344424999998,-1.2620339425,-1.05856991,0.203464032499999
"Arl8b",1.67503740096594,0.224992356530629,0.310680197908963,0.996879580051342,0.984776632419056,0.232748982721667,0.481907852927313,0.944454709409886,0.820517059999997,-0.0913868000000022,0.156920432499998,-0.911903859999999,-0.663596627499999,0.2483072325
"Tra2a",0.181833699073838,0.906681317530166,0.998381396242252,0.999999917137302,0.918816580386053,0.998196789101181,0.963817711156786,0.916766415517744,0.120818855000001,-0.00446772499999959,0.471537590000001,-0.125286580000001,0.350718734999999,0.476005315
"Tmsb10",1.90043941452854,0.183394563061895,0.533457324672581,0.802027958283585,0.846229065118478,0.963203105400346,0.179501645732628,0.355330327500626,0.752130507499999,0.493476385000001,-0.443944455,-0.258654122499998,-1.1960749625,-0.937420840000001
"Lsm5",1.32548545220645,0.311865146063043,0.993726805474538,0.983632203227062,0.423899980441378,0.925596087447743,0.303333022394214,0.624028250652148,-0.109041694999998,0.151541232500001,0.671079632500001,0.2605829275,0.7801213275,0.5195384
