"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Ncapg2","Ncapg2",1712,2348,2105,2683,2066,4392
"Mat2b","Mat2b",1124,1355,1250,1717,1272,1888
"Igsf3","Igsf3",838,877,783,814,738,833
"Csgalnact2","Csgalnact2",382,457,497,382,281,410
"Tbca","Tbca",1747,2166,1718,2087,1960,2351
"Dstyk","Dstyk",1065,1029,1044,1659,1116,2134
"Wdr60","Wdr60",370,395,304,492,395,601
"Wdr11","Wdr11",4714,5523,5266,4567,3143,4976
"Zfp386","Zfp386",395,526,416,325,350,498
"Myo3b","Myo3b",1,1,0,2,1,1
"Abhd14b","Abhd14b",185,208,197,238,224,234
"Svop","Svop",1,2,9,0,1,2
"Hnrnpf","Hnrnpf",4927,6504,5583,8200,6204,9906
"Arsb","Arsb",2298,2824,2381,4630,3419,5168
"Zfp239","Zfp239",286,335,305,467,381,559
"Kank3","Kank3",419,447,421,397,461,574
"Inpp5f","Inpp5f",354,698,564,503,501,611
"Inka1","Inka1",252,383,308,274,235,365
"Ccdc115","Ccdc115",910,1334,1111,1491,1252,2038
"Vwa1","Vwa1",11,14,9,19,25,22
"Ssh1","Ssh1",847,864,895,956,737,1087
"Rassf4","Rassf4",3952,4423,4397,4108,3062,4846
"Ppig","Ppig",775,820,819,827,746,1191
"Msantd2","Msantd2",77,92,64,87,67,77
"Cox10","Cox10",469,608,530,670,422,452
"Klhl23","Klhl23",92,120,65,92,83,131
"Gm9774","Gm9774",38,50,22,13,23,27
"Tent2","Tent2",2273,2555,2555,2554,2008,3197
"Armc5","Armc5",769,859,781,978,950,1199
"Pnliprp1","Pnliprp1",0,0,4,0,9,0
"Bend6","Bend6",162,234,127,327,210,413
"Nfrkb","Nfrkb",779,1141,952,1065,771,1065
"Slc35f2","Slc35f2",29,11,1,4,11,38
"Zfp451","Zfp451",1050,1363,1266,1606,1117,1889
"Chchd7","Chchd7",230,298,247,284,244,321
"Slc35e2","Slc35e2",124,193,196,190,171,290
"Tbc1d22b","Tbc1d22b",443,598,527,538,505,594
"Kdm5b","Kdm5b",737,698,834,921,662,983
"X0610010F05Rik","0610010F05Rik",352,438,467,440,291,515
"Abhd14a","Abhd14a",277,320,333,389,313,439
"Fbxo38","Fbxo38",2586,2991,2858,2909,2122,3428
"Zfand4","Zfand4",59,66,74,74,31,67
"Bag2","Bag2",697,1099,743,1172,939,1383
"Sgsm1","Sgsm1",1359,1846,1831,1358,1032,1607
"Ammecr1","Ammecr1",125,150,177,254,80,132
"Lyn","Lyn",2723,3388,3176,4260,3496,4395
"Rabif","Rabif",807,843,952,1049,786,1106
"Grk3","Grk3",136,102,144,138,118,174
"Pm20d1","Pm20d1",0,0,0,0,0,0
"Trem1","Trem1",0,0,0,13,26,25
"Slc26a9","Slc26a9",1,4,0,0,1,1
"Nxt2","Nxt2",366,508,544,631,498,922
"Sestd1","Sestd1",3183,3734,3667,2352,1379,1994
"Pelo","Pelo",66,66,67,67,45,66
"Itga1","Itga1",0,9,0,0,1,1
"Stab1","Stab1",60,124,124,288,404,650
"Mrtfa","Mrtfa",3228,3601,3688,1853,1375,1627
"Gm5617","Gm5617",622,779,650,818,716,667
"Ttc19","Ttc19",201,208,146,227,118,164
"Ehbp1","Ehbp1",189,212,307,202,170,245
"Sgsm3","Sgsm3",1520,1755,1579,2419,1941,2655
"Tmem183a","Tmem183a",2984,3603,3254,3721,2729,4335
"Setd1a","Setd1a",29,60,41,45,49,25
"S100a13","S100a13",865,984,1018,983,823,1032
"Pbrm1","Pbrm1",1175,1558,1440,1722,1340,2440
"Hps4","Hps4",1125,1206,1129,1781,1463,1745
"Specc1","Specc1",982,1243,990,1692,1339,2277
"Tnfrsf14","Tnfrsf14",31,53,33,51,38,35
"Ubash3a","Ubash3a",0,0,1,0,0,0
"Arl15","Arl15",221,245,319,393,267,382
"Ikbke","Ikbke",503,521,468,498,380,424
"Arel1","Arel1",1302,1347,1275,1299,1140,1664
"Gnl3","Gnl3",1517,1744,1699,1696,1259,1995
"Osbpl6","Osbpl6",0,0,0,0,1,0
"Lgalsl","Lgalsl",284,335,300,413,300,445
"Snx18","Snx18",1767,1805,1949,5206,2500,3373
"Rbm45","Rbm45",200,152,143,134,103,208
"Smim12","Smim12",1342,1577,1312,1584,1309,1586
"Tsen2","Tsen2",642,811,717,719,568,749
"Gatad2b","Gatad2b",687,813,886,1173,818,1313
"Rbm7","Rbm7",1783,2224,1992,2277,1703,2518
"Dennd4b","Dennd4b",2698,3242,2937,2678,1994,2837
"Atf4","Atf4",6286,7145,7384,3331,3334,2832
"Zmym6","Zmym6",214,393,332,392,313,502
"Agps","Agps",2930,3608,3579,4299,2794,4993
"Ccno","Ccno",27,38,23,42,17,32
"Nfkbil1","Nfkbil1",332,355,399,324,277,370
"Fbrs","Fbrs",373,338,367,297,268,396
"Dhx29","Dhx29",1194,1146,1187,1393,934,1445
"Zfp532","Zfp532",3,4,8,0,0,8
"Mindy2","Mindy2",1049,1165,1215,2083,1250,2097
"Zmym4","Zmym4",705,860,754,1070,724,1091
"Mios","Mios",413,445,408,495,301,482
"Reln","Reln",0,0,0,0,0,0
"C1galt1","C1galt1",83,109,81,140,65,72
"Dctpp1","Dctpp1",539,659,521,530,539,789
"Zfp410","Zfp410",915,1009,888,890,779,1231
"Tbc1d8b","Tbc1d8b",103,175,146,376,262,386
"Abcb4","Abcb4",921,1115,1109,1787,1259,1763
"Leo1","Leo1",590,725,534,710,486,727
"Clspn","Clspn",128,182,169,177,155,305
"Tbc1d10b","Tbc1d10b",3867,4531,3920,3416,2237,3002
"Prdm10","Prdm10",241,233,266,389,254,302
"D330045A20Rik","D330045A20Rik",874,1070,1029,916,647,1046
"Ago4","Ago4",509,595,668,731,372,595
"Cpa6","Cpa6",0,1,0,0,0,0
"Cd2bp2","Cd2bp2",1036,1325,1070,1258,1065,1269
"Sdhaf3","Sdhaf3",83,117,95,108,68,141
"Usp22","Usp22",3489,4414,4238,3651,3062,3885
"Elmsan1","Elmsan1",1059,1144,1066,1184,903,1097
"Dmtf1","Dmtf1",456,514,548,618,446,731
"Ubap2l","Ubap2l",13329,15633,14346,16227,12891,18451
"Dnal1","Dnal1",17,34,21,30,33,16
"Sun2","Sun2",542,557,567,288,264,257
"Golga7b","Golga7b",26,21,29,1,0,5
"Gtpbp1","Gtpbp1",1230,1863,1361,1351,1196,1616
"Sem1","Sem1",4420,4776,4333,4928,4101,5737
"Asxl1","Asxl1",1160,1423,1226,1890,890,1028
"Map2k3os","Map2k3os",40,53,45,36,20,50
"Sin3a","Sin3a",1121,1460,1300,1583,1102,1889
"Adprhl2","Adprhl2",1038,1427,1272,1281,1203,1302
"Fam227a","Fam227a",0,0,0,7,14,5
"Dhrs7b","Dhrs7b",1262,1477,1301,1328,1117,1339
"Mier2","Mier2",962,1139,922,734,640,905
"Ube2q1","Ube2q1",5147,6365,6191,5302,3473,4630
"X4632404H12Rik","4632404H12Rik",143,215,216,203,172,267
"Cux2","Cux2",10,4,2,1,5,9
"Ipo11","Ipo11",1210,1342,1365,1772,1163,2158
"Sh2b3","Sh2b3",1185,1714,1334,1783,1242,1776
"Fam199x","Fam199x",156,305,254,253,262,426
"Kdm7a","Kdm7a",1074,1518,1376,1592,1160,2106
"Atxn2","Atxn2",432,515,493,704,229,292
"Hirip3","Hirip3",161,138,145,174,175,291
"Asb4","Asb4",2,6,0,23,7,32
