"","Geneid","control.cells_1","control.cells_2","control.cells_3","TGFB.cells_1","TGFB.cells_2","TGFB.cells_3"
"Rai1","Rai1",580,743,541,498,391,485
"Zfp954","Zfp954",356,424,379,348,257,444
"Cttnbp2nl","Cttnbp2nl",3034,3502,3723,6153,4412,6671
"Unc13c","Unc13c",0,0,0,0,0,0
"Ifnlr1","Ifnlr1",414,415,429,772,653,674
"Cnih4","Cnih4",1175,1318,1210,1207,1094,1545
"Lancl2","Lancl2",630,648,639,500,332,548
"X2700097O09Rik","2700097O09Rik",120,147,115,135,73,194
"Btbd9","Btbd9",834,912,828,820,793,854
"Gspt1","Gspt1",1543,2188,1783,2057,1562,2547
"Tnfaip8","Tnfaip8",1598,1861,1681,2558,1874,2809
"Rapgef2","Rapgef2",573,649,696,392,142,262
"Gak","Gak",7295,8579,8291,8340,6898,8675
"Cks2","Cks2",342,441,347,413,379,640
"Morf4l1","Morf4l1",1704,1992,2044,2284,1625,2727
"Trank1","Trank1",6,0,5,2,7,0
"Nectin2","Nectin2",739,934,854,1047,976,1293
"Glrp1","Glrp1",314,422,375,334,216,310
"Rpl17","Rpl17",4318,4704,4007,4366,3547,4751
"Itgb1bp1","Itgb1bp1",1510,1813,1596,1881,1539,1877
"Gm15772","Gm15772",33,38,15,21,28,39
"Gm4968","Gm4968",0,0,0,0,0,0
"Tmem65","Tmem65",2145,2804,2971,2589,1373,1664
"Borcs7","Borcs7",206,232,221,275,245,396
"Ftl1.ps1","Ftl1-ps1",2996,3454,2587,3246,2862,3010
"Zfp706","Zfp706",3697,4419,3777,5720,3911,6706
"Hsd3b3","Hsd3b3",0,1,0,0,0,0
"Arf2","Arf2",991,1103,969,1007,755,1322
"Ap3b2","Ap3b2",2,1,0,5,7,16
"Rpl9.ps6","Rpl9-ps6",240,296,173,251,191,270
"Gm5453","Gm5453",14,12,5,7,9,11
"Cyp4f37","Cyp4f37",41,69,40,20,2,85
"Ifit3b","Ifit3b",2,11,5,0,0,2
"Nsl1","Nsl1",313,420,313,380,298,593
"Fabp4","Fabp4",1264,1794,1503,355,216,416
"Zfp398","Zfp398",139,182,169,212,158,262
"Mppe1","Mppe1",125,141,131,133,85,162
"Timm17a","Timm17a",2189,2854,2460,2434,1907,2809
"Cnr2","Cnr2",987,1294,930,1694,1724,1826
"Armc9","Armc9",630,759,814,776,653,841
"Tubb4a","Tubb4a",10,26,20,29,1,14
"Srpk2","Srpk2",692,859,635,891,646,1228
"Rps3a2","Rps3a2",57,69,65,108,82,90
"X2310039H08Rik","2310039H08Rik",1220,1312,1034,982,808,970
"Mysm1","Mysm1",397,553,565,690,557,817
"Ganc","Ganc",151,234,180,276,261,290
"Rpl7a","Rpl7a",5034,6204,5305,5566,4826,6217
"Atp5g2","Atp5g2",3148,4024,3722,3812,3335,3447
"Cebpzos","Cebpzos",51,66,47,147,103,212
"Ppox","Ppox",1040,1150,1261,1081,976,1109
"Zfp677","Zfp677",80,73,119,96,62,157
"AI413582","AI413582",1581,2022,1763,2059,1745,1930
"Zfp512","Zfp512",1016,1242,959,1276,1020,1421
"Ei24","Ei24",1196,1468,1458,1421,1147,1925
"Tex101","Tex101",11781,14155,11951,23736,19964,24091
"Hikeshi","Hikeshi",464,651,620,658,604,691
"X4833420G17Rik","4833420G17Rik",475,556,448,647,447,727
"Actg1","Actg1",10151,11636,10554,6847,5395,7164
"Gm14176","Gm14176",16,28,13,33,34,28
"Zfp28","Zfp28",241,266,281,340,242,415
"Phactr2","Phactr2",0,0,0,0,0,0
"Impdh2","Impdh2",3527,4468,3449,3820,3539,4502
"Klhl24","Klhl24",1529,1708,1859,3139,2085,4324
"Hdac10","Hdac10",403,627,493,344,378,387
"Acadm","Acadm",2859,3215,2858,3902,2923,5076
"Cfl2","Cfl2",429,535,548,267,264,341
"Zfp938","Zfp938",145,206,184,140,124,184
"Gm10123","Gm10123",1475,1875,1293,1545,1337,1881
"Mtap","Mtap",1244,1350,1201,1319,1088,1804
"X9130023H24Rik","9130023H24Rik",63,48,72,230,154,248
"Atp11c","Atp11c",175,211,192,465,308,498
"Kdr","Kdr",12,0,9,0,0,5
"Ufc1","Ufc1",969,1189,972,1116,1076,1221
"Cped1","Cped1",341,492,388,285,221,409
"Mrpl42","Mrpl42",1365,1470,1295,1533,1115,1884
"Ica1","Ica1",1114,1366,1296,943,752,1077
"Rpl35","Rpl35",5306,5654,5230,5256,4643,5764
"Ccni","Ccni",2641,3207,3215,7577,5839,7791
"X2010204K13Rik","2010204K13Rik",40,72,45,52,28,71
"Manbal","Manbal",1106,1048,1168,899,779,848
"Zfp780b","Zfp780b",101,78,90,71,107,140
"Ing2","Ing2",192,174,195,266,135,241
"Lrrc40","Lrrc40",815,1177,1093,1135,747,1444
"Mapk3","Mapk3",4071,5261,4927,6082,5198,5984
"Kif1b","Kif1b",2107,2031,2254,2606,1426,2030
"Zfp26","Zfp26",175,295,216,359,200,458
"Kcnma1","Kcnma1",0,1,0,0,1,0
"Bbs5","Bbs5",256,288,323,304,207,290
"Clip2","Clip2",336,384,300,388,282,376
"Numbl","Numbl",250,326,309,305,204,240
"Hspb11","Hspb11",238,316,292,274,165,320
"Pstk","Pstk",164,310,235,227,237,366
"Cd300lb","Cd300lb",3494,3750,3580,1890,1281,2233
"Nol7","Nol7",713,749,761,598,573,643
"Ldha","Ldha",54883,77675,61494,73395,59197,81120
"Gpr84","Gpr84",14,5,17,68,69,126
"Ptpmt1","Ptpmt1",651,757,669,766,552,693
"X1110038F14Rik","1110038F14Rik",385,416,453,420,402,528
"Zfp993","Zfp993",9,22,24,8,19,33
"Scoc","Scoc",216,316,249,687,453,849
"Parp10","Parp10",1049,1519,1429,1247,950,1132
"Naa15","Naa15",1011,1320,1235,1329,969,1922
"Hacd1","Hacd1",768,871,672,1058,838,1106
"Zfp35","Zfp35",557,584,533,670,432,687
"Gm8995","Gm8995",778,1170,1025,835,500,999
"Tmem117","Tmem117",9,0,0,0,3,0
"Rpl27","Rpl27",5164,5604,4959,4726,4194,4944
"Usp31","Usp31",205,244,219,241,100,178
"X1190007I07Rik","1190007I07Rik",282,232,253,216,231,180
"Gm9396","Gm9396",10,20,10,4,8,19
"Krr1","Krr1",389,527,438,526,379,620
"Slc39a4","Slc39a4",6,10,23,15,2,19
"Mapk1","Mapk1",3900,4594,4252,5499,3894,5411
"Alg11","Alg11",362,418,485,641,511,696
"X3300002I08Rik","3300002I08Rik",13,13,13,26,16,18
"Bcl9l","Bcl9l",316,405,403,618,440,556
"Zfp947","Zfp947",48,59,60,73,38,89
"Tmed5","Tmed5",591,873,716,506,472,750
"Stk24","Stk24",387,451,467,351,273,286
"Gm10131","Gm10131",7,19,24,26,17,50
"Cyp26b1","Cyp26b1",117,117,135,113,85,87
"Wscd2","Wscd2",0,0,0,0,0,0
"Sorcs3","Sorcs3",0,0,0,0,1,0
"B9d2","B9d2",574,766,578,521,426,541
"Nmral1","Nmral1",234,287,205,228,215,344
"Syne2","Syne2",84,98,100,166,106,159
"D630045J12Rik","D630045J12Rik",0,6,0,3,0,3
"Rps15","Rps15",4484,5507,4518,4628,4351,4760
"Lrmda","Lrmda",23,23,45,45,12,45
"Snu13","Snu13",1787,2156,1830,1890,1632,2523
"Arhgap22","Arhgap22",65,71,82,55,33,102
"Snrnp70","Snrnp70",2687,3424,2752,3089,2470,3663
"Eno1","Eno1",60633,85714,68775,82022,67075,88901
"Nup98","Nup98",2530,2900,2801,2943,2271,3044
"Gm10132","Gm10132",44,46,28,64,24,32
"Aox1","Aox1",26,15,37,11,32,46
"Klhdc3","Klhdc3",3605,4223,3870,3441,3136,3863
"Gm10134","Gm10134",39,35,29,31,27,68
"Sox11","Sox11",0,5,0,0,0,0
"Jakmip1","Jakmip1",54,51,54,30,24,42
"Slc22a21","Slc22a21",19,53,52,44,43,75
"Zbtb18","Zbtb18",18,25,39,50,19,45
"Brwd3","Brwd3",52,71,65,117,85,109
"Gm13910","Gm13910",30,55,40,37,40,69
"Cycs","Cycs",2399,2975,2489,2043,1582,2744
"Gm8730","Gm8730",104,164,111,141,117,135
"Sfxn4","Sfxn4",74,68,60,82,67,68
"Sp3os","Sp3os",113,144,157,143,151,107
"Rnf217","Rnf217",173,198,227,183,62,99
"Utp14a","Utp14a",435,522,437,570,447,565
"Chchd1","Chchd1",729,828,627,638,639,798
"Prpf38a","Prpf38a",964,1137,1093,1224,1030,1473
"Ap3s2","Ap3s2",1487,1714,1638,1483,1351,1733
"Hspbp1","Hspbp1",1311,1916,1620,1460,1181,1711
"Lin28b","Lin28b",10,2,11,22,15,15
"Gpatch1","Gpatch1",554,580,675,613,528,796
"Alms1","Alms1",113,108,152,130,163,201
"Ppcdc","Ppcdc",298,393,352,532,420,497
"Gpx1","Gpx1",3744,4198,3582,3215,2965,3656
"Chd4","Chd4",3732,4609,4190,5157,4183,5496
"Rps6.ps1","Rps6-ps1",5,11,7,10,6,7
"Uqcrh","Uqcrh",2641,3024,2587,2831,2440,3319
"Ptcd3","Ptcd3",1465,2005,1656,2167,1417,2550
"Rpl7l1","Rpl7l1",4215,5588,4825,4824,3771,6184
"Crem","Crem",102,116,113,98,81,128
"Zkscan8","Zkscan8",58,54,38,143,79,159
"CAAA01118383.1","CAAA01118383.1",535,601,576,551,435,558
"Gm7964","Gm7964",511,722,569,866,602,928
"Dpp3","Dpp3",7474,9982,8294,7916,6778,9175
"Pepd","Pepd",3994,5182,4484,5514,4798,6082
"Brpf3","Brpf3",96,95,101,66,71,75
"Amd2","Amd2",4,7,7,8,2,10
"Nr6a1","Nr6a1",70,104,137,79,71,104
"Pym1","Pym1",160,251,188,189,135,254
"Gpn1","Gpn1",995,1061,1023,1071,862,1219
"Trerf1","Trerf1",1156,1184,1106,1042,834,1404
"Dzip3","Dzip3",177,287,255,289,271,399
"Ipcef1","Ipcef1",124,127,51,348,169,378
"Mtx1","Mtx1",1447,2052,1640,2079,1828,2223
"Vrk2","Vrk2",187,327,227,236,196,337
"Cnnm2","Cnnm2",333,524,390,485,313,515
"Hcst","Hcst",166,191,143,196,203,132
"Mocs1","Mocs1",1335,1209,1402,787,740,802
"Med14","Med14",472,467,652,871,591,814
"Cenpj","Cenpj",125,123,141,165,94,230
"Fam172a","Fam172a",1026,1299,1215,1980,1250,2145
"Zfp69","Zfp69",36,60,41,79,38,71
"Arih2","Arih2",1768,1972,1825,1725,1682,2004
"Rab44","Rab44",138,191,190,263,258,136
"Tnnt1","Tnnt1",7,9,13,19,12,34
"Rab3ip","Rab3ip",366,427,454,284,215,287
"Gm4735","Gm4735",147,208,114,215,171,224
"Gm10145","Gm10145",14,17,20,19,26,46
"Ano6","Ano6",6407,6823,6949,6275,5043,6412
"Ifi27","Ifi27",6230,7166,6344,3646,3321,5021
"Ethe1","Ethe1",458,659,464,857,588,899
"Vmn1r13","Vmn1r13",0,0,0,0,0,1
"Gimap8","Gimap8",0,0,0,0,0,0
"Zfp428","Zfp428",21,22,27,5,18,21
"Hvcn1","Hvcn1",776,1063,991,1520,1199,1298
"Cdpf1","Cdpf1",396,501,365,391,374,373
"Tank","Tank",1054,1054,1133,624,597,875
"Clasp1","Clasp1",2076,2577,2546,2303,1650,2576
"Lrrc51","Lrrc51",66,64,76,59,56,52
"Gm10146","Gm10146",36,54,34,43,32,50
"Siva1","Siva1",1047,1237,942,1165,971,1534
"Scn1a","Scn1a",0,1,0,0,5,0
"Pde6h","Pde6h",0,1,0,0,0,0
"mt.Rnr1","mt-Rnr1",4136,4665,4425,4334,3603,5426
"mt.Rnr2","mt-Rnr2",45274,50400,43371,38693,32883,53648
"mt.Nd1","mt-Nd1",13674,15704,13115,16637,13136,25427
"mt.Nd2","mt-Nd2",1945,2255,1962,3146,2340,4581
"mt.Co1","mt-Co1",42529,41297,36408,39612,28775,57203
"mt.Co2","mt-Co2",162,164,112,166,114,180
"mt.Atp6","mt-Atp6",107,180,68,131,118,217
"mt.Co3","mt-Co3",501,598,404,590,464,630
"mt.Nd4","mt-Nd4",2968,2363,1881,3466,2187,5896
"mt.Nd5","mt-Nd5",5720,4633,4180,5674,4227,9563
"mt.Nd6","mt-Nd6",428,443,387,608,506,969
"mt.Cytb","mt-Cytb",17832,13517,12592,19982,12946,32503
"mt.Tp","mt-Tp",9,24,17,8,21,23
"Selenop","Selenop",329,431,391,704,478,972
"Rn7sk","Rn7sk",103,97,95,107,126,67
"Snord104","Snord104",18,12,19,11,12,29
"Vaultrc5","Vaultrc5",2,0,1,4,0,4
"Gm23849","Gm23849",99,80,129,105,82,97
"Tacc1","Tacc1",2540,2594,2465,3268,2190,3138
"Cpped1","Cpped1",871,1180,970,1328,1099,1431
"Aurkaip1","Aurkaip1",3883,4586,3720,3126,2918,3243
"Dhrs3","Dhrs3",1127,1167,1287,1700,1162,1433
"Ubr4","Ubr4",6004,5815,6360,4767,4270,5320
"Hnrnpr","Hnrnpr",1926,2181,2015,2504,1932,3251
"Med18","Med18",277,428,353,309,266,379
"Phactr4","Phactr4",219,288,301,245,271,310
"Gm1976","Gm1976",34,40,40,44,61,63
"Gm13611","Gm13611",9,14,6,12,7,14
"Adamtsl1","Adamtsl1",0,0,2,0,0,1
"Kndc1","Kndc1",0,1,0,0,0,0
"Prpf4","Prpf4",913,890,813,908,732,1039
"Cdc26","Cdc26",422,568,498,482,450,579
"Slc31a1","Slc31a1",4076,4837,4766,6739,4699,7433
"Fkbp15","Fkbp15",4275,5113,5049,5687,4679,5359
"Slc31a2","Slc31a2",1592,1762,1856,2335,2008,2498
"X2510046G10Rik","2510046G10Rik",9,8,15,7,12,11
"Anks6","Anks6",310,291,269,307,166,167
"Ipo7","Ipo7",1768,2276,2121,2463,1842,3028
"Tmem42","Tmem42",32,45,32,21,6,36
"Pomgnt2","Pomgnt2",417,560,508,462,405,556
"Trim12a","Trim12a",85,69,56,92,51,123
"Vps37b","Vps37b",261,322,277,261,247,287
"Numa1","Numa1",3969,5202,4152,5308,4596,6604
"Gm12918","Gm12918",165,264,217,221,167,222
"Impad1","Impad1",460,697,539,652,535,958
"Wdr6","Wdr6",2507,3315,3013,3718,3375,4911
"Rps13.ps1","Rps13-ps1",10,11,9,7,9,17
"Serpina3f","Serpina3f",0,0,0,0,0,2
"Nrxn3","Nrxn3",0,4,1,0,0,1
"Akap13","Akap13",4222,4072,4890,4769,3091,4288
"Gm10263","Gm10263",4,7,18,15,7,3
"Msl2","Msl2",466,403,502,591,231,497
"Zfyve26","Zfyve26",2365,2801,2860,2950,2512,3301
"Rdh11","Rdh11",852,1018,988,1259,896,1361
"Mthfs","Mthfs",201,175,184,272,191,288
"Vmn2r57","Vmn2r57",0,1,0,4,0,1
"Hmgb1","Hmgb1",3420,4742,3666,5355,3907,7660
"Lsm14a","Lsm14a",1183,1678,1535,2143,1544,2380
"X4931406P16Rik","4931406P16Rik",1076,1276,1192,2010,1409,2282
"Flvcr1","Flvcr1",1532,1683,1682,1213,969,1592
"Zfp932","Zfp932",50,51,107,39,51,81
"Tecpr1","Tecpr1",25186,28434,28746,11592,9692,10695
"Pgk1.rs7","Pgk1-rs7",18,22,24,28,30,30
"Ttc32","Ttc32",431,474,407,363,344,416
"Fbxl18","Fbxl18",992,924,1108,1047,787,1142
"Wdr35","Wdr35",1145,1168,1233,1664,1129,1711
"Gm5113","Gm5113",52,45,90,60,86,97
"Pilrb2","Pilrb2",185,170,168,18,9,46
"Pilrb1","Pilrb1",178,247,197,19,11,14
"Zbtb16","Zbtb16",120,164,108,138,62,213
"Gm10175","Gm10175",39,58,41,64,50,42
"Vkorc1l1","Vkorc1l1",702,726,668,691,519,787
"Tnfsf18","Tnfsf18",37,19,23,0,0,0
"Zbtb6","Zbtb6",127,136,143,188,126,283
"Rnasel","Rnasel",1169,1517,1360,1119,910,1603
"Gm10180","Gm10180",29,24,27,22,10,32
"Zfp810","Zfp810",103,112,139,388,282,477
"Zfp772","Zfp772",116,187,124,160,119,185
"Ecsit","Ecsit",689,785,816,652,670,749
"Hmcn1","Hmcn1",0,2,0,0,0,8
"Oas1g","Oas1g",746,981,839,326,441,421
"Nck2","Nck2",744,849,715,841,585,796
"Zfp617","Zfp617",250,298,330,435,316,456
"Fbxl12","Fbxl12",158,290,249,254,168,283
"Vsig10","Vsig10",232,283,437,280,266,361
"Suds3","Suds3",1324,1560,1371,1316,749,865
"Bub3","Bub3",3110,4268,3366,3902,3281,4838
"Gm3608","Gm3608",111,126,106,154,111,176
"Rps12.ps3","Rps12-ps3",18,20,13,19,29,23
"Hes6","Hes6",881,1150,1180,1151,1084,1383
"Polr1c","Polr1c",1157,1464,1242,1148,1074,1223
"Xpo5","Xpo5",2672,3387,3106,3108,2325,3232
"Col4a4","Col4a4",0,1,1,0,1,0
"Gm5560","Gm5560",26,17,35,23,13,34
"Eif1ax","Eif1ax",886,1248,976,1183,956,1582
"Frat1","Frat1",13,13,11,29,17,17
"H2.K2","H2-K2",124,183,118,97,51,57
"H2.T23","H2-T23",12586,14614,12995,5803,4923,5774
"Lgi1","Lgi1",0,1,0,0,0,0
"Rplp0","Rplp0",31979,38788,34212,30843,26828,31935
"Rps28","Rps28",5326,5340,5155,6274,5225,6322
"Bmpr2","Bmpr2",167,196,227,293,244,427
"Rps25.ps1","Rps25-ps1",47,54,30,45,61,61
"Tmem128","Tmem128",434,583,442,497,408,526
"Lyar","Lyar",215,365,300,179,219,355
"Trmt2b","Trmt2b",1287,1301,1278,2102,1467,2314
"B3galt4","B3galt4",348,374,390,427,370,421
"Zfp563","Zfp563",80,87,88,132,87,131
"Zfp763","Zfp763",84,52,63,168,97,188
"Hdac8","Hdac8",238,255,200,336,198,335
"A430093F15Rik","A430093F15Rik",137,125,128,247,231,263
"Pcna.ps2","Pcna-ps2",34,45,48,58,28,50
"Syngap1","Syngap1",7,29,17,13,12,44
"Prkag1","Prkag1",228,388,288,385,392,417
"Lpar5","Lpar5",285,427,297,498,309,637
"Gm10221","Gm10221",49,52,56,38,50,57
"BC003965","BC003965",649,847,704,671,661,847
"Blcap","Blcap",2484,2762,2940,2063,1692,2233
"Pex26","Pex26",455,556,497,524,447,608
"Romo1","Romo1",3232,3576,3191,4050,3281,4154
"Arfgef1","Arfgef1",1170,1618,1463,2158,636,1195
"Rpl31.ps8","Rpl31-ps8",96,130,83,83,87,109
"Htatsf1","Htatsf1",648,866,842,830,776,1220
"Sptbn2","Sptbn2",122,146,182,206,128,240
"Zfp991","Zfp991",95,162,152,82,123,187
"Zfp948","Zfp948",137,254,192,112,118,195
"Zfp160","Zfp160",55,76,76,93,48,150
"Gtf2f2","Gtf2f2",758,952,751,1035,773,1049
"Lrch1","Lrch1",720,731,783,1204,939,1451
"Afdn","Afdn",1811,2213,2074,2578,1463,2349
"Tcp1","Tcp1",4751,5607,4869,5808,4226,6774
"Tm9sf4","Tm9sf4",5959,6612,7041,6104,4780,6426
"Cenpm","Cenpm",155,219,183,195,160,316
"Ccdc134","Ccdc134",145,103,115,120,87,172
"Ninl","Ninl",491,565,706,973,729,1324
"Cst7","Cst7",942,1199,862,1637,1771,1669
"Zfp442","Zfp442",34,59,47,30,59,54
"Zfp120","Zfp120",285,261,307,394,274,639
"Gm10232","Gm10232",18,20,9,20,8,17
"Ndufaf2","Ndufaf2",98,163,124,140,85,132
"Macrod2","Macrod2",33,24,30,60,41,48
"Pick1","Pick1",156,176,165,177,222,216
"Lgals1","Lgals1",26094,29370,27042,26543,24979,25772
"Gm11808","Gm11808",64,70,43,68,60,76
"Phf11d","Phf11d",693,819,570,278,191,371
"Apol9b","Apol9b",11,40,27,2,1,1
"Amn1","Amn1",219,201,181,166,150,257
"Gm5879","Gm5879",15,22,19,40,23,32
"Ap5s1","Ap5s1",802,877,744,800,714,824
"Cenpb","Cenpb",1218,1556,1289,1676,1166,1138
"Usf3","Usf3",185,137,152,170,114,222
"Ddrgk1","Ddrgk1",1114,1355,1283,1343,1219,1606
"Aup1","Aup1",4562,5358,5015,4031,3859,4138
"Htra2","Htra2",1552,2208,1846,1257,1088,1493
"Dok1","Dok1",1089,1555,1455,1136,964,1114
"Chrac1","Chrac1",642,727,614,617,572,815
"Cep152","Cep152",303,365,349,468,386,478
"Rpl34.ps1","Rpl34-ps1",20,18,10,19,28,22
"Duox2","Duox2",1,0,9,36,71,43
"B630019A10Rik","B630019A10Rik",0,1,0,2,1,9
"Gm5518","Gm5518",10,14,13,37,14,10
"Mfap1a","Mfap1a",202,203,235,378,275,486
"Gng5","Gng5",3999,4730,4050,4605,4297,5123
"Doxl2","Doxl2",182,219,171,185,106,195
"Zfp467","Zfp467",520,597,574,598,587,628
"Myadm","Myadm",7555,8695,8302,5621,4293,5926
"Zfyve19","Zfyve19",1469,1521,1399,1382,1128,1424
"Mgam","Mgam",0,5,9,1,0,5
"Clec16a","Clec16a",273,253,257,291,271,320
"Myoz1","Myoz1",150,199,173,120,94,84
"Flnc","Flnc",15893,17590,17003,8119,6798,8960
"Gm10250","Gm10250",16,32,13,18,24,20
"Tmem167b","Tmem167b",1905,2380,2326,2624,2073,2691
"Sars","Sars",29942,33926,33874,20932,19198,18596
"Celsr2","Celsr2",0,0,0,0,0,0
"Cry2","Cry2",617,793,701,700,627,721
"Psrc1","Psrc1",887,1117,843,912,736,1128
"Sort1","Sort1",49,34,36,66,53,87
"Psma5","Psma5",5556,6892,5556,5427,4591,7332
"Il3ra","Il3ra",183,324,193,216,210,149
"Gstm6","Gstm6",15,20,15,8,12,2
"Rap1a","Rap1a",3151,3883,3458,3247,2496,3928
"Csde1","Csde1",12475,15448,14008,17179,11806,21202
"Hist2h2be","Hist2h2be",1024,1083,959,426,377,631
"Hist2h2ac","Hist2h2ac",14,26,10,2,6,21
"Sf3b4","Sf3b4",4290,4965,5285,4756,4190,5340
"Selenbp1","Selenbp1",5401,9253,7022,2749,1702,2461
"Cgn","Cgn",0,1,0,2,0,0
"Selenbp2","Selenbp2",215,387,319,182,149,98
"Ssb","Ssb",1557,2115,1784,1785,1442,2439
"Clk2","Clk2",1884,2240,1845,2193,1762,2296
"Dap3","Dap3",3085,4064,3614,3486,3185,3877
"Msto1","Msto1",2022,2350,1968,2097,1671,2234
"Syt11","Syt11",606,646,636,845,624,1163
"X4930589L23Rik","4930589L23Rik",94,135,140,85,48,99
"Zfp619","Zfp619",7,36,19,12,50,53
"Zbtb34","Zbtb34",439,417,518,549,449,547
"Urm1","Urm1",420,471,434,356,357,504
"Slc7a14","Slc7a14",62,71,81,30,23,38
"Cdk7","Cdk7",1712,2132,1727,1730,1474,2318
"Pde7a","Pde7a",31,55,36,25,13,23
"Zbtb10","Zbtb10",41,50,71,29,18,37
"Fgfr1op","Fgfr1op",226,354,234,514,366,708
"Adgrv1","Adgrv1",1,4,0,4,5,2
"Nr2f1","Nr2f1",54,116,62,36,22,30
"Zfp72","Zfp72",87,67,104,40,65,87
"Zfp874a","Zfp874a",171,240,192,158,112,280
"Zfp825","Zfp825",98,120,85,135,118,171
"Fam8a1","Fam8a1",209,359,275,296,157,198
"Dusp22","Dusp22",831,950,725,989,828,1171
"Hist1h2ac","Hist1h2ac",17,12,47,16,15,10
"Hist1h2ae","Hist1h2ae",233,295,244,185,202,185
"Epc2","Epc2",35,62,50,68,44,62
"Lyz1","Lyz1",118,106,124,55,54,91
"Lyz2","Lyz2",210351,234225,207280,160800,134520,204451
"Tmem19","Tmem19",880,1054,1000,1621,1303,1803
"Scyl2","Scyl2",455,699,510,565,402,616
"Dazap1","Dazap1",837,1201,961,902,815,1056
"Tspear","Tspear",139,140,154,56,47,41
"Ank3","Ank3",3,10,3,10,7,0
"Strada","Strada",493,644,571,725,598,836
"Pex11g","Pex11g",54,55,44,84,47,51
"Marcks","Marcks",482,544,529,733,256,265
"Pcgf1","Pcgf1",287,459,336,321,309,283
"Gm10275","Gm10275",95,96,63,101,94,87
"Zfp975","Zfp975",53,40,48,40,58,110
"Arid1b","Arid1b",1803,2078,1976,2334,1419,1970
"Psmb3","Psmb3",4065,5531,4258,4752,4369,5250
"Msi2","Msi2",41,86,46,122,54,104
"Wfdc17","Wfdc17",1149,1188,1074,274,246,270
"Slfn9","Slfn9",333,461,380,617,394,923
"Fam57a","Fam57a",106,96,103,154,80,144
"Nlrp1a","Nlrp1a",94,129,89,25,22,83
"Ahnak","Ahnak",16711,16938,18251,12540,9106,12802
"Sat2","Sat2",119,106,88,143,118,174
"Sco1","Sco1",338,274,349,324,278,427
"X4930438A08Rik","4930438A08Rik",55,45,76,3,2,0
"Irgm2","Irgm2",200,151,196,204,216,308
"X9930111J21Rik2","9930111J21Rik2",573,710,540,486,372,747
"X9930111J21Rik1","9930111J21Rik1",394,454,405,360,317,540
"Atxn1l","Atxn1l",338,405,337,388,321,522
"Gm12166","Gm12166",206,277,219,196,234,258
"Spdl1","Spdl1",646,639,663,410,269,533
"B3gnt9","B3gnt9",130,156,166,232,167,231
"X4932416K20Rik","4932416K20Rik",0,0,0,0,0,8
"Rps13.ps2","Rps13-ps2",92,88,76,148,123,122
"Fcho1","Fcho1",40,33,25,57,55,54
"Ell","Ell",1568,1990,1828,1123,1035,1093
"Ssbp4","Ssbp4",2522,3095,2708,4875,4579,4611
"Sp140","Sp140",761,906,759,684,483,696
"Sp110","Sp110",372,503,427,500,346,549
"Fat1","Fat1",59,54,55,62,79,80
"Mfhas1","Mfhas1",1940,2150,2049,2554,1243,1253
"X3000002C10Rik","3000002C10Rik",82,56,48,50,40,69
"Ndufaf3","Ndufaf3",1010,1205,1078,1185,1080,1126
"Gmppb","Gmppb",593,842,539,683,610,953
"X4930581F22Rik","4930581F22Rik",9,5,10,3,2,14
"Eif3g","Eif3g",3979,5321,4447,3867,3472,4209
"Rnf213","Rnf213",1202,1523,1480,737,635,848
"Fbxo47","Fbxo47",11,17,4,41,4,26
"Gpr179","Gpr179",0,2,0,0,0,0
"Gm10288","Gm10288",49,48,61,53,44,46
"Hsf5","Hsf5",0,0,0,0,0,0
"Ccnd1","Ccnd1",729,1020,715,679,522,813
"Prss36","Prss36",55,87,72,58,34,104
"Capza1","Capza1",7095,9442,8266,10402,7346,13280
"Nlrp1b","Nlrp1b",18,54,19,47,56,128
"Tmem256","Tmem256",1896,2135,1884,2024,1816,2287
"Rnf121","Rnf121",306,429,415,309,277,316
"Il18bp","Il18bp",6,11,9,7,4,19
"Gm10291","Gm10291",8,4,6,0,6,3
"BX649560.1","BX649560.1",69,114,135,51,52,73
"Tlnrd1","Tlnrd1",2901,3111,3223,1831,1126,1477
"Gm10293","Gm10293",9,12,4,14,1,10
"Chchd2","Chchd2",5876,7322,5817,6254,5811,7334
"Ctcfl","Ctcfl",0,0,0,0,0,0
"Nsmce3","Nsmce3",386,472,397,445,411,513
"Fcrlb","Fcrlb",48,63,49,114,128,180
"Top1","Top1",1450,1672,1500,2029,1379,2281
"Rasal2","Rasal2",405,428,442,637,331,517
"Trmt112.ps2","Trmt112-ps2",13,21,18,24,12,26
"Mn1","Mn1",59,65,62,71,44,64
"Fv1","Fv1",21,14,37,23,23,57
"Vsig10l","Vsig10l",50,50,65,45,20,57
"Zfp992","Zfp992",100,113,79,78,68,129
"Gm13127","Gm13127",118,139,137,79,115,161
"Lrrc8b","Lrrc8b",285,239,255,599,268,578
"Etnk2","Etnk2",0,0,1,0,0,0
"Rnf186","Rnf186",96,92,121,238,183,211
"Htr1d","Htr1d",0,0,0,0,0,0
"Runx3","Runx3",1436,1805,1574,1838,1293,1610
"Cntnap5a","Cntnap5a",1,7,5,1,0,6
"Utp3","Utp3",993,1316,1121,1286,994,1434
"Sars2","Sars2",528,689,672,569,501,520
"Eid2b","Eid2b",207,260,188,269,256,332
"Zfp974","Zfp974",73,44,69,100,64,75
"Gm10282","Gm10282",146,151,110,171,119,260
