Geneid,control Evs_1,control Evs_2,control Evs_3,LPS Evs_1,LPS Evs_2,LPS Evs_3,IL-10 Evs_1,IL-10 Evs_2,IL-10 Evs_3,TGFB Evs_1,TGFB Evs_2,TGFB Evs_3
Prkar1b,2392,343,471,540,246,689,287,233,1203,644,655,363
Pdgfa,1479,149,86,190,103,253,110,0,415,69,540,510
Dnaaf5,0,0,145,91,51,41,0,11,0,0,15,37
Get4,1386,505,820,475,311,707,535,866,847,382,925,1154
Xiap,0,181,6,43,82,111,185,11,38,255,200,179
Stag2,1319,537,0,308,168,145,0,520,1,0,333,137
Higd2a,1944,387,364,232,146,517,113,156,369,16,417,218
Nop16,2717,439,748,607,283,526,319,387,687,173,837,340
Arl10,130,0,56,39,21,58,29,0,0,1,55,0
4833439L19Rik,2544,1684,187,741,433,984,1856,630,161,1987,2333,1613
Thoc3,1259,1034,417,772,334,752,1246,1371,1442,650,1432,1166
Faf2,1466,666,447,404,322,550,224,346,1029,180,772,584
Tspan17,340,240,446,68,57,157,292,80,1226,0,434,193
Hk3,11227,1170,1647,696,767,1156,624,435,2300,413,2008,248
Uimc1,1,4,55,111,49,114,48,133,140,0,76,172
Smad7,0,0,2,8,28,95,0,31,12,19,111,121
Casp1,1487,248,453,532,321,667,220,500,740,132,269,60
Kbtbd3,0,4,0,0,32,37,32,15,58,0,18,0
Aasdhppt,634,104,295,89,20,123,39,0,21,0,112,0
Cwf19l2,0,13,19,112,293,208,20,27,12,0,6,4
Alkbh8,55,29,0,101,109,174,63,5,4,13,346,14
Lypla1,446,56,128,138,181,203,140,0,379,0,105,0
Rb1cc1,0,39,2,51,177,119,118,250,1,0,374,20
Sntg1,0,0,0,100,144,115,0,0,0,0,0,1
Adhfe1,186,180,362,227,175,348,142,335,154,72,268,147
Sgk3,420,217,338,384,222,167,201,0,0,567,582,290
Cops5,1170,393,1195,607,646,1236,514,537,1121,412,955,566
Stau2,421,138,172,79,113,83,215,67,0,66,85,511
Rdh10,0,547,895,235,118,262,1730,1649,203,688,509,783
Terf1,406,156,222,77,125,74,56,187,593,0,144,1
Eya1,0,0,0,29,135,140,0,0,0,0,0,0
Tmem14a,0,0,0,5,2,2,0,0,0,0,0,0
Gsta3,132,0,0,1,30,40,0,0,0,0,33,0
Tram1,4630,304,806,713,356,769,959,563,1208,663,1648,545
Lactb2,670,104,187,72,139,524,73,78,625,0,298,74
Ube2w,553,19,364,65,70,232,207,66,60,64,341,294
Tmem70,2035,64,127,156,100,354,274,90,108,0,431,169
Pikfyve,468,47,870,220,415,727,581,194,783,557,737,815
Idh1,2305,710,872,489,322,557,14,436,297,0,1406,123
Akr1cl,0,0,0,76,163,172,0,0,0,0,0,0
Mettl21a,202,92,0,75,20,239,156,69,162,136,174,72
Creb1,656,68,0,77,135,126,131,79,70,37,897,210
Klf7,350,476,139,200,117,166,121,168,113,28,123,49
Fastkd2,1139,148,350,107,110,158,26,0,397,0,528,36
Adam23,0,0,0,55,236,259,0,0,0,0,0,0
Eef1b2,2932,3065,2892,2579,1027,2817,4782,3425,3086,2942,4056,4600
Ndufs1,4399,431,844,265,570,1007,216,404,1245,209,1066,635
Nrp2,2148,385,191,218,460,1010,186,255,502,62,301,95
Maip1,120,145,0,190,86,246,70,78,164,0,115,66
Rftn2,0,58,0,48,31,41,0,0,0,0,73,0
Mob4,697,183,141,155,274,273,60,61,268,143,259,48
Hspd1,11589,2408,3313,1284,1042,1872,2551,1874,5091,1988,5204,3215
Coq10b,0,70,0,141,69,113,22,0,5,0,5,0
Sf3b1,3546,388,882,473,434,1029,681,114,1712,136,1140,219
Slc39a10,89,135,0,40,119,54,0,0,0,5,21,0
Slc40a1,2254,2269,1327,255,272,409,1150,1116,888,982,5706,5417
Wdr75,725,79,1049,345,146,399,159,144,280,318,296,353
Ikzf2,0,0,0,65,347,180,0,0,0,0,0,0
Lancl1,1001,227,585,151,134,214,130,148,590,0,350,443
Acadl,2727,342,472,283,193,458,417,287,249,320,857,340
Kansl1l,0,0,0,34,59,66,0,86,75,0,23,36
Rpe,443,16,119,350,94,292,105,0,992,378,626,296
Icos,0,0,0,34,76,129,13,0,0,0,0,0
Cd28,2729,772,847,231,315,234,850,184,801,375,956,542
Raph1,0,49,57,26,322,236,9,0,167,0,33,55
Carf,38,90,59,134,365,214,41,67,96,37,36,45
Wdr12,3183,926,557,689,466,1061,613,581,1580,132,1085,525
Nop58,1869,485,720,397,513,723,752,237,274,33,639,554
Sumo1,3733,731,800,638,408,867,524,382,1456,154,1044,624
Cdk15,6,119,20,75,100,133,6,131,0,70,29,41
Als2,0,180,392,219,407,336,11,39,45,8,321,10
Stradb,1738,2757,2059,475,321,371,4223,3827,3088,4552,5887,6853
Trak2,402,2374,3129,1115,632,893,4489,1973,1017,2336,5532,6042
Casp8,3389,424,643,597,259,415,68,579,0,0,970,79
Cflar,2223,1692,2012,1439,1011,2467,3301,2432,965,2194,5014,4135
Ndufb3,2561,426,830,726,343,826,323,404,955,314,740,235
Clk1,1020,107,0,134,292,272,19,0,0,169,333,35
Ppil3,496,60,0,212,173,118,2,50,0,0,183,28
Nif3l1,1415,184,19,174,187,532,147,11,453,171,429,1
Orc2,735,178,257,106,182,464,39,144,375,0,87,157
Sgo2a,0,1,42,29,22,37,0,0,0,36,0,12
Col5a2,0,0,0,65,150,88,0,0,0,0,3,0
Col3a1,0,0,0,45,155,67,0,0,0,0,0,0
Kdelc1,275,50,249,4,87,103,60,0,241,0,44,0
Ercc5,492,94,184,68,95,90,53,0,123,4,787,98
Tex30,165,75,58,55,48,81,67,12,171,100,140,93
Khdrbs2,0,0,0,70,175,152,0,0,0,0,0,0
Slc9a4,327,0,0,2,18,12,16,0,0,0,47,0
Il18rap,0,0,1,202,33,30,52,0,0,0,0,55
Il1rl1,629,38,0,126,140,42,39,0,0,0,39,9
Il18r1,72,0,0,38,111,25,0,0,0,0,0,0
Il1r1,0,0,261,2,140,100,1,0,0,0,0,44
Map4k4,6,189,173,382,309,650,357,934,114,602,583,640
Npas2,64,200,10,25,81,79,8,0,0,0,45,0
Pdcl3,2406,277,386,357,166,422,289,45,1137,493,972,150
Chst10,477,575,585,72,135,394,151,166,164,153,1200,314
Rev1,223,0,25,36,158,79,22,0,0,153,39,119
Eif5b,1176,180,24,240,255,452,132,295,347,147,186,173
Mrpl30,1177,985,422,945,342,1197,1316,1002,896,1131,1437,1429
Mitd1,56,0,96,7,74,112,0,88,126,0,132,0
Stk17b,936,224,214,289,266,409,199,248,1027,0,387,244
Asnsd1,267,433,254,142,99,185,434,269,428,208,461,406
Osgepl1,0,0,0,43,76,58,0,0,0,0,40,0
Ormdl1,996,74,206,139,47,257,134,3,0,0,147,133
Pms1,269,0,0,18,90,91,0,0,0,0,0,0
Inpp1,0,0,0,47,90,66,0,0,0,0,0,0
Gls,190,361,71,219,160,245,238,336,496,11,465,583
Stat1,143,1,118,25,124,118,2,1,56,3,67,0
Nabp1,1164,69,473,99,69,257,41,0,1008,0,58,0
Mgat4a,23,112,49,107,200,131,61,195,0,727,376,832
Unc50,1871,166,462,22,195,218,210,2,599,0,390,9
Coa5,5834,6843,7462,1875,1031,1657,12218,9222,6602,5181,15296,15121
Inpp4a,8,11,17,61,169,155,0,15,7,4,22,4
Tmem131,910,0,0,18,195,134,0,0,0,0,158,8
Sema4c,338,0,0,0,13,8,16,0,0,27,10,0
Plekhb2,8600,1933,2325,1447,608,1639,1381,1209,2009,1263,2426,2104
Ptpn18,507,232,294,185,140,217,287,127,461,188,303,353
Imp4,1664,445,233,267,548,657,92,64,405,144,531,417
Dst,21,144,614,1217,1137,1156,634,149,78,612,413,450
Prim2,397,200,487,116,307,162,56,107,274,0,69,284
Zfp142,836,0,0,53,183,197,0,0,0,323,11,0
Col19a1,0,0,0,29,178,213,0,0,13,0,0,0
Rhbdd1,2151,0,345,135,281,133,8,0,517,0,532,6
Mff,2479,431,332,438,434,937,704,413,1512,221,1116,571
Fam135a,910,13,0,8,105,42,22,0,0,0,365,0
Sdhaf4,346,58,219,73,43,105,27,28,325,0,78,67
Smap1,55,55,94,155,103,166,28,48,13,92,62,216
Ogfrl1,18,27,9,80,180,256,48,128,0,258,155,77
Agfg1,881,137,22,425,132,285,220,90,258,146,549,261
Nhej1,521,111,0,36,50,18,69,40,51,0,131,42
Cyp27a1,0,1,0,0,29,3,23,0,238,0,117,0
Rnf25,364,64,0,244,94,174,52,104,270,0,126,1
Bcs1l,274,0,49,272,106,240,39,10,154,0,4,0
Cnot9,699,208,289,460,305,564,743,250,1896,899,1180,859
Ctdsp1,8,314,403,111,43,238,438,355,457,180,335,418
Slc11a1,10145,362,983,584,513,1478,197,1126,3294,0,2313,236
Pnkd,720,197,538,277,215,469,166,43,590,39,443,47
Cxcr2,231,806,699,335,137,454,891,885,1063,765,588,920
Ppm1f,1446,133,986,352,212,467,464,259,333,743,677,768
Xrcc5,2151,108,0,103,144,208,12,0,358,14,212,0
Pecr,1040,64,71,39,65,137,18,0,323,151,127,15
Atic,565,248,352,193,195,368,230,80,536,258,261,526
Fn1,0,0,4,148,362,157,0,0,0,3,0,0
Bard1,0,0,0,7,32,53,1,0,0,0,0,50
Zfand2b,1052,239,107,183,145,257,104,150,354,183,269,110
Abcb6,11,0,0,6,6,5,0,4,6,8,3,2
Ankzf1,0,0,192,47,140,178,17,0,106,0,6,79
Glb1l,0,0,0,18,52,86,0,0,0,0,79,0
Stk16,618,608,712,404,129,199,703,373,628,637,1037,393
Dnajb2,0,207,226,49,36,80,48,0,84,1,22,48
Speg,2533,536,821,646,462,936,1370,531,1076,405,952,855
Des,212,0,0,6,40,91,0,0,0,0,148,0
Dnpep,1082,265,754,130,86,352,135,229,1780,1,670,219
Stk11ip,1195,253,331,238,275,511,135,606,269,408,1185,782
Trip12,3937,83,401,180,376,376,303,151,646,192,546,314
Sp100,73,0,173,289,208,306,0,119,0,0,365,30
Itm2c,5306,531,747,272,246,697,239,90,1516,557,675,50
Htr2b,0,0,0,0,1,7,0,0,0,0,25,0
Psmd1,3457,492,1242,446,462,1083,708,242,2055,106,1788,1464
Ncl,10202,4724,4805,13679,6623,14375,4383,3526,4805,1614,6356,3148
Ptma,6060,1019,2358,1420,628,2013,636,565,2467,549,1785,500
Pde6d,549,0,104,158,143,261,37,0,173,0,161,0
Cops7b,523,0,169,127,207,268,89,117,135,238,0,91
Farsb,3549,1542,2428,808,587,1480,1779,1218,1216,1334,3134,2323
Mrpl44,591,381,857,195,63,260,268,189,0,155,221,232
Serpine2,0,0,0,31,219,329,0,0,0,0,0,6
Eif4e2,1271,470,535,607,316,1211,389,388,605,45,1153,673
Efhd1,0,0,0,9,59,144,0,0,0,0,0,0
Ndufa10,5029,693,2079,666,522,1178,333,283,2127,15,1607,432
Rnpepl1,187,0,18,77,159,169,1,215,5,181,168,96
Capn10,462,55,461,44,138,199,128,0,0,1,330,158
Gpr35,0,309,14,29,165,109,128,0,0,0,21,15
Mterf4,534,0,123,24,50,115,39,104,0,197,235,61
Pask,0,0,0,3,143,86,0,0,1,0,23,0
Ppp1r7,1690,258,258,524,298,256,49,50,118,22,285,217
Stk25,1192,474,0,366,111,353,180,19,1104,0,486,473
Thap4,410,128,320,65,40,168,57,23,0,280,160,124
Atg4b,1580,485,401,193,275,584,318,445,421,772,535,757
Dtymk,876,504,1013,1133,435,1142,949,935,967,258,780,584
Ing5,94,610,251,265,171,307,999,516,959,826,803,761
Inpp5d,7911,297,818,306,345,537,81,333,659,1022,1196,2
Atg16l1,2300,37,363,39,298,348,107,356,649,0,1017,128
Mlph,0,133,0,55,143,92,0,0,0,0,6,0
Lrrfip1,1802,382,758,417,216,616,356,27,902,232,767,355
Scly,1197,129,88,126,194,229,32,73,398,0,85,29
Klhl30,0,0,0,1,17,77,19,0,268,0,127,52
Ilkap,1368,1744,1442,505,358,967,2540,1836,1191,1698,2040,2702
Asb1,521,977,996,150,73,635,1499,1062,171,1194,1757,1884
Hdac4,135,82,15,92,278,305,77,170,165,0,117,341
Serpinb8,228,270,249,83,87,173,0,24,476,0,394,42
Cln8,3396,293,1612,288,452,757,299,1023,883,194,884,432
Relch,1,0,0,91,226,241,42,38,0,1,17,11
Tnfrsf11a,406,203,103,184,346,229,141,211,200,10,331,318
Gin1,248,27,96,26,148,98,22,0,25,0,60,0
Pam,0,0,0,127,113,153,18,39,0,93,0,63
Ccdc93,810,652,332,648,224,558,873,1002,809,2303,1435,1566
Actr3,9494,1561,2375,864,892,1683,1474,790,2062,1423,3173,1757
Slc35f5,2439,786,837,325,244,555,346,0,704,42,761,219
Ccnt2,636,507,4,100,350,261,2,4,228,14,369,63
Ubxn4,3838,338,608,430,539,988,379,368,414,275,706,193
Mcm6,2737,1029,239,417,218,912,349,548,1959,1352,1057,616
Dars,5470,90,907,356,306,432,268,229,1127,474,1507,242
Rgs1,1764,152,207,221,131,240,122,263,408,61,391,114
Rgs2,1751,392,687,323,229,553,264,225,383,90,578,484
Cdc73,0,0,0,112,143,127,29,153,5,18,1,47
Cfh,0,0,0,28,87,41,0,0,0,0,0,0
Tsn,1663,1511,1457,1007,668,1650,2676,1782,2193,2370,2680,2096
Nifk,2557,675,878,587,201,489,293,536,1061,72,687,348
Tfcp2l1,0,13,0,76,128,105,0,0,0,0,0,4
Epb41l5,2330,627,880,101,404,674,1724,765,273,444,1156,1020
Ptpn4,108,0,113,31,108,282,26,115,7,1,48,150
Dbi,3074,718,1535,1671,687,1793,796,846,1775,453,1515,731
3110009E18Rik,0,0,0,6,29,29,0,35,65,0,35,0
Steap3,1143,184,359,5,93,128,11,0,5,38,234,20
Marco,4803,133,891,1390,578,1465,151,123,3281,0,2107,29
Nek7,1231,97,798,400,420,740,125,256,68,103,385,325
Ptprc,4687,568,216,159,561,516,304,296,2538,0,964,0
Ddx59,291,0,192,1,65,20,50,0,0,62,0,0
Pfkfb2,260,5,0,121,89,120,19,0,0,0,68,0
Tmem9,507,164,136,67,55,246,32,0,396,0,145,143
Tnnt2,0,0,0,106,161,135,0,0,39,0,0,46
Csrp1,1886,308,329,209,169,633,613,242,718,756,559,304
Srgap2,2023,444,110,246,114,350,116,0,601,17,144,11
Arl8a,1224,222,1055,325,219,649,237,186,503,96,583,382
Eif2d,889,655,659,518,288,460,453,369,532,333,354,645
Ube2t,690,0,0,60,170,140,17,53,462,0,49,0
Rassf5,1303,11,746,207,168,562,257,113,634,108,444,512
Rab29,275,87,351,251,155,254,303,145,337,304,356,269
Nucks1,422,500,636,234,392,352,878,594,322,288,992,1141
Elk4,208,1552,793,473,244,486,2406,1982,1549,2577,3794,4190
Cdk18,7428,1062,1408,788,645,679,566,342,1204,0,1323,55
Rbbp5,75,55,41,165,125,388,265,426,0,0,238,0
Pik3c2b,0,0,10,22,120,185,45,0,1,0,0,0
Chit1,319,0,0,0,2,14,0,0,0,0,0,0
Syt2,0,14,0,35,71,117,0,0,0,0,0,0
Klhl12,5,0,86,178,239,147,0,0,0,0,69,93
Cyb5r1,1287,199,125,134,190,361,75,188,1974,0,798,10
Adipor1,8217,3069,2503,2137,1147,3159,4389,2669,3662,3014,5657,4619
Ppfia4,0,0,57,0,42,89,86,110,7,166,293,113
Atp2b4,9,0,0,38,97,261,0,0,59,100,24,17
Tor1aip1,616,46,45,185,175,215,20,0,81,37,122,182
Lhx4,0,0,0,39,122,86,0,0,0,0,0,1
Xpr1,1091,0,24,94,301,379,129,1,482,0,93,115
Stx6,1232,85,511,236,292,317,325,201,871,196,970,475
Mr1,566,38,452,156,54,149,79,49,679,0,849,75
Glul,702,217,329,145,133,358,136,1,231,0,328,155
Lamc1,766,874,1023,63,317,484,132,0,103,0,137,0
Lamc2,315,0,0,185,142,191,0,0,0,0,185,10
Ncf2,7890,1402,2585,1159,867,2332,919,792,3558,524,1692,699
Rgl1,581,483,667,392,389,541,737,291,1077,16,853,573
Fam129a,0,0,0,63,151,152,0,0,0,0,0,0
Rnf2,1504,231,0,52,154,163,8,160,386,0,60,175
Coq8a,812,0,0,93,45,51,0,0,0,0,0,0
Cdc42bpa,0,0,0,38,142,100,0,0,0,0,0,0
Ahctf1,1778,10,597,94,331,343,25,19,715,0,265,20
Tfb2m,1061,149,133,158,144,171,138,138,482,0,202,159
Kif26b,0,0,0,6,37,48,0,0,0,7,140,301
Efcab2,115,0,0,130,101,164,42,0,59,4,95,39
Parp1,2465,210,544,404,211,716,2,414,555,96,614,216
Mixl1,0,0,0,6,66,9,0,0,0,0,0,0
Acbd3,1511,252,81,310,186,114,382,4,410,39,182,48
Desi2,378,583,147,236,226,375,483,706,671,574,714,748
Sdccag8,252,138,37,22,27,153,48,54,0,94,108,139
Capn2,653,594,224,59,108,448,232,340,0,627,397,280
Trp53bp2,519,0,0,34,98,54,0,0,0,0,6,0
Srp9,748,1233,1793,727,348,952,1531,1032,1498,887,1527,972
Nvl,1482,456,476,181,262,365,701,80,0,367,689,414
Tmem63a,18,121,0,21,41,158,8,65,217,340,156,1
Pycr2,1340,55,673,241,97,119,149,51,437,21,157,194
Opn3,0,0,0,0,2,33,0,0,0,0,1,0
Fh1,1967,587,495,391,297,899,413,184,706,340,942,433
Spta1,0,0,0,62,312,95,0,0,0,0,0,0
Ifi211,98,0,0,73,24,49,0,0,0,0,1,0
Dusp23,0,0,0,26,45,17,0,0,0,0,32,0
Tagln2,8340,813,1719,996,760,1548,338,422,3677,66,2062,279
Slamf9,288,0,0,30,32,54,8,0,0,0,71,89
Copa,10105,1117,1632,403,671,1272,355,1191,1156,0,3068,573
Dcaf8,2635,219,173,229,323,264,246,297,772,379,639,358
Vangl2,0,0,22,73,150,182,1,0,0,0,0,0
Uck2,2750,3047,4242,1851,923,2531,5416,3477,3005,3277,4285,4901
Tada1,142,0,67,43,52,84,73,180,7,0,178,123
Dusp27,0,0,0,0,28,36,0,0,0,0,0,5
Pou2f1,0,156,279,217,218,171,89,136,50,0,239,184
Mpzl1,2423,395,632,63,154,23,348,158,739,183,498,286
Adcy10,0,0,0,50,156,187,0,0,0,0,0,0
Mpc2,1085,154,489,296,175,313,164,119,615,130,135,106
Dcaf6,0,0,33,15,103,75,0,0,0,151,0,78
Nme7,476,108,6,51,262,367,52,206,572,3,204,174
Blzf1,517,0,462,236,251,731,207,92,628,0,217,56
Ccdc181,634,126,0,97,71,182,149,128,0,0,100,112
F5,0,0,0,45,155,108,0,0,0,0,9,0
Scyl3,1399,130,232,74,64,131,64,197,3,7,126,7
Kifap3,1001,157,139,13,71,59,9,7,95,88,383,58
Ralgps2,568,2,328,296,293,188,82,311,369,0,312,47
Abl2,0,478,827,282,158,287,1517,780,499,1188,1328,1686
Soat1,18303,4497,3733,1721,1207,2899,4836,3232,6778,3008,6950,4538
Axdnd1,0,0,4,57,187,149,0,0,0,0,0,0
Smyd2,572,363,585,245,81,258,462,203,108,251,440,281
Ptpn14,1598,2998,4158,1718,666,2047,4605,2881,1158,1778,4423,2742
Cenpf,92,531,415,499,232,375,709,868,526,540,605,799
Kctd3,793,0,35,34,139,158,221,22,0,13,702,184
Ush2a,0,0,0,135,290,170,0,0,0,0,0,0
Eprs,10226,3176,2463,1185,902,1467,1568,861,1442,636,2706,1124
Bpnt1,387,0,4,16,93,77,31,0,270,0,184,43
Iars2,2814,0,466,12,136,341,307,81,395,0,252,162
Nek2,0,157,768,385,210,314,585,376,764,1109,975,460
Lpgat1,72,187,349,146,149,188,862,516,253,30,310,1261
Ppp2r5a,397,535,396,173,169,481,628,895,259,287,357,1183
Tmem206,1916,482,290,315,137,279,127,180,1092,0,595,0
Atf3,4089,1239,1350,935,456,1170,645,1145,2663,453,2009,862
Batf3,0,91,0,17,22,84,93,19,92,36,37,33
Tatdn3,170,49,0,126,31,57,35,0,205,0,0,0
Angel2,1378,248,382,287,192,214,407,164,96,289,684,564
Traf5,0,0,131,0,37,119,0,0,0,0,68,0
Plxna2,43,0,0,25,64,159,0,0,0,0,334,0
Usf1,412,248,0,125,64,291,26,69,240,173,238,105
Nmt2,171,288,58,110,241,196,39,54,12,394,491,62
Suv39h2,90,0,0,55,23,36,25,19,11,0,48,177
Dclre1c,240,75,26,66,237,175,50,269,47,4,111,24
Cfap126,112,0,0,5,15,73,12,0,0,6,8,0
Fam107b,4768,589,774,235,300,380,341,466,1545,21,917,747
Fcgr2b,1960,351,1906,106,290,390,128,78,696,313,348,7
Frmd4a,0,22,0,179,473,511,181,44,0,0,219,45
Dusp12,74,23,6,75,54,55,35,106,109,54,204,75
Sephs1,806,372,197,231,275,319,399,138,567,288,801,504
Atf6,2400,122,930,79,334,690,78,136,240,46,760,508
Phyh,0,0,0,78,149,122,0,0,0,0,0,0
Uhmk1,818,1060,1520,182,354,876,3320,2220,2861,1392,3933,4960
Mcm10,515,0,0,113,215,281,48,0,0,0,199,151
Uap1,732,105,592,120,119,232,539,490,49,537,427,640
Optn,2048,179,0,9,92,329,52,0,34,282,237,146
Hsd17b7,0,0,7,13,85,102,12,0,402,0,0,0
Rgs5,0,0,0,51,134,103,0,0,0,0,0,0
Nuf2,0,13,201,67,131,205,73,63,1,0,173,11
Aldh9a1,2942,822,244,112,244,265,133,292,1754,18,289,65
Mgst3,2526,376,668,296,100,502,32,233,571,185,277,180
Mettl13,1064,160,0,200,212,302,22,0,0,536,336,174
Vamp4,2150,534,1111,577,356,766,422,333,1333,715,1484,1368
Pigc,460,178,157,199,119,227,210,145,2,201,82,126
Prdx6,6774,2859,4278,2441,1240,2700,3890,4077,6893,2892,6282,4500
Klhl20,934,29,400,47,183,133,101,0,1,2,147,0
Nsun6,0,0,253,0,64,45,4,0,289,0,34,30
Cenpl,0,0,0,173,131,201,46,2,407,0,47,92
Dars2,441,0,178,286,175,357,254,621,594,709,205,124
Mrc1,10552,1389,1870,169,663,1260,331,1205,1413,32,1700,356
Stam,223,25,409,48,159,242,99,42,81,0,186,80
Rabgap1l,0,0,0,15,241,228,0,0,0,0,0,0
Trdmt1,0,0,0,26,35,60,0,0,216,0,176,0
Cubn,0,16,4,184,342,292,0,0,0,0,0,0
Rsu1,2019,573,1076,185,349,427,183,174,1097,10,1161,49
Vim,39128,6479,12344,3841,2313,5975,4129,4321,14095,3363,8698,4367
Pter,875,76,623,106,92,199,84,76,256,0,186,0
Pip4k2a,445,422,208,178,83,79,290,58,124,60,479,644
Bmi1,206,242,260,16,36,174,175,13,32,33,422,80
Dnajc1,345,137,26,85,69,133,24,48,113,0,48,60
Mllt10,626,23,82,72,97,129,39,61,154,79,203,153
Nek6,3222,2050,594,540,455,806,1812,695,4416,1769,3356,2361
Psmb7,2019,430,482,680,287,972,220,126,1107,208,630,174
Ppp6c,2754,408,442,206,291,398,249,121,1358,150,666,331
Golga1,28,4,25,23,63,194,15,64,0,0,47,181
Arpc5l,1901,1098,869,701,409,1309,1247,581,1168,838,1530,1011
Orc4,2003,9,152,126,81,273,43,195,539,255,152,3
Kif5c,0,134,169,50,97,245,163,36,0,0,285,97
Mmadhc,2889,389,374,454,236,189,402,0,535,337,789,374
Mindy3,431,64,308,164,255,375,56,42,0,78,129,76
Spopl,230,239,0,62,147,302,34,0,0,78,112,182
Pfkfb3,1162,23,0,55,117,271,155,26,0,0,286,17
Yme1l1,1564,307,398,187,346,404,153,62,7,0,207,77
Mastl,0,0,4,86,68,21,0,0,0,0,125,0
Acbd5,717,202,30,122,329,325,135,0,258,0,568,0
Abi2,530,267,505,208,420,580,577,452,732,116,755,513
Pdss1,0,0,0,110,40,1,105,0,0,0,60,0
Pkn3,1473,94,0,263,62,19,94,0,486,0,43,102
Apbb1ip,332,18,214,58,240,273,35,23,298,151,115,9
Gad2,0,1,4,40,103,122,1,0,1,3,0,1
Zbtb43,0,360,207,1,70,157,711,150,563,586,1579,692
Odf2,0,95,0,116,162,393,162,10,68,0,634,286
Slc2a8,700,183,0,6,51,46,0,0,0,0,242,80
Lrsam1,199,0,415,78,93,163,69,161,0,92,313,56
Fam129b,3131,746,1011,455,514,505,359,253,741,112,755,481
Stxbp1,1035,176,447,104,226,485,108,8,160,258,367,153
Coq4,142,27,281,234,91,280,70,133,0,0,123,77
Med27,210,20,182,145,80,133,25,0,164,0,113,13
Ttf1,12,371,195,287,226,299,179,208,503,149,855,447
Ddx31,836,0,170,11,185,83,243,0,378,305,312,151
Ak8,276,84,0,3,40,91,0,99,1,0,65,48
Spaca9,867,76,343,241,147,215,110,0,349,0,253,86
Dpm2,551,319,339,675,233,288,269,555,799,1,313,381
St6galnac6,1355,6132,3570,2266,773,1324,6126,4972,6253,5053,8342,8306
Tsc1,715,790,680,590,590,603,1326,1223,241,1513,1513,662
Eng,0,0,0,33,85,171,19,0,0,0,8,17
Gfi1b,301,5,0,18,76,78,33,0,0,0,0,0
Gtf3c5,437,0,0,183,110,153,12,0,365,0,179,0
Ak1,0,0,0,8,88,118,0,0,0,0,0,14
Slc25a25,1635,0,0,81,150,361,130,14,0,189,31,1
Ptges2,734,238,264,393,230,378,267,13,205,355,379,234
Ralgds,486,122,0,83,108,236,73,0,0,0,154,0
Lcn2,7239,239,1612,1446,945,2560,230,0,4013,181,2223,129
Dnm1,256,11,0,14,31,26,0,0,0,0,9,0
Nr4a2,0,1,5,25,51,13,5,1,2,0,0,0
Gpd2,1201,0,567,310,325,255,189,53,449,0,477,200
Gbgt1,168,0,0,0,4,3,0,0,0,0,0,0
Cytip,898,51,40,164,151,175,46,83,991,0,125,183
Olfm1,4,181,637,41,22,220,593,212,610,56,295,311
Fcnb,0,66,4,0,27,62,0,101,0,0,0,0
Acvr1,0,0,0,1,43,71,0,0,0,0,0,0
Col5a1,114,0,137,8,96,95,0,4,161,0,37,0
Upp2,0,37,26,41,44,96,45,10,14,100,163,149
Abl1,738,196,0,112,100,248,65,894,0,62,577,57
Fubp3,1546,154,555,69,94,107,28,51,754,30,184,129
Tor1b,296,624,604,188,47,72,195,425,115,138,441,561
Tor1a,2242,196,36,253,137,166,185,83,727,109,454,222
BC005624,1188,388,421,361,217,620,197,71,1096,646,486,369
Crat,729,247,0,172,64,155,381,0,517,0,284,143
Usp20,0,554,205,106,142,178,18,0,236,0,192,201
Dolpp1,239,4,298,192,94,201,167,49,43,3,385,96
Ntmt1,612,57,0,201,119,218,82,243,101,50,355,9
Miga2,0,176,0,22,38,132,67,150,373,12,142,406
Sh3glb2,710,0,370,161,77,115,36,0,0,202,145,211
Hspa5,23704,4211,7808,1792,1607,4571,2016,1698,7777,2069,5723,1537
Kynu,0,49,0,0,20,20,0,0,0,0,24,0
Gapvd1,3908,520,932,212,564,1099,656,686,878,0,817,796
Psmd5,1807,327,707,717,423,1019,237,639,784,0,1007,656
Zeb2,2291,456,438,492,426,655,446,57,197,79,332,79
Traf1,313,0,0,341,307,643,36,0,431,0,48,0
Rab14,4925,563,2207,342,347,848,800,615,2331,345,2251,1275
Gsn,43654,4918,8378,2169,1646,5029,1663,1441,8969,1210,6196,1970
Stom,6349,126,431,451,373,783,217,35,1150,0,972,251
Dab2ip,21,228,557,81,76,188,726,384,641,295,859,628
Ttll11,0,0,0,2,29,61,0,0,0,0,2,0
Mrrf,514,326,869,203,319,470,393,82,151,144,383,88
Rbm18,1834,321,510,484,423,140,332,191,174,0,529,255
Morn5,96,0,0,0,11,2,0,0,0,0,0,0
Ndufa8,3154,567,907,1041,375,1024,312,583,1648,278,828,372
Psmd14,3505,171,452,306,254,417,297,213,960,37,663,140
Strbp,0,118,539,367,776,539,273,86,562,168,380,489
Wdr5,1258,1308,2803,509,224,536,2009,1052,1346,1831,2812,2379
Brd3,980,1473,1730,696,328,974,2946,1576,1886,1139,2136,1961
Egfl7,83,60,73,27,40,42,8,0,0,0,206,91
Agpat2,502,313,282,261,113,234,293,155,0,79,40,133
Notch1,0,1,0,73,189,231,0,0,0,0,1,12
