"","control_cells_1","control_cells_2","control_cells_3","LPS_cells_1","LPS_cells_2","LPS_cells_3"
"mmu-mir-17",162.278068272153,132.349119628818,138.555160341032,144.511857675208,149.650757398724,139.475022942484
"mmu-mir-18a",16.8886677387309,23.3557269933208,23.6358802934702,19.9326700241666,27.3555147933151,25.7284022903611
"mmu-mir-19a",147.592270238474,176.066249641957,195.60728518734,240.437832166509,218.844118346521,220.722609122571
"mmu-mir-20a",14.685798033679,11.9772958940107,9.78036425936699,17.4410862711457,6.43659171607413,10.8330114906783
"mmu-mir-19b-1",245.252827162439,297.635802966165,317.861838429427,402.390776112862,355.621692313096,353.426999883381
"mmu-mir-92a-1",582.291892035372,564.729501402603,590.897007336756,751.212501535777,786.873337290063,683.83385034907
"mmu-mir-30b",18.3572475420988,14.9716198675133,17.1156374538922,16.1952943946353,20.9189230772409,16.2495172360175
"mmu-mir-30d",34.5116253791457,38.3273468608342,31.7861838429427,27.407421283229,35.4012544384077,35.2072873447046
"mmu-mir-151",126.297863089639,144.925280317529,142.630312115769,122.08760389802,159.305644972835,151.662160869497
"mmu-mir-1249",12.4829283286272,15.5704846622139,13.040485679156,4.98316750604164,0,4.06237930900438
"mmu-let-7c-2",8110.96625400091,9705.20286291685,9217.17828409845,8208.52267432709,8476.99129006963,8071.9476869917
"mmu-let-7b",3346.89337187544,4101.02611410926,3749.95466311229,3082.08910248675,3318.06302963622,3006.16068866324
"mmu-mir-1291",99.8634266290172,159.298035390342,131.219887146507,151.98660893427,259.072816571984,162.495172360175
"mmu-mir-148b",13.2172182303111,11.3784310993101,16.300607098945,12.4579187651041,17.7006272192039,12.1871379270131
"mmu-mir-365-1",30.105885969042,39.5250764502352,43.1966088122042,14.9495025181249,24.137218935278,21.6660229813567
"mmu-mir-484",77.1004396768148,73.0615049534651,61.1272766210437,48.585883183906,43.4469940835004,39.269666653709
"mmu-mir-130b",432.496752091847,441.363353694293,476.792757644141,303.97321786854,325.047881661744,315.511459666007
"mmu-mir-301b",27.1687263623062,26.948915761524,35.0463052627317,19.9326700241666,19.3097751482224,33.8531609083698
"mmu-mir-1306",30.105885969042,28.1466453509251,31.7861838429427,7.47475125906246,25.7463668642965,29.7907815993654
"mmu-mir-185",94.7233973172296,85.6376656421763,95.3585515288282,67.2727613315621,53.1018816576116,59.5815631987309
"mmu-mir-28a",75.6318598734469,94.6206375626844,83.1330962046194,87.2054313557287,75.6299526638711,96.1429769797703
"mmu-mir-690",14.685798033679,30.5421045297272,22.820849938523,38.6195481718227,24.137218935278,14.8953907996827
"mmu-let-7c-1",8040.47442343925,9551.89347547352,9090.03354872667,8105.12194857673,8423.88940841202,7905.39013532252
"mmu-mir-125b-2",10.2800586235753,13.1750254834117,13.8555160341032,4.98316750604164,8.04573964509267,4.06237930900438
"mmu-mir-155",5.14002931178765,4.79091835760427,7.33527319452525,98.4175582443224,96.548875741112,77.1852068710832
"mmu-mir-692-1",357.599182120084,491.667996449138,312.971656299744,576.80163882432,490.790118350653,423.84157457279
"mmu-let-7e",4797.85021760293,5586.80966976128,5576.43768854908,5629.73348995054,5520.98654446259,5348.79942352243
"mmu-mir-877",111.61206505596,104.202474277893,107.584006853037,89.6970151087495,99.7671715991491,83.9558390527571
"mmu-mir-7b",66.0860911515555,46.7114539866416,57.0521248463075,198.080908365155,138.386721895594,173.328183850853
"mmu-mir-1949",923.736696318409,1933.13555729332,1226.62068419561,2464.17633173759,2330.04620121884,2845.0196427394
"mmu-mir-378a",287.107351558425,264.099374462935,275.48025997217,226.734121524895,308.956402371558,220.722609122571
"mmu-mir-194-2",8.07718891852345,4.19205356290374,2.44509106484175,2.49158375302082,4.8274437870556,8.12475861800876
"mmu-mir-192",4.4057394101037,4.19205356290374,4.8901821296835,9.96633501208328,6.43659171607413,2.70825287266958
"mmu-mir-5136",101.332006432385,161.094629774444,126.329705016824,114.612852638958,149.650757398724,127.28788501547
"mmu-mir-3084-1",624.146416431358,848.591414090656,740.86259264705,1021.54933873854,1245.48049706034,1056.21862034114
"mmu-mir-101b",30.105885969042,26.948915761524,21.1907892286285,33.6363806657811,20.9189230772409,43.3320459627134
"mmu-mir-107",74.8975699717629,52.700101933647,66.0174587507272,52.3232588134372,51.4927337285931,32.499034472035
"mmu-mir-5114",8.8114788202074,8.38410712580747,13.8555160341032,8.72054313557287,9.6548875741112,5.41650574533917
"mmu-mir-146b",210.00691188161,229.964081165005,237.17383328965,5102.76352618664,4487.91357403269,4752.98379153512
"mmu-mir-3084-2",622.67783662799,849.789143680058,741.677623001997,1022.79513061505,1248.69879291838,1054.8644939048
"mmu-mir-466m",8.07718891852345,10.1807015099091,11.4104249692615,13.7037106416145,0,6.77063218167396
"mmu-mir-466f-1",11.0143485252593,3.5931887682032,5.70521248463075,0,9.6548875741112,5.41650574533917
"mmu-mir-669f",89.5833680054419,68.2705865958609,70.9076408804107,41.1111319248435,56.3201775156487,41.9779195263786
"mmu-mir-669e",6.60860911515555,2.99432397350267,4.8901821296835,11.2121268885937,6.43659171607413,4.06237930900438
"mmu-mir-669b",15.420087935363,10.7795663046096,21.1907892286285,12.4579187651041,16.0914792901853,16.2495172360175
"mmu-mir-669d",13.9515081319951,16.1693494569144,18.7456981637867,22.4242537771874,24.137218935278,39.269666653709
"mmu-mir-466f-2",19.8258273454667,7.78524233110694,13.040485679156,9.96633501208328,14.4823313611668,14.8953907996827
"mmu-mir-669l",82.9747588902864,87.434260026278,80.6880051397777,142.020273922187,91.7214319540564,115.100747088457
"mmu-mir-669d-2",17.6229576404148,14.3727550728128,17.1156374538922,23.6700456536978,25.7463668642965,37.9155402173742
"mmu-mir-466f-3",21.2944071488346,14.3727550728128,13.8555160341032,26.1616294067186,41.8378461544819,33.8531609083698
"mmu-mir-297a-2",20.5601172471506,20.9602678145187,28.5260624231537,22.4242537771874,22.5280710062595,20.3118965450219
"mmu-mir-466o",23.4972768538864,17.3670790463155,13.040485679156,19.9326700241666,12.8731834321483,14.8953907996827
"mmu-mir-467c",37.4487849858815,42.5194004237379,34.2312749077845,51.0774669369268,37.0104023674263,41.9779195263786
"mmu-mir-466b-1",232.769898833812,186.246951151866,212.722922641232,247.912583425572,271.946000004132,186.869448214201
"mmu-mir-669a-3",65.3518012498716,61.683073854155,66.8324891056745,64.7811775785413,62.7567692317228,79.8934597437528
"mmu-mir-467a-1",138.780791418267,138.936632370524,157.300858504819,90.9428069852599,115.858650889334,113.746620652123
"mmu-mir-466b-8",265.078654507906,196.427652661775,211.907892286285,242.92941591953,262.291112430021,218.014356249902
"mmu-mir-669a-1",218.818390701817,164.088953747946,187.456981637867,130.808147033593,165.742236688909,129.99613788814
"mmu-mir-467a-2",137.312211614899,142.529821138727,149.965585310294,110.875477009426,94.9397278120935,109.684241343118
"mmu-mir-466e",276.827292934849,186.246951151866,212.722922641232,246.666791549061,210.798378701428,226.13911486791
"mmu-mir-669a-4",239.378507948968,163.490088953246,189.087042347762,135.791314539635,168.960532546946,165.203425232845
"mmu-mir-467b",59.4774820364,64.6773978276577,44.0116391671515,49.8316750604164,37.0104023674263,55.5191838897265
"mmu-mir-466c-1",395.782257007649,292.246019813861,379.804145405418,277.811588461821,299.301514797447,264.054655085285
"mmu-mir-669a-5",253.330016080963,159.896900185043,169.526313829028,148.249233304739,157.696497043816,174.682310287188
"mmu-mir-467a-3",154.20087935363,152.111657853936,145.890433535558,108.383893256406,104.594615386205,112.392494215788
"mmu-mir-466c-2",379.627879170602,307.217639681374,366.763659726262,251.649959055103,313.783846158614,246.451011412932
"mmu-mir-669a-6",243.784247359071,170.676466489652,185.826920927973,134.545522663124,165.742236688909,163.84929879651
"mmu-mir-467a-4",164.480937977205,148.518469085732,174.416495958711,109.629685132916,99.7671715991491,96.1429769797703
