"","control_Evs_1","control_Evs_2","control_Evs_3","LPS_Evs_1","LPS_Evs_2","LPS_Evs_3"
"Slc7a7",0,0,0,26.7511072310987,70.8805412554745,63.8402475382805
"Oxa1l",317.694570270706,223.56995320922,15.4178189434304,132.417980793939,184.289407264234,326.102886073919
"Heatr6",0,191.631388465046,0,119.042427178389,393.387003967883,260.53722644001
"Ccl3",2475.65013570466,482.627200578633,2454.85939399287,11218.0768173613,6109.9026562219,7170.81266943497
"Ilf2",671.861628971282,167.97319235825,450.542931346911,514.958814198651,816.898237969343,496.91868354121
"Chtop",647.226702575669,864.707067703384,395.724019548048,329.038618942514,528.060032353285,263.125344583453
"Snapin",733.288977905799,414.018431868926,1307.08842820416,354.452170812058,311.874381524088,460.685029532997
"S100a4",15.0369031245954,4.73163922135915,12.8481824528587,34.7764394004284,76.1965818496351,25.0184753866234
"S100a3",0,1.18290980533979,37.6880018617188,18.7257750617691,86.8286630379562,12.940590717219
"S100a6",933.567730161048,797.281208799017,1098.09132697099,843.997433141165,676.909168989781,945.525828404803
"Icam2",0,57.9625804616496,0,10.7004428924395,65.5645006613139,57.8013052035783
"Mapk7",136.29193044846,0,243.258921107458,4.01266608466481,67.3365141927007,16.3914149084774
"Epn2",319.61417492491,126.571349171357,0,8.02533216932962,56.7044330043796,8.62706047814601
"B9d1",34.5528837756659,0,0,45.4768822928678,19.4921488452555,2.5881181434438
"Sec24b",560.204624918436,8.28036863737851,364.03183616433,97.6415413935104,402.247071624818,351.984067508357
"N4bp3",0,18.9265568854366,0.856545496857246,0,14.1761082510949,131.131319267819
"Rmnd5b",173.724221205432,0,495.083297183488,143.118423686378,95.6887306948905,154.424382558814
"Nhp2",1432.02507203593,2453.35493627472,2079.69246636939,3398.72817371109,1782.64561257518,2194.72418564035
"Vps9d1",70.0655698784337,214.106674766501,0,100.31665211662,23.0361759080292,10.3524725737752
"Zfp276",66.2263605700264,185.716839438347,0,45.4768822928678,129.356987791241,11.2151786215898
"Mfsd10",247.948934501307,101.730243259222,311.782560856038,40.1266608466481,79.7406089124088,160.463324893516
"Luzp1",0,728.672440089309,157.604371421733,295.599734903641,301.242300335767,377.865248942795
"Kctd10",194.200004183604,670.709859627659,342.618198742898,258.148184780103,329.594516837956,271.752405061599
"Poldip2",1313.32951758434,1346.15135847668,1823.58536280908,510.946148113986,641.468898362044,714.32060759049
"Ift20",121.255027323865,360.787490628635,205.570919245739,266.173516949432,237.449813205839,253.635578057493
"Lgals9",1162.32061812032,431.762078949022,610.716939259216,1107.49583936749,680.453196052555,1106.85185934613
"Araf",235.791438358017,817.390675489793,1114.36569141128,419.99238352825,478.443653474453,567.660579462008
"Cfp",1401.63133167771,184.533929633007,743.48149127209,845.33498850272,558.184262386862,223.440866383982
"Uxt",61.1074148254833,118.290980533979,57.3885482894355,102.99176283973,111.636852477372,154.424382558814
"Cnnm3",0,204.643396323783,59.10163928315,112.354650370615,101.004771289051,72.4673080164265
"Lman2l",514.454047326582,561.882157536399,0,86.9410985010709,216.185650829197,242.420399435903
"Mcm3ap",113.896542816084,40.2189333815528,0,334.388840388734,542.23614060438,226.89169057524
"Pcnt",69.4257016603658,108.82770209126,25.6963649057174,100.31665211662,272.890083833577,203.598627284246
"Mxd1",122.854697869034,79.2549569577657,162.743644402877,139.105757601713,217.957664360584,210.500275666763
"Gmcl1",248.26886861034,1249.15275443882,797.443857574096,1150.29761093725,520.971978227737,645.304123765322
"Snrnp27",282.181884167939,190.448478659706,198.718555270881,397.253942381816,155.937190762044,108.70096202464
"Oas1c",0,0,0,189.932861340801,83.2846359751825,108.70096202464
"Ocrl",240.270515884492,14.1949176640774,13.7047279497159,141.780868324823,347.314652151825,143.209203937224
"Calm1",2916.1994038444,1812.21782178055,3264.29488852296,3033.5755600066,2101.60804822482,2901.2804388005
"Agpat3",272.263926787886,676.624408654358,473.669659762057,393.241276297151,474.899626411679,433.07843600293
"Slc26a3",0,0,0,132.417980793939,209.09759670365,106.975549929011
"Sema6b",0,53.2309412402904,0,41.464216208203,124.04094719708,127.680495076561
"Uhrf1",193.88007007457,641.137114494165,0,291.587068818976,572.360370637956,395.119369899087
"Dpp9",421.673155706738,0,632.987122177505,200.63330423324,115.180879540146,434.803848098559
"Gramd1a",288.260632239584,1255.06730346551,447.97329485634,272.861293757207,118.72490660292,186.344506327954
"Ckb",584.199683095982,481.444290773293,295.50819641575,239.422409718334,136.445041916788,125.955082980932
"Sp1",112.296872270914,256.691427758734,44.5403658365768,304.962622434526,660.961047207299,306.260646974183
"Itgb7",355.766729245746,225.935772819899,709.2196713978,386.553499489377,120.496920134307,140.62108579378
"Myg1",253.387814354884,149.046635472813,130.194915522301,168.531975555922,327.822503306569,314.887707452329
"Rarg",55.9884690809402,0,0,44.1393269313129,88.6006765693431,61.2521293948367
"Pfdn5",499.097210092953,1460.89360959464,1689.10771980249,1186.41160569923,655.645006613139,1056.81490857289
"Rrp15",157.4075816447,79.2549569577657,0,143.118423686378,108.092825414599,94.8976652596061
"Rnd2",0,94.632784427183,0,21.400885784879,65.5645006613139,75.0554261598703
"Srr",100.779244345692,33.121474549514,102.78545962287,44.1393269313129,35.4402706277372,16.3914149084774
"Acp5",489.1792527129,42.5847529922323,628.704394693219,557.760585768409,246.309880862774,349.395949364914
"Fbxo9",0,104.096062869901,184.157281824308,1.33755536155494,101.004771289051,152.698970463184
"Vps50",153.248438227259,289.812902308248,0,25.4135518695438,505.023856445256,190.658036567027
"Hars",481.82076820512,0,110.494369094585,537.697255345085,641.468898362044,623.736472569957
"Zmat2",152.608570009191,209.375035545142,336.622380264898,191.270416702356,290.610219147445,248.459341770605
"Ube2c",604.995400183188,308.739459193684,423.13347544748,430.69282642069,451.86345050365,261.399932487824
"Smg5",301.697864819009,235.399051262618,190.153100302309,215.346413210345,405.791098687591,386.492309420941
"Cct3",5172.05480664274,3745.09244370577,5814.23083266699,5804.99026914843,3439.4782644219,3852.84520954001
"Glmp",4968.57671329715,1701.02430007861,1846.71209122422,1982.25704582442,1982.8831416219,2540.669310814
"Mef2d",808.79342763781,498.00502804805,197.005464277167,430.69282642069,375.666868654015,457.234205341739
"Tmem79",0,1.18290980533979,0,2.67511072310987,70.8805412554745,13.8032967650336
"Snd1",1424.02671931008,1313.02988392716,2274.12829415599,472.157042628893,506.795869976643,936.898767926657
"Col18a1",0,27.2069255228151,0,152.481311217263,186.061420795621,116.465316454971
"Slc19a1",220.754535233421,134.851717808736,0,18.7257750617691,76.1965818496351,15.5287088606628
"Kpnb1",203.798027454622,2391.84362639705,1541.78189434304,777.119665063418,611.344668328467,613.383999996182
"Npepps",730.409570924494,233.033231651938,637.269849661791,176.557307725252,393.387003967883,245.871223627161
"Mrpl10",722.411218198645,401.006424010188,460.821477309198,181.907529171471,143.533096042336,191.520742614841
"Cyp51",222.034271669557,440.042447586401,594.442574818929,212.671302487235,193.149474921168,81.9570745423871
"Tcf25",1716.12656085808,5976.0603365766,3553.80726646071,1724.10886104431,1187.2490660292,1332.01813782574
"Tubb6",1056.42242803008,203.460486518443,517.353480101777,656.739682523474,494.391775256934,886.86181715341
"Def8",714.412865472797,475.529741746594,628.704394693219,716.929673793446,469.583585817518,584.9147004183
"Itga3",0,0,0.856545496857246,10.7004428924395,30.1242300335767,31.0574177213256
"Foxm1",293.379577984127,39.036023576213,0,129.742870070829,198.465515515329,148.385440224111
"Itfg2",65.9064264609924,0,5.13927298114348,90.9537645857357,308.330354461314,175.129327706364
"Nrip2",1.27973643613578,55.59676085097,40.2576383522906,69.5528788008567,99.2327577576643,51.7623628688761
"Tulp3",6.71861628971282,83.9865961791249,6.85236397485797,147.131089771043,416.423179875913,138.032967650336
"Gtf2h4",99.4995079095566,403.372243620867,144.756188968875,411.967051358921,256.941962051095,117.328022502786
"Tubb5",1901.36840998873,1501.11254297619,2131.08519618083,2311.29566476693,1605.4442594365,1885.0127144749
"Ell2",442.148938684911,254.325608148054,49.6796388177203,458.781489013343,343.770625089051,323.514767930476
"Jup",162.526527389244,1.18290980533979,103.642005119727,111.01709500906,258.713975582482,113.014492263713
"Nom1",99.8194420185905,503.919577074749,1.71309099371449,959.02719423489,552.868221792701,232.067926862128
"Ergic1",809.753229964912,300.459090556306,560.180754944639,500.245705221546,660.961047207299,512.447392401873
"Acap1",270.98419035175,0,67.6670942517224,2.67511072310987,99.2327577576643,56.9385991557637
"Ifrd1",718.252074781204,346.592572964558,455.682204328055,227.384411464339,579.448424763504,488.291623063064
"Stk38l",0.319934109033944,126.571349171357,117.346733069443,224.709300741229,276.43411089635,188.932624471398
"Brpf1",174.044155314466,333.58056510582,208.140555736311,88.2786538626258,233.905786143066,116.465316454971
"Akr1b3",1633.26362661828,997.192965901441,994.449321851263,979.090524658214,797.406089124088,1036.10996342534
"Hoxc6",0,18.9265568854366,2.56963649057174,9.36288753088456,44.3003382846715,22.4303572431796
"Gstt3",0.319934109033944,102.913153064561,0,30.7637733157635,67.3365141927007,81.9570745423871
"Ddt",11.197693816188,13.0120078587377,9.42200046542971,8.02533216932962,12.404094719708,15.5287088606628
"Marveld3",0,0,0,25.4135518695438,122.268933665693,131.131319267819
"Ddx18",277.702806641463,259.057247369413,609.860393762359,303.625067072971,202.009542578102,221.715454288353
"Ubl3",357.686333899949,590.271992864554,524.205844076635,858.710542118269,804.494143249635,800.59121237195
"Gramd3",80.3034613675199,0,0,5.35022144621975,60.2484600671533,18.9795330519212
"Eef1e1",209.876775526267,160.875733526211,53.9623663020065,432.030381782245,265.802029708029,256.223696200937
"Akt1",186.841519675823,654.149122352902,316.921833837181,1179.72382889145,774.369913216059,745.378025311816
"Il16",30.7136744672586,72.157498125727,0,153.818866578818,216.185650829197,25.0184753866234
"Tcirg1",3225.57568728022,758.245185222804,969.609502442403,1717.42108423654,1481.40331223942,1495.0695808627
"Naglu",1363.55917270267,197.545937491744,413.71147498205,283.561736649647,178.973366670073,472.762914202402
"Coasy",768.161795790499,215.289584571841,35.1183653711471,284.899292011202,198.465515515329,138.895673698151
"Smo",0.319934109033944,356.055851407276,224.414920176598,334.388840388734,216.185650829197,138.895673698151
"Crnkl1",311.935756308095,152.595364888833,196.148918780309,121.717537901499,180.74538020146,114.739904359342
"Rin2",305.85700823645,26.0240157174753,6.85236397485797,41.464216208203,258.713975582482,238.969575244645
"Chordc1",549.326865211282,92.2669648165034,325.487288805754,234.072188272114,306.558340929927,248.459341770605
"Rtcb",909.252737874469,709.745883203872,498.509479170917,415.979717443585,372.122841591241,474.488326298031
"Pwp1",1384.99475800794,1310.66406431648,1191.45478612843,718.267229155001,404.019085156204,217.40192404928
"Fbxo7",221.074469342455,170.339011968929,178.161463346307,168.531975555922,125.812960728467,199.285097045173
"Capns1",257.866891881359,101.730243259222,265.529104025746,109.679539647505,108.092825414599,195.834272853914
"Folr1",0,0,166.169826390306,2.67511072310987,83.2846359751825,69.0164838251681
"Clpb",554.125876846791,218.838313987861,20.5570919245739,444.068380036239,233.905786143066,209.637569618948
"X45176",390.959481239479,56.7796706563098,274.951104491176,872.086095733819,708.805412554745,298.496292543852
"Zdhhc4",441.509070466843,581.991624227175,276.66419548489,180.569973809916,347.314652151825,388.217721516571
"Rac1",477.981558896712,527.577773181545,742.624945775232,765.081666809424,877.146698036497,992.111954986791
"Nup214",119.975290887729,154.961184499512,0,437.380603228464,540.464127072993,615.109412091811
"Ltbp1",0,0,0,36.1139947619833,311.874381524088,68.1537777773535
"Ugp2",2087.88999555552,681.356047875717,1367.04661298416,580.499026914842,558.184262386862,686.714014060423
"Trmt1",454.3064348282,204.643396323783,1229.99933348701,351.777060088948,464.267545223358,640.990593526249
"Nacc1",196.439542946842,83.9865961791249,10.278545962287,73.5655448855215,26.5802029708029,103.524725737752
"Nfix",2.23953876323761,208.192125739803,120.772915056872,96.3039860319554,77.9685953810219,88.8587229249039
"Slc1a5",1083.29689318893,343.043843548538,187.583463811737,275.536404480317,552.868221792701,257.086402248751
"Uba1",1305.33116485849,463.700643693197,603.008029787501,347.764394004284,645.012925424818,847.177338953938
"Vwf",378.80198509619,0,0,226.046856102784,558.184262386862,274.340523205043
