"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","LPS.Evs_1","LPS.Evs_2","LPS.Evs_3"
"Irf9","Irf9",554,162,257,218,108,302
"Gmpr2","Gmpr2",162,0,163,50,178,147
"Mdp1","Mdp1",259,0,0,5,28,56
"Dhrs1","Dhrs1",1373,62,128,269,68,183
"Tmem161a","Tmem161a",984,243,1061,322,144,195
"Armc6","Armc6",0,122,0,5,72,124
"Borcs8","Borcs8",518,0,98,129,84,189
"Slc25a42","Slc25a42",0,0,150,52,24,81
"Snx9","Snx9",1763,176,166,80,156,252
"Ranbp3","Ranbp3",1239,183,596,352,336,452
"Ndufa11","Ndufa11",1020,306,435,419,191,578
"Nr2f6","Nr2f6",95,35,11,76,14,36
"Use1","Use1",1656,760,814,874,282,690
"Ocel1","Ocel1",0,208,89,101,60,208
"Dyrk1b","Dyrk1b",132,90,154,4,17,19
"Braf","Braf",324,187,22,154,316,306
"Ndufb2","Ndufb2",86,48,17,117,205,239
"Hltf","Hltf",542,92,1,32,28,115
"Prpf6","Prpf6",3290,0,192,548,355,211
"Rgs19","Rgs19",965,298,273,500,92,443
"Rgs20","Rgs20",127,0,0,23,22,35
"Snrpd1","Snrpd1",828,184,486,334,180,283
"Tchp","Tchp",0,28,64,23,108,159
"Tiam1","Tiam1",0,0,0,97,138,121
"Tsc2","Tsc2",1332,0,566,228,123,84
"Rpl3l","Rpl3l",68,0,21,29,28,32
"Puf60","Puf60",2594,333,1,784,214,522
"Golga2","Golga2",128,68,0,18,115,176
"Uck1","Uck1",820,360,435,170,101,706
"Mien1","Mien1",254,57,109,72,55,111
"Axl","Axl",0,0,0,19,48,37
"Tgfb1","Tgfb1",1355,313,95,222,72,369
"Ccdc97","Ccdc97",644,136,165,0,33,204
"Zfp40","Zfp40",0,0,0,0,11,1
"Akap8l","Akap8l",251,0,100,30,122,312
"Pdcd2l","Pdcd2l",937,162,440,118,156,204
"Gtf2f1","Gtf2f1",3147,197,9,485,177,492
"Clpp","Clpp",1409,189,463,679,272,866
"Alkbh7","Alkbh7",512,47,127,26,85,254
"Dennd1c","Dennd1c",367,0,0,105,80,240
"Med6","Med6",313,213,187,80,158,192
"Lcp2","Lcp2",2287,243,676,608,279,555
"Cse1l","Cse1l",2556,182,617,294,386,510
"Naa20","Naa20",2412,335,490,509,356,537
"Prkra","Prkra",878,123,71,103,51,121
"Fkbp7","Fkbp7",0,0,87,0,78,41
"Plekha3","Plekha3",84,94,197,321,252,339
"Ykt6","Ykt6",862,334,870,467,202,622
"Baz1b","Baz1b",752,306,2,318,355,369
"Pex6","Pex6",220,0,0,36,71,57
"Mrpl2","Mrpl2",2306,452,905,393,228,805
"Mea1","Mea1",1949,489,388,610,140,507
"Kdelr1","Kdelr1",722,6,67,45,41,126
"Tmem143","Tmem143",0,0,9,6,115,75
"Pdxk.ps","Pdxk-ps",0,0,0,44,102,84
"Ggct","Ggct",114,26,121,110,66,79
"Jag2","Jag2",4,240,96,153,126,236
"Btbd6","Btbd6",268,0,437,51,50,85
"Nudt14","Nudt14",1341,398,423,165,133,267
"Flii","Flii",1657,421,499,151,135,391
"Top3a","Top3a",0,0,0,190,136,79
"Atg4d","Atg4d",0,927,1166,537,281,324
"Qtrt1","Qtrt1",199,56,0,417,93,235
"Hdgfl2","Hdgfl2",811,505,510,339,131,314
"Chaf1a","Chaf1a",630,346,549,231,207,444
"Adprh","Adprh",1474,56,124,153,104,385
"Tmem39a","Tmem39a",0,0,4,35,40,25
"Timmdc1","Timmdc1",30,48,0,84,50,77
"Pla1a","Pla1a",987,10,0,156,66,144
"Mcm2","Mcm2",1807,184,1,460,187,74
"Tpra1","Tpra1",3213,464,0,132,217,302
"Nab1","Nab1",239,150,346,423,139,258
"Adgre5","Adgre5",0,0,0,3,25,42
"Il17ra","Il17ra",796,128,5,16,16,217
"Lamb1","Lamb1",0,0,0,75,113,131
"Kcnn1","Kcnn1",0,0,0,9,42,28
"Arrdc2","Arrdc2",104,0,6,39,56,21
"Cd36","Cd36",0,0,0,9,93,116
"Map2k7","Map2k7",583,139,7,636,226,339
"Timm44","Timm44",2380,94,403,213,145,535
"Ap2a2","Ap2a2",3165,2233,1479,546,439,591
"Pnkp","Pnkp",1563,343,0,200,110,195
"Med25","Med25",839,171,78,209,276,381
"Bcam","Bcam",0,0,0,2,26,19
"Clptm1","Clptm1",3031,292,358,107,135,385
"Relb","Relb",495,91,243,572,193,136
"Tomm40","Tomm40",2860,403,1273,593,471,589
"Apoe","Apoe",280409,65484,70796,21891,10408,80272
"Hbp1","Hbp1",1966,777,609,250,163,420
"Prkar2b","Prkar2b",2399,179,14,78,174,146
"Cdkn1b","Cdkn1b",7,0,4,0,17,42
"Klf4","Klf4",43,40,4,0,6,10
"Ap1m1","Ap1m1",1949,550,469,222,98,484
"Rab8a","Rab8a",3815,684,1280,600,388,1141
"Hmgn2","Hmgn2",1683,715,763,727,309,803
"Fam32a","Fam32a",3466,1207,3027,1382,503,1082
"Stard3nl","Stard3nl",275,174,850,110,104,143
"Stk11","Stk11",0,313,194,38,24,219
"Efna2","Efna2",0,0,0,0,6,14
"Atp5d","Atp5d",5206,1374,2044,1183,716,1604
"Ppp5c","Ppp5c",1059,244,94,232,192,239
"Cdk12","Cdk12",101,0,0,43,204,195
"Lipe","Lipe",0,0,0,18,91,29
"Pafah1b2","Pafah1b2",3032,839,648,1031,256,608
"Tbc1d8","Tbc1d8",0,34,0,29,53,26
"Cnot11","Cnot11",511,17,172,112,104,189
"Slc2a3","Slc2a3",0,15,7,26,153,197
"Foxj2","Foxj2",577,0,0,18,88,24
"Sri","Sri",1312,591,427,545,421,771
"Dgcr2","Dgcr2",816,0,10,53,62,281
"Irf3","Irf3",629,0,166,33,96,47
"Bcl2l12","Bcl2l12",76,0,17,6,17,1
"Zfp959","Zfp959",0,0,0,0,20,1
"Mpnd","Mpnd",2431,312,937,282,193,511
"Sh3gl1","Sh3gl1",1072,0,195,133,49,246
"Ebi3","Ebi3",65,0,0,67,45,38
"Yju2","Yju2",346,0,0,141,172,229
"Ranbp2","Ranbp2",2075,139,183,110,216,128
"Grk5","Grk5",724,0,0,46,20,24
"Dvl3","Dvl3",139,0,0,10,83,221
"Abcf3","Abcf3",1567,0,587,73,251,576
