"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","LPS.Evs_1","LPS.Evs_2","LPS.Evs_3"
"Lrp8os3","Lrp8os3",0,0,0,5,36,12
"Gm15261","Gm15261",69,0,0,14,129,23
"X1700073E17Rik","1700073E17Rik",0,0,0,56,44,53
"Gm13147","Gm13147",0,0,0,23,160,85
"X2810408I11Rik","2810408I11Rik",34,0,37,23,62,78
"BC037032","BC037032",0,0,0,24,193,112
"E030042O20Rik","E030042O20Rik",0,0,0,31,16,4
"E230016M11Rik","E230016M11Rik",0,0,0,2,70,47
"Kif28","Kif28",0,0,0,21,106,118
"Gm16062","Gm16062",0,0,0,10,24,32
"X2610035D17Rik","2610035D17Rik",271,1,0,1,6,3
"Lamtor5","Lamtor5",3320,705,948,1335,643,1357
"Gm15991","Gm15991",0,0,0,19,155,71
"D330023K18Rik","D330023K18Rik",46,0,67,74,119,130
"Gm13203","Gm13203",71,0,0,17,6,57
"X1810021B22Rik","1810021B22Rik",0,0,0,8,16,13
"C430049B03Rik","C430049B03Rik",0,12,0,0,7,1
"Junos","Junos",2,24,106,71,142,29
"Tmem170b","Tmem170b",0,483,456,153,223,120
"X2210408F21Rik","2210408F21Rik",32,18,114,92,48,70
"Gm7598","Gm7598",56,0,56,17,148,112
"Gm12705","Gm12705",0,54,1,59,4,46
"X4933407K13Rik","4933407K13Rik",0,0,0,1,98,29
"Kantr","Kantr",0,10,6,47,79,21
"Gm15501","Gm15501",45,50,34,34,33,23
"X5730405O15Rik","5730405O15Rik",11,0,10,29,58,10
"Gm14167","Gm14167",0,0,0,9,1,7
"Rab11fip4os1","Rab11fip4os1",0,1,0,0,11,55
"Gm5475","Gm5475",0,0,0,76,148,136
"Gm13822","Gm13822",0,44,21,351,185,434
"X2900089D17Rik","2900089D17Rik",10,0,11,27,6,11
"X2810001G20Rik","2810001G20Rik",0,48,87,61,38,130
"X9830144P21Rik","9830144P21Rik",0,0,0,42,98,37
"Gm16576","Gm16576",0,0,0,4,44,14
"Platr27","Platr27",0,117,144,178,50,209
"C030037D09Rik","C030037D09Rik",0,0,0,9,56,91
"Gm12976","Gm12976",5,44,40,21,19,101
"Hectd2os","Hectd2os",95,0,96,1,46,58
"Epb41l4aos","Epb41l4aos",36,41,78,43,15,79
"Gm16174","Gm16174",82,0,0,12,6,3
"Zfp111","Zfp111",0,9,0,6,104,171
"Gm15050","Gm15050",0,8,0,34,4,10
"Tmem250.ps","Tmem250-ps",268,310,259,200,177,665
"Pet100","Pet100",376,124,132,193,97,269
"Gm13493","Gm13493",92,12,26,7,1,24
"Gm24187","Gm24187",23,8,16,72,47,101
"Gm22431","Gm22431",20,131,86,75,16,100
"Mir1931","Mir1931",9,43,41,17,14,24
"Gm2245","Gm2245",0,0,0,38,193,136
"Fcor","Fcor",190,69,115,47,56,59
"Tnfsf13","Tnfsf13",123,8,24,4,12,7
"Bcl2l2","Bcl2l2",42,394,1169,273,122,186
"Gm15946","Gm15946",0,0,0,10,156,174
"B230216N24Rik","B230216N24Rik",0,5,0,49,301,197
"Cbx6","Cbx6",279,431,427,265,200,349
"Gm16146","Gm16146",0,19,0,0,1,0
"Ier5l","Ier5l",196,0,0,4,9,17
"Gm16580","Gm16580",11,10,9,76,62,66
"Slc5a3","Slc5a3",0,0,17,83,165,40
"Gm3531","Gm3531",40,14,37,18,35,75
"X1700028K03Rik","1700028K03Rik",0,0,0,42,109,109
"Rasgef1b","Rasgef1b",1076,743,167,205,333,428
"Gm16536","Gm16536",3,0,0,0,9,0
"Rbm12","Rbm12",492,0,6,106,138,154
"Shkbp1","Shkbp1",840,0,0,113,91,173
"A530032D15Rik","A530032D15Rik",7,59,0,3,60,58
"Timm10b","Timm10b",93,13,22,40,62,49
"Umad1","Umad1",197,50,0,6,24,36
"Rps6kc1","Rps6kc1",50,115,449,57,91,55
"Etohd2","Etohd2",65,0,113,67,94,87
"X0610040B10Rik","0610040B10Rik",0,0,91,45,188,65
"Mfsd14a","Mfsd14a",126,66,266,51,151,90
"Uckl1","Uckl1",1002,137,155,63,60,394
"Bcl2a1b","Bcl2a1b",12,1,27,60,27,44
"Gm4117","Gm4117",0,0,41,146,627,351
"Pira2","Pira2",489,0,1,29,16,35
"Gm16137","Gm16137",0,0,0,74,89,110
"X2010320O07Rik","2010320O07Rik",76,66,0,33,7,6
"Ier3ip1","Ier3ip1",100,991,832,302,128,266
"Galnt4","Galnt4",0,88,0,0,57,10
"Nwd2","Nwd2",0,0,0,26,132,168
"Rnf8","Rnf8",35,0,62,154,230,243
"Gm14399","Gm14399",0,0,0,1,44,58
"Ttbk2","Ttbk2",467,26,2,3,74,142
"Cmc4","Cmc4",41,17,0,5,5,11
"Shprh","Shprh",460,277,0,182,239,290
"Usp49","Usp49",0,0,4,30,38,28
"Ugt1a7c","Ugt1a7c",916,37,587,122,100,105
"Pou3f1","Pou3f1",3,10,0,19,36,35
"Gm10177","Gm10177",17,8,2,2,19,9
"Uba52","Uba52",44,13,23,25,14,28
"Ugt1a6b","Ugt1a6b",0,0,0,5,14,19
"Acad11","Acad11",192,143,11,35,180,155
"Fbxw10","Fbxw10",0,0,1,13,56,3
"Cd200r2","Cd200r2",301,110,0,0,0,6
"Gm16556","Gm16556",61,0,0,2,20,27
"Gm16029","Gm16029",0,0,0,49,110,91
"Tmem189","Tmem189",4281,3268,3827,1754,1002,1757
"Gm16315","Gm16315",0,0,0,0,7,18
"Cfb","Cfb",9,0,0,9,9,0
"Gm16103","Gm16103",4,0,0,46,115,123
"Churc1","Churc1",167,195,296,186,110,246
"Mettl23","Mettl23",206,265,96,101,36,223
"Mndal","Mndal",1,0,0,14,102,35
"Tarbp1","Tarbp1",0,116,23,138,65,136
"Lrrc10b","Lrrc10b",68,0,0,0,1,31
"X4930523C07Rik","4930523C07Rik",0,0,0,85,175,152
"Gm38399","Gm38399",4,0,0,0,4,23
"Rps11.ps1","Rps11-ps1",4,6,8,20,35,56
"Gypc","Gypc",572,101,0,31,12,16
"Snrpe","Snrpe",724,645,939,600,357,914
"A430057M04Rik","A430057M04Rik",0,0,0,13,39,55
"Gm3571","Gm3571",13,12,1,9,89,98
"Tex9","Tex9",2,0,0,63,199,159
"Zfp712","Zfp712",0,0,1,8,37,10
"Zfp493","Zfp493",0,0,0,0,18,14
"Gm340","Gm340",0,99,54,4,14,0
"Olfr111","Olfr111",0,0,39,219,45,6
"Apold1","Apold1",0,79,175,0,59,78
"Rps27","Rps27",5590,7083,8477,5179,1861,5337
"Gm17201","Gm17201",0,31,59,15,3,26
"Klhl33","Klhl33",225,227,74,15,68,129
"Myl6","Myl6",5463,1359,1754,911,599,1409
"Rps13","Rps13",4123,2683,3065,1686,707,2070
"Hspa1b","Hspa1b",0,0,0,1,0,1
"Olfr110","Olfr110",0,0,0,9,9,47
"Synj2bp","Synj2bp",330,56,1,271,135,294
"Ccdc71l","Ccdc71l",140,164,150,191,90,195
"Gm17251","Gm17251",0,6,6,19,15,32
"Gm10722","Gm10722",0,0,3,41,214,107
"X9330020H09Rik","9330020H09Rik",4,6,1,18,26,50
"Siglec15","Siglec15",0,0,0,26,22,46
"Rpl6l","Rpl6l",14,15,15,10,47,20
"Phf11c","Phf11c",0,0,0,15,59,45
"Gm5141","Gm5141",0,0,0,0,19,2
"Gm6970","Gm6970",170,0,0,0,24,41
"Vmn2r76","Vmn2r76",0,0,0,1,133,148
"Smim13","Smim13",763,278,1116,250,313,415
"Gm6682","Gm6682",7,0,56,13,114,131
"X1700112D23Rik","1700112D23Rik",35,17,40,0,9,19
"Eid1","Eid1",361,692,388,300,91,305
"Col6a5","Col6a5",0,0,0,16,117,122
"Hist2h4","Hist2h4",187,3,22,9,20,13
"Gm4202","Gm4202",76,5,6,2,2,22
"Gm10269","Gm10269",37,21,37,27,43,96
"X2610021A01Rik","2610021A01Rik",0,0,0,45,15,111
"Gm10039","Gm10039",104,31,38,72,48,85
"Mpc1.ps","Mpc1-ps",483,77,118,109,66,151
"Lamtor3","Lamtor3",3445,441,813,498,277,968
"Gm9268","Gm9268",1,40,46,55,22,46
"Tma7","Tma7",1802,1406,1343,1417,574,1393
"Gm6548","Gm6548",4,2,1,65,13,58
"Gm6665","Gm6665",38,10,7,3,4,21
"X2010016I18Rik","2010016I18Rik",0,0,0,17,65,41
"Gm6211","Gm6211",0,0,0,113,76,132
"Cyp4f17","Cyp4f17",0,0,0,9,89,160
"Gm17657","Gm17657",102,497,581,391,119,371
"Lsm5","Lsm5",183,97,70,66,52,109
"Phf11b","Phf11b",298,91,204,184,111,421
"Zfp964","Zfp964",0,0,0,33,38,13
"Cox16","Cox16",59,19,21,29,8,31
"Inafm1","Inafm1",336,727,632,141,66,238
"Gm4707","Gm4707",0,0,0,62,220,221
"Ube2d2a","Ube2d2a",467,130,179,180,234,347
"Gm4353","Gm4353",5,19,13,35,84,120
"Gm6395","Gm6395",14,1,2,2,8,13
"Gon7","Gon7",88,14,3,8,79,108
"Gm17709","Gm17709",0,3,6,13,66,55
"Rps2.ps10","Rps2-ps10",17,22,30,22,18,20
"Hspa1a","Hspa1a",0,0,0,1,8,22
"Gm17354","Gm17354",0,5,0,71,113,43
"B930036N10Rik","B930036N10Rik",13,38,40,24,20,77
"E130317F20Rik","E130317F20Rik",287,0,0,66,13,15
"BC049352","BC049352",102,0,0,8,26,12
"Peg10","Peg10",0,30,0,16,21,21
"Bend4","Bend4",280,849,969,266,160,298
"Dynlt1a","Dynlt1a",296,0,92,108,85,192
"Vmn2r113","Vmn2r113",0,0,0,81,88,140
"Fancf","Fancf",0,48,0,0,4,13
"X4833427F10Rik","4833427F10Rik",156,0,0,1,9,27
"Stk19.ps1","Stk19-ps1",0,10,7,59,36,10
"X1110038B12Rik","1110038B12Rik",426,171,308,96,159,295
"Zfp963","Zfp963",0,4,77,0,1,1
"Neat1","Neat1",1437,162,449,610,556,717
"Gm19684","Gm19684",36,0,0,27,30,66
"Hmgb1.ps7","Hmgb1-ps7",30,0,0,16,31,10
"Zfp419","Zfp419",35,0,0,0,27,15
"Malat1","Malat1",6680,1114,2312,570,388,1211
"C130080G10Rik","C130080G10Rik",0,0,0,47,82,148
"Zfp141","Zfp141",0,0,0,37,46,52
"Gpank1","Gpank1",256,55,94,100,40,83
"Med20","Med20",23,165,161,289,182,307
"Gm20442","Gm20442",0,1,1,1,3,10
"Scnm1","Scnm1",1145,246,374,447,325,600
"Gm3654","Gm3654",0,61,0,44,10,10
"Mir3473a","Mir3473a",157,1203,1205,874,261,876
"Gm18588","Gm18588",51,0,0,1,4,18
"X6330562C20Rik","6330562C20Rik",19,1,4,5,46,47
"Gm20682","Gm20682",0,0,0,31,127,188
"Gm20632","Gm20632",16,0,0,2,28,6
"Gm20707","Gm20707",4,0,0,6,13,23
"A730085K08Rik","A730085K08Rik",0,0,0,1,6,10
"Gm20703","Gm20703",152,11,0,1,9,32
"Eif4e3","Eif4e3",25,13,16,25,2,55
"Rpl41","Rpl41",9349,6123,7297,4671,1834,5142
"Gm20712","Gm20712",9,21,19,0,21,4
"Gm20658","Gm20658",67,0,0,42,44,50
"Gm8355","Gm8355",33,8,6,6,18,13
"Ppp2r3d","Ppp2r3d",690,147,170,170,92,179
"Gm19967","Gm19967",174,0,0,0,46,31
"Tomm20","Tomm20",4448,4202,4968,2478,1124,2916
"Hmgcs1","Hmgcs1",1007,301,461,250,130,119
"Olfr237.ps1","Olfr237-ps1",0,0,0,58,172,196
"Hist1h2ao","Hist1h2ao",87,77,87,119,35,106
"Mir692.2","Mir692-2",44,48,73,35,12,45
"Zfp955a","Zfp955a",0,0,0,65,7,236
"Purb","Purb",433,773,630,297,163,293
"Gm21399","Gm21399",103,7,35,44,65,75
"Rpl35a.ps6","Rpl35a-ps6",27,21,27,6,2,11
"Gm5900","Gm5900",44,0,5,5,3,13
"Zfp131","Zfp131",159,819,859,795,339,614
"Rbm4","Rbm4",18,0,0,0,12,0
"Gm3699","Gm3699",16,12,15,10,12,18
"Rpl9.ps4","Rpl9-ps4",8,27,24,21,46,43
"Sirpb1b","Sirpb1b",116,0,0,0,11,11
"AC149090.1","AC149090.1",590,205,532,892,1461,1806
"Ccdc85b","Ccdc85b",217,24,0,131,95,112
"Edaradd","Edaradd",1,26,0,91,73,45
"Itpripl2","Itpripl2",110,29,29,101,59,19
"Gm21781","Gm21781",38,332,192,169,133,221
"Mid1.ps1","Mid1-ps1",0,2,0,31,87,92
"Rhox5","Rhox5",20958,3276,4018,3949,2239,5770
"Gm20939","Gm20939",46,0,0,21,109,195
"Zfp799","Zfp799",0,0,330,0,22,32
"Gm21738","Gm21738",0,3,39,407,1787,808
"Zfp870","Zfp870",0,0,198,8,53,27
"Gm14325","Gm14325",154,20,38,65,55,55
"Gm21092","Gm21092",0,0,11,0,17,7
"Rps2.ps6","Rps2-ps6",2,4,6,4,6,10
"Zfp748","Zfp748",82,19,3,19,16,14
"Gm9824","Gm9824",16,28,3,29,24,55
"Noc2l","Noc2l",1830,803,2167,687,316,1050
"Gm12350","Gm12350",19,0,4,3,7,15
"Gm6472","Gm6472",76,64,73,44,27,49
"Dynlt1f","Dynlt1f",407,62,0,69,34,101
"Rab11b.ps2","Rab11b-ps2",13,0,1,1,0,1
"CAAA01147332.1","CAAA01147332.1",110,35,65,25,14,24
"Sirpb1a","Sirpb1a",0,0,0,17,1,0
"Nupr1l","Nupr1l",0,0,0,16,40,30
"Gm5451","Gm5451",8,6,8,6,26,28
"Ighv1.58","Ighv1-58",67,0,17,41,4,4
"Gm10717","Gm10717",0,0,5,41,144,44
"Nim1k","Nim1k",0,0,99,109,106,143
"Vmn1r49","Vmn1r49",0,0,0,74,66,119
"Zfp97","Zfp97",140,0,87,0,4,0
"Gm21596","Gm21596",44,2,6,12,31,16
"Syne1","Syne1",1198,442,0,284,874,684
"Dnah7a","Dnah7a",0,0,1,18,126,149
"Vkorc1","Vkorc1",15,10,5,23,5,8
"Cmtm4","Cmtm4",833,2801,3308,655,280,1095
"Ptrhd1","Ptrhd1",121,61,139,99,34,122
"H1f0","H1f0",3129,524,722,406,210,719
"X1500002C15Rik","1500002C15Rik",0,1,0,12,13,0
"Dynlt1b","Dynlt1b",289,44,106,117,52,134
"Gm21811","Gm21811",1,2,14,12,23,48
"Gm9825","Gm9825",12,0,0,0,15,17
"Zfp994","Zfp994",0,0,0,12,56,19
"Vmn2r.ps20","Vmn2r-ps20",0,0,0,15,126,86
"Cdkn2d","Cdkn2d",331,0,125,107,50,83
"Olfr787","Olfr787",0,0,4,31,132,154
"Gm4617","Gm4617",28,12,20,10,16,11
"Gm5559","Gm5559",24,6,6,7,2,7
"Mfsd4b4","Mfsd4b4",0,0,0,0,14,1
"Zfp960","Zfp960",0,0,0,0,0,4
"Psmb9","Psmb9",1159,201,509,221,171,303
"Lbhd1","Lbhd1",0,0,0,19,110,107
"Ftl1.ps2","Ftl1-ps2",35,67,69,47,43,18
"Gm47283","Gm47283",24,5,8,28,26,34
"Tmem181b.ps","Tmem181b-ps",26,9,11,93,127,148
"Gm10736","Gm10736",1167,664,994,637,189,572
"Zfp955b","Zfp955b",376,0,0,1,29,62
"Zfp850","Zfp850",0,42,239,1,36,9
"X2500002B13Rik","2500002B13Rik",32,5,24,272,186,349
"A330023F24Rik","A330023F24Rik",0,0,0,58,198,212
"Rps19.ps6","Rps19-ps6",172,156,252,157,91,153
"Gm9530","Gm9530",0,59,48,18,33,2
"Gdap10","Gdap10",0,0,0,57,139,124
"E230013L22Rik","E230013L22Rik",0,0,0,14,71,235
"X3300005D01Rik","3300005D01Rik",0,128,0,162,37,163
"X4930556M19Rik","4930556M19Rik",0,0,0,104,272,130
"Gm26881","Gm26881",0,16,0,19,4,4
"Gm10827","Gm10827",0,0,0,9,66,153
"Gm26526","Gm26526",3,0,2,19,35,44
"X4930509E16Rik","4930509E16Rik",0,0,0,12,63,44
"A930029G22Rik","A930029G22Rik",0,0,0,0,18,42
"Gm26789","Gm26789",0,0,0,104,173,106
"Gm26792","Gm26792",0,0,6,5,11,52
"Gm17435","Gm17435",0,0,0,11,12,1
"X9530082P21Rik","9530082P21Rik",0,0,0,2,108,76
"Gm4651","Gm4651",0,0,30,32,99,80
"Gm26710","Gm26710",0,0,0,84,85,97
"Gm26707","Gm26707",3,1,0,29,87,177
"Ptgs2os","Ptgs2os",0,0,0,19,108,102
"Pvt1","Pvt1",3,28,150,35,65,70
"Pafah1b1.ps1","Pafah1b1-ps1",0,0,0,118,205,221
"Gm17491","Gm17491",0,27,0,58,26,51
"X1600020E01Rik","1600020E01Rik",32,236,248,210,120,216
"Gm26836","Gm26836",0,52,40,42,23,41
"Gm4262","Gm4262",124,108,0,75,9,8
"Fam120aos","Fam120aos",5,20,0,20,9,85
"X9330151L19Rik","9330151L19Rik",146,75,0,16,4,0
"Gm17586","Gm17586",0,0,19,8,14,86
"Foxl2os","Foxl2os",0,0,49,13,70,45
"Cdiptos","Cdiptos",0,40,1,3,2,7
"X1700086O06Rik","1700086O06Rik",0,18,0,4,16,3
"Gm10425","Gm10425",34,2,22,26,12,37
"Platr6","Platr6",0,0,0,78,136,259
"Gm19705","Gm19705",0,23,46,36,41,56
"B230354K17Rik","B230354K17Rik",0,0,0,61,54,60
"D130020L05Rik","D130020L05Rik",0,0,0,5,6,2
"Gm26624","Gm26624",0,0,0,68,253,149
"Gm26885","Gm26885",3,16,64,79,71,136
"Gm26884","Gm26884",0,0,0,41,120,130
"D230017M19Rik","D230017M19Rik",0,0,0,1,80,47
"X1110002J07Rik","1110002J07Rik",0,0,0,11,28,72
"Gm26772","Gm26772",0,5,16,38,20,33
"X9230114K14Rik","9230114K14Rik",0,0,0,33,68,89
"Gm26780","Gm26780",0,0,0,7,71,58
"Gm3839","Gm3839",3,0,2,1,55,16
"Gm26510","Gm26510",0,0,0,28,15,0
"Gm3764","Gm3764",0,0,1,19,81,215
"Cep83os","Cep83os",0,0,0,0,20,9
"Gm4890","Gm4890",0,2,0,0,14,0
"X9330159M07Rik","9330159M07Rik",0,0,0,48,56,61
"X2700038G22Rik","2700038G22Rik",100,41,19,57,21,74
"Gm26594","Gm26594",0,0,0,37,88,81
"Mm2pr","Mm2pr",162,0,0,4,100,47
"X9330175E14Rik","9330175E14Rik",0,0,36,39,56,73
"Snhg5","Snhg5",0,185,0,14,27,62
"Gm17690","Gm17690",0,0,0,3,1,6
"Gm26549","Gm26549",0,0,0,16,81,87
"Gm26600","Gm26600",0,40,34,23,13,20
"Gm26852","Gm26852",0,0,0,50,78,171
"Gm26518","Gm26518",0,0,0,60,161,132
"Gm16907","Gm16907",0,0,0,19,62,113
"Gm5421","Gm5421",4,0,2,3,36,50
"Gm26890","Gm26890",0,0,4,41,132,145
"X5033417F24Rik","5033417F24Rik",42,0,0,23,12,1
"C430042M11Rik","C430042M11Rik",0,0,110,3,25,27
"Gm26767","Gm26767",0,2,2,9,99,143
"X2900076A07Rik","2900076A07Rik",0,25,44,15,11,19
"X4930480K23Rik","4930480K23Rik",0,0,0,6,46,79
"D130017N08Rik","D130017N08Rik",0,238,0,56,164,126
"X1300002E11Rik","1300002E11Rik",0,0,42,15,25,11
"Gm26532","Gm26532",0,0,28,0,0,1
"X3110083C13Rik","3110083C13Rik",194,4,0,49,30,27
"Gm17249","Gm17249",0,0,0,59,69,110
"Gm26870","Gm26870",0,0,4,127,542,306
"Gm26569","Gm26569",141,1,82,97,110,219
"Gm17281","Gm17281",0,0,0,63,133,201
"X1700007L15Rik","1700007L15Rik",97,0,39,30,20,64
"X1700028E10Rik","1700028E10Rik",0,0,18,61,47,65
"Gm16897","Gm16897",0,0,0,17,119,103
"E030030I06Rik","E030030I06Rik",151,30,76,231,81,394
"Zfp87","Zfp87",0,15,38,17,52,81
"Gm26563","Gm26563",6,28,49,27,64,80
"Gm26606","Gm26606",9,2,0,53,161,167
"Gm26617","Gm26617",0,0,0,3,11,18
"X9030407P20Rik","9030407P20Rik",0,0,0,0,0,9
"X4732491K20Rik","4732491K20Rik",0,0,0,2,26,63
"C920009B18Rik","C920009B18Rik",0,0,31,7,49,99
"A430046D13Rik","A430046D13Rik",46,5,0,1,1,2
"X2310001H17Rik","2310001H17Rik",0,0,0,6,161,64
"Gm26873","Gm26873",0,0,53,12,83,165
"Gm3200","Gm3200",1,0,0,80,85,141
"D930016D06Rik","D930016D06Rik",0,0,0,87,239,135
"Gm16861","Gm16861",0,12,0,3,5,21
"Gm26555","Gm26555",0,1,0,73,78,175
"Gm17399","Gm17399",0,57,48,121,20,17
"Gm10814","Gm10814",0,0,0,10,150,78
"X1810014B01Rik","1810014B01Rik",22,0,0,2,18,49
"AU020206","AU020206",28,548,128,93,83,354
"Gm26670","Gm26670",0,34,0,0,77,72
"Gm26522","Gm26522",0,0,0,16,137,111
"Gm26782","Gm26782",393,70,15,110,132,165
"Gm26631","Gm26631",0,0,0,42,78,128
"Rian","Rian",0,0,0,120,453,223
"Gm26737","Gm26737",37,121,129,128,62,114
"X5830432E09Rik","5830432E09Rik",38,0,0,32,25,64
"Ptges3l","Ptges3l",0,30,28,22,49,85
"X4732487G21Rik","4732487G21Rik",0,0,0,4,4,0
"Gm2366","Gm2366",0,0,120,68,82,127
"X4930516B21Rik","4930516B21Rik",0,49,181,0,1,21
"X4930488L21Rik","4930488L21Rik",0,0,0,84,190,136
"Kansl2.ps","Kansl2-ps",42,43,63,26,15,29
"Gm16675","Gm16675",0,0,0,13,28,29
"X2610037D02Rik","2610037D02Rik",0,131,44,77,138,88
"Gm26637","Gm26637",0,29,0,1,66,76
"Jpx","Jpx",0,14,33,6,54,40
"Gm26797","Gm26797",0,0,0,34,192,73
"C920006O11Rik","C920006O11Rik",218,0,0,0,4,16
"X6230400D17Rik","6230400D17Rik",0,0,0,27,3,8
"E230029C05Rik","E230029C05Rik",0,2,0,44,78,99
"X4930578M01Rik","4930578M01Rik",0,0,68,157,271,390
"Dleu2","Dleu2",0,0,0,61,101,164
"Gm26660","Gm26660",0,0,0,3,6,8
"A430010J10Rik","A430010J10Rik",6,1,46,16,48,66
"X1110019D14Rik","1110019D14Rik",133,0,0,6,33,22
"Mirt1","Mirt1",0,0,0,112,134,147
"Gm20033","Gm20033",0,0,0,54,82,85
"A130051J06Rik","A130051J06Rik",52,0,0,7,1,10
"Gm26714","Gm26714",0,5,0,31,8,0
"Gm16755","Gm16755",6,49,74,18,23,14
"Gm2093","Gm2093",0,0,0,58,122,66
"G730013B05Rik","G730013B05Rik",543,13,695,28,37,160
"Gm26740","Gm26740",0,0,10,0,15,15
"Gpr137b.ps","Gpr137b-ps",3659,1419,1055,417,394,857
"F630040K05Rik","F630040K05Rik",0,17,2,3,32,49
"X2310015A10Rik","2310015A10Rik",0,58,0,50,1,3
"X9530059O14Rik","9530059O14Rik",0,0,0,41,83,130
"Gm2539","Gm2539",0,13,206,35,11,78
"Gm4673","Gm4673",0,0,0,12,10,18
"Ptgs2os2","Ptgs2os2",0,0,28,30,30,67
"Gm17518","Gm17518",0,7,0,43,78,52
"Gm10614","Gm10614",0,0,0,45,58,122
"X2700046G09Rik","2700046G09Rik",0,0,0,11,8,27
"Gm27042","Gm27042",0,0,0,0,1,4
"Gm17259","Gm17259",0,0,0,1,10,18
"Gm16702","Gm16702",8,21,11,21,58,29
"Gm26809","Gm26809",436,4236,3046,4848,2023,5543
"X5330439K02Rik","5330439K02Rik",0,0,0,19,78,78
"Gm26909","Gm26909",6,54,44,64,58,75
"X9330104G04Rik","9330104G04Rik",0,0,0,6,71,29
"A230020J21Rik","A230020J21Rik",0,0,0,32,63,211
"Gm807","Gm807",0,0,0,61,63,65
"A930007I19Rik","A930007I19Rik",344,93,0,111,189,417
"Lppos","Lppos",0,0,0,0,2,21
"A330069E16Rik","A330069E16Rik",40,18,43,12,10,32
"X0610038B21Rik","0610038B21Rik",77,20,13,1,20,37
"X5031434O11Rik","5031434O11Rik",0,0,0,22,98,46
"Gm26541","Gm26541",0,13,0,0,7,10
"X4930547M16Rik","4930547M16Rik",132,0,0,1,18,2
"Gm16894","Gm16894",0,0,0,97,111,88
"Gm9625","Gm9625",25,20,28,89,143,177
"X4933404O12Rik","4933404O12Rik",0,427,0,31,122,109
"A130014A01Rik","A130014A01Rik",0,0,0,7,6,0
"A330074K22Rik","A330074K22Rik",150,8,78,6,2,42
"Gm26917","Gm26917",4478,751,1655,1144,1797,2308
"Gm4691","Gm4691",23,2,7,2,45,55
"Gm4335","Gm4335",2,0,3,26,113,110
"Ptprv","Ptprv",0,1,0,10,55,44
"Gm26982","Gm26982",29,473,878,186,6,101
"Gm5345","Gm5345",0,45,0,59,124,173
"Gm26947","Gm26947",6,20,23,39,7,14
"X2700099C18Rik","2700099C18Rik",0,0,0,1,13,13
"Gm16470","Gm16470",9,0,0,59,92,144
"Bvht","Bvht",286,35,28,138,75,106
"Gm6085","Gm6085",0,0,0,11,127,168
"Bin2","Bin2",4153,119,638,456,407,537
"Rnf113a2","Rnf113a2",727,0,151,123,16,275
"Gm18848","Gm18848",0,0,0,6,86,146
"Gm27010","Gm27010",0,103,27,52,54,35
"Sowahc","Sowahc",569,0,86,0,31,6
"Snhg6","Snhg6",206,120,382,167,135,179
"Gm7497","Gm7497",0,0,0,22,115,124
"Gm4575","Gm4575",3,1,0,106,86,64
"Lockd","Lockd",12,45,22,41,115,132
"X2310009A05Rik","2310009A05Rik",108,0,21,22,28,45
"Kctd12","Kctd12",0,0,0,37,18,39
"Mir7688","Mir7688",0,22,52,12,5,25
"X1500015A07Rik","1500015A07Rik",0,0,33,2,5,20
"Zfp953","Zfp953",0,0,0,27,153,102
"X1500004A13Rik","1500004A13Rik",91,6,0,22,43,75
"Tmem185b","Tmem185b",1368,224,182,274,131,156
"Mir6236","Mir6236",20,12,18,66,32,106
"Gm27219","Gm27219",20,8,5,16,16,16
"Atf7","Atf7",142,132,1,55,140,262
"X1110028F18Rik","1110028F18Rik",0,0,0,23,173,229
"Gm27168","Gm27168",0,45,62,30,0,0
"Ms4a14","Ms4a14",0,0,0,0,16,12
"Gm29340","Gm29340",4,53,1,46,131,146
"Gm8451","Gm8451",4,7,8,24,36,91
"Xndc1","Xndc1",0,0,0,10,39,134
"Hist1h3g","Hist1h3g",68,0,152,20,1,16
"Hist1h3d","Hist1h3d",96,0,1,0,20,3
"X2900093K20Rik","2900093K20Rik",9,28,1,91,26,57
"X2310034G01Rik","2310034G01Rik",0,0,0,2,7,13
"X1700052K11Rik","1700052K11Rik",105,0,106,23,60,22
"Gm29284","Gm29284",16,21,0,14,6,27
"Gm29154","Gm29154",0,0,0,51,95,32
"Rps10.ps2","Rps10-ps2",32,16,32,21,45,26
"Gm7160","Gm7160",163,0,0,68,14,33
"Gm6652","Gm6652",63,47,25,15,14,25
"X2810013P06Rik","2810013P06Rik",0,2,199,58,38,17
"X2810402E24Rik","2810402E24Rik",0,0,53,72,68,55
"Gm28960","Gm28960",12,46,48,39,21,42
"Bcl2a1d","Bcl2a1d",89,0,52,96,48,180
"X2410022M11Rik","2410022M11Rik",0,77,0,0,7,13
"Gm7776","Gm7776",0,0,0,24,110,141
"Gm9553","Gm9553",0,0,0,14,148,95
"Ppp1ccb","Ppp1ccb",12,11,14,13,7,6
"X2310034O05Rik","2310034O05Rik",79,0,0,0,4,0
"X2610306M01Rik","2610306M01Rik",1,0,0,0,9,22
"Gm20324","Gm20324",92,0,0,1,13,15
"Gm29093","Gm29093",0,44,65,0,6,26
"Hist1h3f","Hist1h3f",125,0,0,5,9,24
"Gm28557","Gm28557",0,0,0,4,5,10
"Gm28417","Gm28417",1,52,39,56,17,22
"X1700031P21Rik","1700031P21Rik",0,0,0,63,124,93
"Gm29336","Gm29336",0,0,29,52,0,33
"Gm28791","Gm28791",1,0,6,98,322,260
