"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"Rpl17","Rpl17",3902,2376,3350,3058,3208,3554
"Itgb1bp1","Itgb1bp1",1811,894,687,713,452,537
"Gm15772","Gm15772",38,53,34,51,61,23
"Gm4968","Gm4968",0,0,0,0,0,0
"Tmem65","Tmem65",600,364,197,278,65,76
"Borcs7","Borcs7",48,22,292,44,26,40
"Ftl1.ps1","Ftl1-ps1",2339,4258,4819,5449,4016,4558
"Zfp706","Zfp706",3472,1696,3036,3235,2610,1889
"Hsd3b3","Hsd3b3",0,0,0,0,0,0
"Arf2","Arf2",692,428,221,993,575,279
"Ap3b2","Ap3b2",0,0,0,1,0,0
"Rpl9.ps6","Rpl9-ps6",316,391,457,658,389,453
"Gm5453","Gm5453",6,11,19,13,17,20
"Cyp4f37","Cyp4f37",0,0,0,0,0,0
"Ifit3b","Ifit3b",0,0,0,6,0,0
"Nsl1","Nsl1",448,153,0,56,71,0
"Fabp4","Fabp4",1381,221,1296,207,305,1934
"Zfp398","Zfp398",0,56,0,144,0,0
"Mppe1","Mppe1",0,0,0,50,0,0
"Timm17a","Timm17a",3958,975,1427,687,547,2128
"Cnr2","Cnr2",0,0,10,130,4,0
"Armc9","Armc9",36,0,149,11,0,334
"Tubb4a","Tubb4a",0,0,0,0,0,0
"Srpk2","Srpk2",78,39,14,96,109,18
"Rps3a2","Rps3a2",49,78,61,101,61,90
"X2310039H08Rik","2310039H08Rik",984,253,213,76,126,300
"Mysm1","Mysm1",1077,6,43,121,122,715
