"","Geneid","control.Evs_1","control.Evs_2","control.Evs_3","IL.10.Evs_1","IL.10.Evs_2","IL.10.Evs_3"
"Atp6v1h","Atp6v1h",9919,1388,2539,300,532,2131
"Fam208b","Fam208b",0,0,0,17,0,67
"Tmem87a","Tmem87a",2,1,0,2,15,0
"Alg3","Alg3",908,1,308,0,0,237
"Tcea1","Tcea1",605,176,41,47,39,74
"Ppp1r16a","Ppp1r16a",291,857,0,686,416,0
"Dnah8","Dnah8",0,0,0,18,0,0
"Foxh1","Foxh1",0,0,0,0,0,0
"Mrpl15","Mrpl15",2260,154,356,325,189,861
"Kcnk10","Kcnk10",0,0,0,0,0,0
"Engase","Engase",0,44,6,9,0,313
"Cdk10","Cdk10",0,0,95,1,0,0
"Klf9","Klf9",253,188,22,195,115,42
"Ppargc1b","Ppargc1b",795,9,165,30,64,391
"Lgals3bp","Lgals3bp",676,3,227,10,0,238
"D3Ertd254e","D3Ertd254e",0,23,1,34,163,0
"Pxk","Pxk",32,41,207,41,1,0
"Mapkbp1","Mapkbp1",910,0,54,1,0,0
"Ccp110","Ccp110",174,0,0,0,22,0
"Usp36","Usp36",372,391,1252,1466,689,984
"Chmp2a","Chmp2a",2734,472,254,114,261,841
"Gde1","Gde1",2787,975,734,224,715,450
"Parl","Parl",631,147,553,156,0,477
"Rbm34","Rbm34",673,134,67,180,109,193
"Vhl","Vhl",1,356,559,506,272,361
"Ndufb7","Ndufb7",2197,927,983,589,382,1101
"Brk1","Brk1",1667,625,396,566,255,1962
"Mga","Mga",0,1,0,3,0,0
"Trim36","Trim36",518,0,0,28,0,0
"Aspm","Aspm",0,125,36,105,118,0
"Ppp3r1","Ppp3r1",1911,332,215,302,101,155
"Tnks1bp1","Tnks1bp1",414,0,440,0,0,0
"Jcad","Jcad",0,0,1,31,2,0
"Zfp446","Zfp446",0,0,0,0,26,0
"Zbtb41","Zbtb41",1,0,0,61,94,4
"Cdkl4","Cdkl4",0,0,0,0,0,346
"Rfc3","Rfc3",573,15,318,47,0,537
"Zfp944","Zfp944",0,47,0,12,191,36
"Coil","Coil",6,0,0,89,0,14
"Tesk2","Tesk2",0,0,0,5,0,322
"Dnah17","Dnah17",0,57,0,11,0,48
"Ttc37","Ttc37",2197,0,0,119,0,545
"Pqlc1","Pqlc1",0,395,257,220,100,90
"Scaper","Scaper",644,0,0,6,46,0
"Pds5b","Pds5b",97,146,510,87,98,36
"Cpsf1","Cpsf1",3646,0,252,152,0,0
"Fancd2","Fancd2",0,0,85,26,16,0
"Cct2","Cct2",2900,1166,662,1436,686,838
"Rpap1","Rpap1",0,0,0,257,81,668
"Ccdc17","Ccdc17",0,0,0,0,0,0
"Lyl1","Lyl1",102,0,77,17,5,22
"Gpbp1l1","Gpbp1l1",328,109,75,93,8,41
"Phka1","Phka1",475,0,90,6,0,1
"Ypel4","Ypel4",0,0,0,0,0,0
"Poglut1","Poglut1",545,2140,1998,2387,1374,984
"Farp2","Farp2",0,0,0,59,0,410
"Zfp551","Zfp551",75,0,0,0,0,0
"Zdhhc5","Zdhhc5",1540,1,415,320,43,76
"Ccdc174","Ccdc174",0,76,0,113,12,0
"Hdlbp","Hdlbp",3581,1261,1344,284,340,1078
"Ctnnd1","Ctnnd1",0,27,0,18,0,0
"Tldc1","Tldc1",1297,0,185,33,0,0
"Ccs","Ccs",1021,280,373,114,0,924
"Golim4","Golim4",924,8,3,1,251,0
"Kctd7","Kctd7",0,0,0,0,0,0
"Tmed8","Tmed8",0,1090,563,1577,1032,504
"Atp2c2","Atp2c2",0,0,29,15,0,0
"Vav1","Vav1",4581,1538,2118,848,293,1226
"Tpst1","Tpst1",202,375,21,455,314,42
"Srsf2","Srsf2",239,21,188,18,95,107
"Mks1","Mks1",0,0,517,0,0,429
"Pomt2","Pomt2",1104,0,11,0,0,1
"Tspan8","Tspan8",0,101,196,10,0,156
"Sik3","Sik3",155,457,310,173,75,0
"Exoc3","Exoc3",1936,251,356,179,226,184
"Ino80","Ino80",10,127,280,85,32,0
"Tspoap1","Tspoap1",0,0,1,30,0,0
"Cipc","Cipc",416,1063,280,1331,1295,245
"Lrrc58","Lrrc58",1002,229,187,302,344,455
"Ogt","Ogt",2216,391,959,273,276,656
"Zfc3h1","Zfc3h1",4,36,130,3,0,351
"Ccnd3","Ccnd3",2175,1564,2330,1756,955,2810
"Irf2bpl","Irf2bpl",1329,10,326,182,10,523
"Faah","Faah",1995,0,250,65,0,514
"Zbed5","Zbed5",351,29,30,14,9,19
"Rhbdd3","Rhbdd3",538,0,234,7,0,202
"Rnf43","Rnf43",1453,0,0,51,0,0
"Nsf","Nsf",3252,581,882,205,33,338
"Hsdl1","Hsdl1",1575,590,1214,844,676,1311
"Chmp7","Chmp7",1510,0,909,512,187,686
"Lsm3","Lsm3",499,84,126,118,104,63
"R3hcc1","R3hcc1",0,0,0,40,133,223
"Gas2l1","Gas2l1",1033,803,770,960,1021,489
"Chchd4","Chchd4",2021,1350,846,1523,706,1747
"Loxl2","Loxl2",2,14,4,19,22,14
"Polq","Polq",0,0,0,16,0,0
"Efcab14","Efcab14",855,215,0,24,138,165
"Mrps17","Mrps17",1077,174,836,175,300,508
"Vps18","Vps18",7590,1177,2318,109,543,1087
"Atm","Atm",806,0,0,110,0,62
"Gpc1","Gpc1",0,0,0,3,0,0
"Rhov","Rhov",706,156,5,420,341,1002
"Usp54","Usp54",372,70,0,0,0,58
"Golgb1","Golgb1",1280,137,392,632,126,174
"Plekhm1","Plekhm1",2077,1118,2001,535,550,0
"Slc25a37","Slc25a37",2,111,133,48,25,0
"Senp6","Senp6",226,79,144,178,211,92
"Agpat1","Agpat1",772,425,154,375,307,702
"Arhgap27","Arhgap27",765,0,0,85,412,298
"Exosc4","Exosc4",364,110,524,167,151,304
"Ints14","Ints14",1264,101,222,28,193,0
"Zdhhc14","Zdhhc14",219,0,0,0,0,0
"Batf","Batf",132,0,0,0,0,0
"Setd5","Setd5",53,156,125,292,543,70
"Jdp2","Jdp2",87,52,15,48,0,4
"Thoc5","Thoc5",0,56,0,210,0,309
"Igsf9b","Igsf9b",284,476,627,303,319,103
"Dnajc17","Dnajc17",245,55,0,19,48,106
"Nipsnap1","Nipsnap1",667,225,0,10,0,0
"Nek9","Nek9",1691,1553,1432,2745,1510,2922
"Traf3ip1","Traf3ip1",0,0,0,56,0,0
"Med13","Med13",0,0,58,46,158,2
"Fam53c","Fam53c",248,141,506,449,147,1057
"Ccdc15","Ccdc15",0,92,1,0,0,0
"Sdr42e1","Sdr42e1",0,0,0,0,0,0
"Kif4","Kif4",419,41,410,0,72,36
"Iqsec1","Iqsec1",336,0,0,30,0,67
"Trim59","Trim59",273,0,0,70,42,325
"Slc26a2","Slc26a2",0,4,14,39,77,173
"Exosc1","Exosc1",805,108,359,155,257,298
"Kctd9","Kctd9",0,115,0,59,30,0
"Brip1","Brip1",0,0,0,209,0,0
"Plcg2","Plcg2",10627,745,872,116,928,2009
"Zbed4","Zbed4",0,191,59,458,405,235
"Fam151b","Fam151b",60,0,114,11,0,117
"Ina","Ina",0,0,26,84,41,10
"Wbp2","Wbp2",4515,889,325,146,168,2856
"Cbl","Cbl",1215,428,851,1498,1029,1388
"Ube2f","Ube2f",1526,136,1166,687,371,1652
"Gtf2h5","Gtf2h5",683,130,205,89,176,72
"Smc4","Smc4",832,369,13,213,25,522
"Mtmr3","Mtmr3",2796,0,121,324,434,361
"Cpne2","Cpne2",270,10,267,21,4,32
"Tkfc","Tkfc",0,28,81,53,21,16
"Tulp4","Tulp4",1110,428,340,559,316,181
"Wdr5b","Wdr5b",0,1,0,15,52,0
"Cmip","Cmip",7,3,137,67,57,0
"Fbxo15","Fbxo15",0,105,0,0,0,0
"Spata6","Spata6",0,0,0,45,57,0
"Pja1","Pja1",956,125,215,34,42,0
"Tbc1d10a","Tbc1d10a",1447,259,0,0,0,509
"Neurl1b","Neurl1b",0,0,0,3,0,0
"Pkd1l2","Pkd1l2",0,0,0,24,52,4
"Parp14","Parp14",0,0,0,0,0,0
"Gcsh","Gcsh",516,544,592,908,412,459
"Myo15b","Myo15b",0,11,6,8,5,12
"Zfp707","Zfp707",571,0,0,7,88,0
"Zxdc","Zxdc",0,100,1,48,302,0
"Cops8","Cops8",2116,5875,4269,6321,5121,4003
"Gm9761","Gm9761",26,1,12,5,0,6
"Trmt5","Trmt5",568,0,0,24,0,0
"Cyb561a3","Cyb561a3",674,299,472,294,92,458
"Dhrs11","Dhrs11",243,0,0,40,0,87
"Polr3b","Polr3b",541,0,0,31,11,13
"Ifit1","Ifit1",703,0,181,35,0,0
"Six4","Six4",0,0,0,0,0,0
"Pkd2","Pkd2",0,1,12,88,10,0
"Scara3","Scara3",0,0,0,6,0,553
"Caskin2","Caskin2",457,0,1,0,0,0
"Rasd2","Rasd2",1592,214,0,95,156,258
"Sec22a","Sec22a",828,0,173,38,0,281
"Diaph2","Diaph2",217,34,0,0,4,35
"Snx2","Snx2",3184,602,349,101,41,1539
"Uaca","Uaca",650,1948,1884,2863,1837,2413
"Kdelc2","Kdelc2",0,0,27,32,0,0
"Edil3","Edil3",0,0,0,55,0,0
"Pcnx4","Pcnx4",356,39,53,107,0,101
"Mad2l1bp","Mad2l1bp",355,0,140,74,0,178
"Hmgxb4","Hmgxb4",408,0,353,6,0,453
"Zfp395","Zfp395",0,179,193,108,91,33
"Ice1","Ice1",214,497,336,526,262,21
"Zfp418","Zfp418",0,0,0,0,0,0
"Morc2a","Morc2a",17,0,245,73,2,4
"Rsrc1","Rsrc1",0,14,407,94,9,393
"Zfyve9","Zfyve9",0,3,0,58,87,0
"Washc4","Washc4",2183,264,715,1,18,703
"Atp5h","Atp5h",3341,1039,1153,577,469,1714
"Inpp5j","Inpp5j",516,0,89,97,71,0
"Ptpn13","Ptpn13",0,0,0,0,0,0
"Daam1","Daam1",625,3,189,159,39,784
"Tent4a","Tent4a",0,373,554,327,0,50
"Hid1","Hid1",0,27,0,0,0,0
"X8430429K09Rik","8430429K09Rik",0,0,0,33,0,112
"Slc41a2","Slc41a2",0,253,553,85,2,1038
"Myo5a","Myo5a",1804,371,531,1105,1142,215
"Ppp1r18","Ppp1r18",2077,379,1268,825,1084,925
"X2700049A03Rik","2700049A03Rik",0,0,12,1,0,0
"Mon2","Mon2",63,0,10,85,7,203
"Tut4","Tut4",51,117,20,38,34,85
"Chst11","Chst11",3,0,25,29,61,362
"Ppm1h","Ppm1h",15,272,737,392,325,181
"Pik3ip1","Pik3ip1",954,102,153,19,156,2
"Ssh3","Ssh3",122,0,6,0,0,6
"Mtrr","Mtrr",486,0,434,179,82,422
"Rxylt1","Rxylt1",687,35,149,258,135,224
"Gpatch8","Gpatch8",1972,161,4,70,288,98
"Zyg11b","Zyg11b",0,210,717,247,220,831
"Setmar","Setmar",0,0,0,22,64,0
"Tiparp","Tiparp",2302,20,0,147,0,1029
"Cd300ld","Cd300ld",2910,187,676,389,66,632
"Ankrd12","Ankrd12",651,22,234,342,172,463
"Cd300a","Cd300a",7667,451,692,307,173,1205
"Ythdc2","Ythdc2",0,0,0,0,0,0
"Cacna1a","Cacna1a",0,0,42,0,0,0
"Tmem109","Tmem109",1033,0,0,48,0,432
"Bmp2k","Bmp2k",104,139,0,56,5,11
"Itga2b","Itga2b",0,0,0,0,0,0
"Xpot","Xpot",1083,78,522,156,0,977
"Pbx2","Pbx2",0,0,74,64,20,57
"Tdg","Tdg",1794,6232,7462,14734,9209,6671
"Dbn1","Dbn1",0,0,0,0,0,0
"Rnps1","Rnps1",1327,467,189,194,199,1036
"Sema3f","Sema3f",0,0,0,0,0,0
"Fam171a2","Fam171a2",0,0,44,0,0,0
"Fras1","Fras1",0,0,0,0,0,0
"Gns","Gns",14806,2924,2059,801,1366,3060
"Grn","Grn",55537,6791,10898,4725,5012,18316
"Ppp1r21","Ppp1r21",592,177,127,14,0,0
"Ttyh2","Ttyh2",3689,956,754,321,20,683
"Tmx4","Tmx4",1003,73,458,0,21,49
"Cnot6l","Cnot6l",29,132,0,34,52,312
"Mrps10","Mrps10",1443,383,574,250,514,968
"Adgrb1","Adgrb1",162,37,3,23,0,42
"Dgkh","Dgkh",121,0,110,93,59,66
"Nostrin","Nostrin",16,114,225,24,35,69
"Nagk","Nagk",1147,235,127,135,83,484
"Sirt6","Sirt6",0,0,0,0,0,0
"Mast4","Mast4",1,0,0,2,0,7
"Tmub2","Tmub2",931,0,421,37,0,26
"Tle6","Tle6",0,0,0,35,0,0
"Map4k5","Map4k5",0,0,25,97,82,0
"Dusp5","Dusp5",79,40,116,78,124,133
"Tle2","Tle2",0,0,0,0,0,4
"BC030867","BC030867",554,0,10,96,46,0
"Gna11","Gna11",131,94,0,19,57,0
"Gpsm3","Gpsm3",268,48,100,29,29,104
"Rab24","Rab24",446,82,247,172,37,261
"Gna15","Gna15",320,0,127,13,17,0
"G6pc3","G6pc3",927,0,110,52,107,428
"Ccdc122","Ccdc122",180,0,100,69,23,66
"Unc13a","Unc13a",309,0,0,61,0,110
"Zfp661","Zfp661",0,0,0,0,22,366
"Sos2","Sos2",19,0,31,16,19,0
"Colgalt1","Colgalt1",3193,158,789,144,252,283
"Grip1","Grip1",0,0,0,3,0,0
"Cpsf7","Cpsf7",272,27,172,211,263,36
"Nrip3","Nrip3",0,0,0,0,0,0
"Nup54","Nup54",328,390,0,2,0,474
"Nxnl1","Nxnl1",0,33,122,0,79,0
"Tet3","Tet3",96,434,747,2013,644,514
"Tespa1","Tespa1",0,0,0,0,0,0
"Gnat1","Gnat1",0,11,17,29,21,22
"Ttc21b","Ttc21b",855,0,400,151,0,871
"Tmem127","Tmem127",1435,538,105,559,29,45
"Mfsd12","Mfsd12",4690,621,719,550,290,961
"Cxcl10","Cxcl10",240,0,115,6,70,0
"Fam214a","Fam214a",225,367,3,1,0,0
"Ano8","Ano8",27,0,0,0,0,0
"Ankrd27","Ankrd27",1030,0,768,340,278,0
"Myl12b","Myl12b",59,11,29,5,5,24
"Nudt19","Nudt19",777,4401,3833,6847,4589,4874
"Mrpl34","Mrpl34",844,291,467,401,118,851
"Lrr1","Lrr1",110,14,0,0,0,74
"Cactin","Cactin",1628,0,0,36,21,280
"Rps29","Rps29",4961,5002,7380,6426,6267,7580
"Cog3","Cog3",1228,74,271,358,594,112
"Pip5k1c","Pip5k1c",1323,312,461,158,97,1371
"Ncaph","Ncaph",400,182,319,51,148,253
"Sidt2","Sidt2",3276,1292,1075,1404,547,1362
"Ushbp1","Ushbp1",0,0,0,0,0,0
"Mdga2","Mdga2",0,0,1,0,0,0
"Tjp3","Tjp3",0,0,0,27,0,0
"Rnf44","Rnf44",787,375,4,344,69,382
"Rtkn","Rtkn",0,0,21,0,0,0
"Dhx8","Dhx8",2637,663,761,25,0,0
"Mrpl54","Mrpl54",959,188,286,110,62,152
"Arl4d","Arl4d",0,0,0,1,0,0
"Synrg","Synrg",72,14,563,23,7,7
"Tmem106a","Tmem106a",3377,300,387,115,237,632
"Zfr2","Zfr2",313,0,0,60,0,544
"Cog7","Cog7",570,144,433,0,0,343
"Cebpa","Cebpa",16,26,0,24,17,1
"Rubcnl","Rubcnl",1005,58,0,75,0,83
"Dop1a","Dop1a",86,155,47,0,0,0
"Dapk3","Dapk3",21,3,35,17,22,8
"Parm1","Parm1",0,28,0,1,63,0
"Vat1","Vat1",222,105,121,63,43,77
"Eef2","Eef2",18220,11115,11018,10738,8584,8452
"Foxn2","Foxn2",0,15,312,73,9,122
"Dpp4","Dpp4",0,0,0,0,0,0
"Igsf6","Igsf6",2323,642,414,6,72,590
"Rundc1","Rundc1",0,15,99,121,89,0
"Zbtb7a","Zbtb7a",1368,344,354,125,80,287
"Baz1a","Baz1a",359,8,24,137,32,305
"Ncapd3","Ncapd3",1173,2,0,0,0,0
"Map2k2","Map2k2",1857,543,617,751,459,897
"Ccl5","Ccl5",1046,59,260,39,0,734
"Kri1","Kri1",0,0,51,19,94,9
"Anapc13","Anapc13",194,80,162,99,46,217
"Rrp12","Rrp12",604,66,1,0,84,0
"Dhx57","Dhx57",1189,0,0,59,1,532
"Zc4h2","Zc4h2",0,0,0,0,0,0
"Eef2k","Eef2k",0,55,0,221,17,0
"Oma1","Oma1",811,23,182,42,216,0
"Mtmr9","Mtmr9",565,157,0,58,28,0
"Becn1","Becn1",1525,937,805,842,1130,60
"Secisbp2l","Secisbp2l",1273,129,0,75,1,2
"Fam167a","Fam167a",33,0,0,0,0,0
"Egln3","Egln3",2638,465,760,907,364,949
"Dcbld2","Dcbld2",67,0,29,34,0,0
"Shc4","Shc4",0,0,0,105,0,0
"Neil2","Neil2",128,0,0,0,0,152
"Gcfc2","Gcfc2",220,53,0,15,0,0
"Wdr78","Wdr78",0,0,6,0,0,0
"Brinp3","Brinp3",0,0,0,0,0,0
"Arhgap5","Arhgap5",863,305,115,47,3,1378
"Secisbp2","Secisbp2",575,14,0,51,1,43
"Nubpl","Nubpl",853,260,0,16,0,130
"Eif2s3x","Eif2s3x",1073,820,649,386,237,725
"Elmod2","Elmod2",0,0,0,142,0,0
"Ap2b1","Ap2b1",35,463,390,562,238,552
"Mitf","Mitf",99,0,1,66,0,0
"Ints6","Ints6",429,0,0,81,6,11
"Zc3h12c","Zc3h12c",346,7,0,67,157,1239
"Tanc1","Tanc1",1801,550,0,108,242,432
"X1110059E24Rik","1110059E24Rik",222,0,166,20,0,416
"Plekhh3","Plekhh3",314,0,188,32,43,86
"Ccdc186","Ccdc186",536,56,104,104,182,51
"Heatr5a","Heatr5a",0,0,12,50,0,8
"Slc24a5","Slc24a5",2050,255,464,161,47,933
"Tubg1","Tubg1",1918,319,194,39,80,569
"Arl6ip5","Arl6ip5",1664,453,893,338,578,463
"Lars2","Lars2",8308,4313,2825,1036,1249,2934
"Epn1","Epn1",896,419,502,422,312,370
"Sppl2b","Sppl2b",995,0,0,0,0,0
"Slfn8","Slfn8",1016,2,0,4,10,0
"Xrra1","Xrra1",0,0,0,0,0,1
"Leprot","Leprot",415,425,272,91,167,957
"Lsm7","Lsm7",412,92,222,199,222,292
"Spcs2","Spcs2",4614,1044,1222,215,139,1641
"Pdk3","Pdk3",283,112,374,36,87,548
"Abraxas1","Abraxas1",176,0,161,6,0,0
"Trim13","Trim13",0,0,0,30,0,0
"Scai","Scai",0,4,9,0,149,34
"Neu3","Neu3",0,0,0,0,0,16
"Oaz1","Oaz1",6103,1180,1779,812,1274,3132
"Eogt","Eogt",563,0,0,46,183,0
"Hectd1","Hectd1",3428,645,47,163,276,0
"Tut7","Tut7",2086,735,0,164,133,653
"Helq","Helq",0,0,65,68,0,0
"Pkig","Pkig",1318,973,1321,1555,1100,1207
"Hpse","Hpse",0,0,0,0,80,0
"Arx","Arx",0,0,0,0,0,0
"Plekhj1","Plekhj1",835,506,468,724,468,1605
"Ssc5d","Ssc5d",0,0,0,0,0,0
"Adrb1","Adrb1",41,17,0,0,0,0
"Vps13c","Vps13c",1139,217,90,150,1,139
"G2e3","G2e3",673,0,124,100,0,1089
"Wdr38","Wdr38",0,0,0,1,0,0
"Cops4","Cops4",1596,534,587,540,196,653
"Mid1","Mid1",0,0,0,39,23,0
"Lin54","Lin54",0,0,157,8,18,68
"Gnptab","Gnptab",3102,159,176,172,969,87
"Gdpd5","Gdpd5",701,0,0,5,0,0
"Sec31a","Sec31a",3690,0,1050,96,260,0
"Fbxo33","Fbxo33",1,74,100,69,10,165
"Lzts2","Lzts2",1641,550,357,425,226,540
"Nup37","Nup37",656,107,224,87,50,310
"Ccl12","Ccl12",0,0,0,5,0,0
"Uvrag","Uvrag",1973,185,337,487,454,65
"Nfkbiz","Nfkbiz",44,0,29,8,0,0
"Parpbp","Parpbp",0,0,0,0,0,368
"Rmi1","Rmi1",876,0,264,66,177,0
"X1810055G02Rik","1810055G02Rik",0,105,0,4,0,100
"Ccl7","Ccl7",99,74,0,53,18,0
"Hacd2","Hacd2",661,169,121,39,0,467
"Shq1","Shq1",986,222,204,1,31,517
"Pcsk7","Pcsk7",540,100,0,1,0,0
"Ccl2","Ccl2",352,27,65,71,76,223
"Dennd1a","Dennd1a",319,27,191,131,178,348
"Klf16","Klf16",0,81,76,7,55,0
"Oser1","Oser1",2094,384,440,471,321,632
"Emsy","Emsy",513,0,0,0,0,4
"Rabgap1","Rabgap1",3348,174,198,212,103,197
"Haus8","Haus8",1015,323,566,332,231,837
"Myo1d","Myo1d",2,50,0,12,0,1
"Thyn1","Thyn1",793,130,385,92,43,119
"Foxa1","Foxa1",0,0,0,0,0,0
"Fignl1","Fignl1",2050,136,249,120,136,1211
"Stab2","Stab2",0,4,0,0,0,0
"Rcbtb1","Rcbtb1",101,135,230,125,43,952
"Galm","Galm",2715,0,297,72,0,311
"Tab3","Tab3",830,1,0,140,25,78
"Mbd3","Mbd3",704,610,473,1049,782,1527
"Tstd2","Tstd2",372,5,0,111,0,47
"Cdcp1","Cdcp1",0,0,0,0,0,0
"Reep6","Reep6",1,449,222,198,235,528
"Cox18","Cox18",0,225,295,403,457,543
"Fbxl21","Fbxl21",0,0,0,0,0,0
"Ntng2","Ntng2",0,0,0,0,0,0
"Tdrd7","Tdrd7",1429,387,0,9,178,561
"Gnptg","Gnptg",627,63,188,6,0,13
"Prdm4","Prdm4",840,169,0,350,287,45
"Eif1","Eif1",4873,2091,2563,2011,1539,1996
"Ccdc180","Ccdc180",92,55,0,42,11,146
"Leng8","Leng8",0,148,332,74,151,0
"Capn5","Capn5",0,75,0,1,25,1
"Mpv17l2","Mpv17l2",1207,639,576,332,382,912
"Aldh1b1","Aldh1b1",0,0,0,0,0,0
"Ankrd11","Ankrd11",138,271,556,352,38,0
"Dcaf10","Dcaf10",0,92,377,159,1,0
"Utp6","Utp6",986,232,787,160,0,257
"L3mbtl1","L3mbtl1",0,0,0,0,0,0
"Iqcg","Iqcg",0,0,0,0,0,0
"Tsen34","Tsen34",1392,129,355,14,0,133
"X1600002K03Rik","1600002K03Rik",42,20,80,0,0,0
"Mboat7","Mboat7",920,0,128,20,0,340
"Prpf39","Prpf39",501,167,63,56,0,0
"Trmt10b","Trmt10b",248,32,99,0,180,0
"Togaram1","Togaram1",32,0,338,44,17,0
"Ric8b","Ric8b",0,51,0,0,0,0
"Midn","Midn",52,1,0,0,1,0
"Rsf1","Rsf1",12,276,106,204,55,0
"Rubcn","Rubcn",761,206,554,740,122,470
"Cnot3","Cnot3",835,65,0,0,0,6
"Grhpr","Grhpr",885,19,242,122,0,155
"Cbarp","Cbarp",0,0,0,0,0,0
"Aamdc","Aamdc",149,133,0,0,29,0
"Zcchc7","Zcchc7",290,0,350,0,1,0
"Lrfn5","Lrfn5",0,0,16,0,0,0
"Gtf3c4","Gtf3c4",1849,815,790,1026,299,475
"Zswim4","Zswim4",876,239,0,162,0,0
"Sbno2","Sbno2",3203,0,111,323,38,731
"Ndufa3","Ndufa3",1705,748,962,525,709,1195
"Tnfsf9","Tnfsf9",656,0,185,58,0,250
"Melk","Melk",360,50,0,61,272,0
"Isg15","Isg15",634,36,65,30,35,169
"Rnf38","Rnf38",0,6,1,222,113,0
"Arhgap45","Arhgap45",1136,760,790,140,122,944
"Alg8","Alg8",714,280,713,194,160,1167
"Dok3","Dok3",1778,60,139,41,73,185
"Usp35","Usp35",0,0,0,0,9,0
"Abca7","Abca7",2468,0,0,103,37,271
"Prkx","Prkx",505,472,318,238,665,122
"Supt16","Supt16",351,64,401,16,81,5
"Wdr18","Wdr18",1233,144,0,159,256,290
"Selenoo","Selenoo",514,113,0,41,0,20
"Bbs10","Bbs10",0,0,201,0,0,0
"Tmem161b","Tmem161b",395,10,0,120,0,3
"Fbxo45","Fbxo45",0,111,0,46,167,17
"Dym","Dym",936,11,202,222,109,16
"Xylb","Xylb",235,0,0,0,0,17
"Dync1li2","Dync1li2",590,109,103,569,104,665
"Mrps2","Mrps2",1200,466,82,227,177,345
"Kiss1r","Kiss1r",0,0,0,0,0,0
"Cd99l2","Cd99l2",459,121,195,773,854,113
"Ggta1","Ggta1",42,125,10,34,0,119
"R3hdm4","R3hdm4",263,0,184,188,5,4
"Acta2","Acta2",0,0,0,0,0,0
"Cep19","Cep19",218,1173,386,529,593,720
"Zdhhc17","Zdhhc17",425,90,66,74,0,0
"Tk2","Tk2",441,161,281,105,190,202
"Pim3","Pim3",1142,334,203,404,128,493
"Ppp1r26","Ppp1r26",0,0,38,3,0,0
"Polr3g","Polr3g",18,73,469,382,44,1
"Plppr3","Plppr3",0,0,0,0,0,0
"Lysmd3","Lysmd3",0,0,156,41,95,0
"Ddx11","Ddx11",0,234,0,0,2,551
"Alg12","Alg12",199,0,151,1,0,0
"Ids","Ids",0,0,22,18,0,0
"Ythdc1","Ythdc1",92,598,709,635,454,723
"Palm","Palm",0,0,0,40,0,0
"Syt1","Syt1",0,0,0,0,0,35
"Zfp983","Zfp983",51,0,0,0,0,3
"Zhx3","Zhx3",360,20,1,194,338,32
"Hykk","Hykk",0,0,0,0,0,0
"Cox8a","Cox8a",8676,2577,4541,2007,1841,5156
"Rnf126","Rnf126",121,192,183,252,222,246
"Cerk","Cerk",3964,2353,4971,3573,2086,2326
"Uba6","Uba6",704,0,11,9,0,296
"Gramd4","Gramd4",97,21,0,81,76,0
"Dennd5a","Dennd5a",6,274,650,277,257,295
"Cd276","Cd276",317,0,243,145,23,0
"Bbs9","Bbs9",677,1,232,17,6,0
"H2.Q4","H2-Q4",10,1,4,0,0,20
"Cog5","Cog5",0,0,9,5,0,32
"Ibtk","Ibtk",788,297,975,359,181,0
"Ttc38","Ttc38",533,0,0,66,0,18
"Fbxw2","Fbxw2",604,912,533,1774,700,1270
"Pip4p1","Pip4p1",803,424,2,70,80,512
"Dock4","Dock4",795,0,0,17,39,73
"Tdp2","Tdp2",534,0,0,9,0,0
"Apex1","Apex1",744,55,163,60,116,445
"Ints6l","Ints6l",0,0,0,0,0,611
"Rusc2","Rusc2",1126,194,26,0,121,0
"Fnip1","Fnip1",1323,211,254,32,57,73
"Fam214b","Fam214b",216,61,250,15,0,637
"Mettl25","Mettl25",313,87,44,16,0,0
"Tmtc2","Tmtc2",0,0,0,0,0,0
"Fam122b","Fam122b",0,0,0,0,0,0
"Parp2","Parp2",361,110,35,193,0,301
"Tmem63b","Tmem63b",110,25,28,46,0,108
"Prtg","Prtg",0,0,0,0,0,0
"Adamtsl2","Adamtsl2",0,0,0,0,0,0
"X5031439G07Rik","5031439G07Rik",50,1110,1345,1718,1296,1242
"Dnajb5","Dnajb5",0,0,1,0,111,0
"Fmnl2","Fmnl2",12,0,105,16,57,0
"Sugp2","Sugp2",156,34,4,123,22,28
"Ptpn23","Ptpn23",89,6,0,0,0,0
"Smug1","Smug1",510,366,262,659,184,249
"Slc2a6","Slc2a6",1995,395,757,74,0,0
"Galt","Galt",145,0,1,0,58,96
"Sigmar1","Sigmar1",759,158,0,90,79,338
"Zranb3","Zranb3",1507,335,677,237,168,0
"Slain2","Slain2",1636,555,528,614,647,280
"Hyal3","Hyal3",0,0,0,0,0,0
"Arl5a","Arl5a",296,139,660,203,45,12
"Dgkb","Dgkb",0,4,0,0,8,0
"Slf2","Slf2",1419,491,0,240,143,226
"Myrf","Myrf",0,14,0,0,0,0
"Vezt","Vezt",307,0,699,48,308,746
"Colec12","Colec12",13990,211,1055,186,483,4011
"Rab3gap1","Rab3gap1",1312,0,397,322,516,549
"Prr5","Prr5",32,135,259,149,1,174
"Mbnl3","Mbnl3",0,0,33,0,129,0
"Metap2","Metap2",2399,835,1967,739,454,1328
"Rpp25l","Rpp25l",202,45,207,226,149,21
"Rfxank","Rfxank",304,0,113,18,0,24
"Acaa1a","Acaa1a",2898,463,695,364,188,698
"Mgat5","Mgat5",1,332,43,651,350,489
"Prickle1","Prickle1",0,0,0,0,0,0
